wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
KF10532609180003,대동재가노인복지센터,재가요양보호사 모집[북면 신촌리],"시급10,320 원 이상 ~ 10,320 원 이하",경남 창원시 의창구,[인증],,관계없음,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180003
KF10532609180002,제일전자,품질검사원 모집,"시급10,500 원 이상 ~ 10,500 원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180002
KJBM002609180025,쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd.),【2026 수영구 일자리박람회(10.7 수요일) 직접참여】 큐팡 물류센터 물류사원 채용,월급230 만원 이상 ~ 290 만원 이하,경남 창원시 진해구,[인증],,신입,26-09-18,26-10-07,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KJBM002609180025
K131132609180043,코드엔지니어링,"전기, 통신, 소방 설계원 채용","연봉3,000 만원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-18,26-10-25,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180043
KJSP002609180001,(주)대현종합관리,급구)아파트 내 미화원채용,"시급10,320 원 이상 ~ 10,320 원 이하",경남 창원시 성산구,[인증],,관계없음,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KJSP002609180001
K131132609180042,대영정공,기계조립 및 검사사원 모집,"시급10,320 원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-18,26-10-02,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180042
K131132609180041,(주)에코여행사,에코여행사 상담업무직원 채용,"시급10,320 원 이상",경남 창원시 성산구,[인증],,신입,26-09-18,26-11-16,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180041
K131132609180040,(주)삼정글로텍,물류보세창고 내 4.5톤 이상 지게차 운전  경력자 모집,월급350 만원 이상 ~ 400 만원 이하,경남 창원시 진해구,[인증],,경력 2년,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180040
K131132609180039,（주）동경플라텍,[자동차부품] 품질관리팀 경력직 채용,"연봉4,000 만원 이상",경남 창원시 의창구,[인증],,경력 3년,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180039
KEC0132609180002,(주)유성안전시스템,"(진해 장천동 병원)조리원 채용(오전, 종일 근무 각 1명)",월급315 만원 이상 ~ 330 만원 이하,경남 창원시 진해구,[인증],,관계없음,26-09-18,26-10-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KEC0132609180002
K131132609180038,주식회사세인에스앤씨,케이조선내 협력업체 경리사무원 모집,월급230 만원 이상,경남 창원시 진해구,[인증],,관계없음,26-09-18,26-11-15,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180038
K131132609180037,성원동화나라어린이집,애정 가득한 0세반 담임교사를 찾습니다.,월급216 만원 이상 ~ 256 만원 이하,경남 창원시 성산구,[인증],,신입,26-09-18,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180037
K131112609180022,주식회사유니스타,주재원 승용차 출퇴근 운전기사 모집 (해운대 인근 거주자),월급216 만원 이상,경남 창원시 진해구,[인증],,관계없음,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131112609180022
K131132609180036,도해정밀,"반도체 및 금형 제품 검사 및 포장, CAD편집","시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-18,26-10-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180036
K131132609180034,더그린 주식회사,진해아트홀 안내지원(주말) 근무자 임시계약직 모집,월급119 만원 이상 ~ 119 만원 이하,경남 창원시 진해구,[인증],,관계없음,26-09-18,26-10-02,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180034
K131132609180033,주식회사동경씨에스,편집인원구인,"연봉3,500 만원 이상",경남 창원시 성산구,[인증],,경력 1년,26-09-18,26-10-02,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180033
K131132609180032,블루텍(bluetec),CNC선반 경력자 모집 합니다.,"연봉4,500 만원 이상 ~ 5,500 만원 이하",경남 창원시 의창구,[인증],,경력 3년,26-09-18,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180032
K131132609180031,（주）동경플라텍,[자동차부품] 사출성형 생산직 모집,"시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180031
K131132609180030,(주)하나푸드,cj제일제당 배송직원 모집,월급260 만원 이상 ~ 280 만원 이하,경남 창원시 의창구,[인증],,경력 1년,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180030
K131132609180029,주식회사 리컴퍼니,총무분야 업무지원 경력직 채용,"연봉2,600 만원 이상",경남 창원시 성산구,[인증],,경력 1년,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180029
K131132609180028,주식회사 건우엠티씨,자재 구매 인재 모집,"연봉3,500 만원 이상 ~ 4,000 만원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-18,26-10-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180028
K131132609180027,주식회사 건우엠티씨,MCT 가공원 모집,"시급10,320 원 이상 ~ 10,700 원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-18,26-10-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180027
K131132609180026,동은금속,생산직 사원모집 (자동차부품 표면처리),"일급82,560 원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-18,26-11-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180026
K131132609180025,수성기체산업(주),수성기체산업(주) 사무직 신입 사원 모집(해외 구매업무),월급250 만원 이상,경남 창원시 성산구,[인증],,관계없음,26-09-18,26-10-01,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180025
K131132609180024,덕보기계,방산 범용선반 사원모집 [경력무관],"시급10,320 원 이상 ~ 10,320 원 이하",경남 창원시 의창구,[인증],,관계없음,26-09-18,26-10-17,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180024
