# 출처: 고용노동부 고용행정통계(EIS) 노동시장현황>고용보험가입자>월별 피보험자현황
# 조회조건: (사업장)시군구 = 경상남도 창원시 5개구, 지역=경상남도, 조회기간 202312~202606
# 측정값: 피보험자수(전체) = 해당월 말일 기준 취득중인 근로자 수 (stock)
# 제조업: 산업_대분류 필터 = 10차_제조업 + 11차_제조업 (2024년07월 10차->11차 전환)
# 분기화: 분기말 월 값 사용 (Q1=3월, Q2=6월, Q3=9월, Q4=12월). 3개월 합산 금지(stock 변수)
# 주의: KICOX 산단 고용현황과 모집단이 다름. 비율/점유율 계산 금지
# 추출일: 2026-09-07
quarter,month,changwon_total_all_industry,changwon_manufacturing,uichang_mfg,seongsan_mfg,masanhappo_mfg,masanhoewon_mfg,jinhae_mfg
2023Q4,2023-12,271015,112818,20500,70441,4959,10436,6482
2024Q1,2024-03,274462,113327,20483,70983,4824,10533,6504
2024Q2,2024-06,276548,113950,20705,71240,4868,10591,6546
2024Q3,2024-09,277398,113850,20765,71314,4827,10474,6470
2024Q4,2024-12,274278,113604,20800,71032,4760,10435,6577
2025Q1,2025-03,277950,114075,20941,71060,4597,10718,6759
2025Q2,2025-06,279706,113773,21311,70579,4584,10589,6710
2025Q3,2025-09,281305,113976,21192,70886,4614,10390,6894
2025Q4,2025-12,278084,114122,21279,70785,4637,10380,7041
2026Q1,2026-03,282044,114572,21509,70910,4529,10324,7300
2026Q2,2026-06,283681,114532,21655,70638,4646,10261,7332
