period,scope,region_or_industry_code,region_or_industry,bsi_code,indicator,mapped_kicox_industry,mapping_grade,value,months,value_lag4,change_vs_year_ago_pt,below_100,source_table_code,geography,coverage_flag,role,usage_note
2021Q1,경남(지역),Z22,경남,AA,업황BSI,,,69.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q2,경남(지역),Z22,경남,AA,업황BSI,,,76.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q3,경남(지역),Z22,경남,AA,업황BSI,,,70.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q4,경남(지역),Z22,경남,AA,업황BSI,,,68.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q1,경남(지역),Z22,경남,AA,업황BSI,,,75.0,3,69.33,5.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q2,경남(지역),Z22,경남,AA,업황BSI,,,74.33,3,76.33,-2.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q3,경남(지역),Z22,경남,AA,업황BSI,,,68.0,3,70.33,-2.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q4,경남(지역),Z22,경남,AA,업황BSI,,,70.67,3,68.33,2.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q1,경남(지역),Z22,경남,AA,업황BSI,,,74.0,3,75.0,-1.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q2,경남(지역),Z22,경남,AA,업황BSI,,,77.67,3,74.33,3.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
