industry,quarter,kicox_employment_yoy,mfg_emp_yoy,employment,eis_manufacturing_level,eis_manufacturing_yoy,aggregate_direction,aggregate_yoy_gap_pp,source_category,insured_level,insured_yoy,mapping_type,mapping_confidence,mapping_rationale,industry_direction,industry_yoy_gap_pp,industry_mapping_uncertain,employment_cross_source_agreement,employment_cross_source_disagreement,cross_source_population_note,cross_source_available
기계,2022Q1,-3.6718354575990375,0.2392876066111826,62805.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2022Q1,-1.5151515151515138,0.2392876066111826,195.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2022Q1,2.298850574712641,0.2392876066111826,267.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2022Q1,-3.663003663003661,0.2392876066111826,263.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2022Q1,4.098360655737698,0.2392876066111826,508.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2022Q1,-11.363636363636363,0.2392876066111826,39.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2022Q1,-1.7370356282490174,0.2392876066111826,15500.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2022Q1,1.9471488178025127,0.2392876066111826,733.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2022Q1,11.377464103188116,0.2392876066111826,27459.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2022Q1,1.286686516376001,0.2392876066111826,9525.0,110281,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
