period,region_name,industry_code,industry_name,job_openings,job_opening_rate,loss_rate,losses,acquisition_rate,acquisitions,workers,net_flow,workers_lag,acq_lag,loss_lag,workers_yoy,acquisition_yoy,loss_yoy,quarters_covered,industry,mapping_grade,geography,population_scope,source,source_table_id,frequency,coverage_flag,role,net_flow_note
201801,경상남도 창원시,IND201700,전산업,1959.0,0.6,3.6,12215.0,3.6,12136.0,355735.0,-79.0,,,,,,,2018Q1|2018Q2,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
201802,경상남도 창원시,IND201700,전산업,1849.0,0.6,3.3,10793.0,3.2,10665.0,352567.0,-128.0,,,,,,,2018Q3|2018Q4,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
201901,경상남도 창원시,IND201700,전산업,1524.0,0.4,4.6,15530.0,4.6,15506.0,358899.0,-24.0,355735.0,12136.0,12215.0,0.889426117756198,27.7686222808174,27.13876381498157,2019Q1|2019Q2,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
201902,경상남도 창원시,IND201700,전산업,2059.0,0.6,3.8,12824.0,3.2,10987.0,358524.0,-1837.0,352567.0,10665.0,10793.0,1.689607932676629,3.0192217533989707,18.817752246826647,2019Q3|2019Q4,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202001,경상남도 창원시,IND201700,전산업,1626.0,0.5,4.5,14865.0,3.0,9948.0,347643.0,-4917.0,358899.0,15506.0,15530.0,-3.136258390243496,-35.844189346059586,-4.282034771410171,2020Q1|2020Q2,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202002,경상남도 창원시,IND201700,전산업,1353.0,0.4,3.3,10940.0,3.3,10992.0,349753.0,52.0,358524.0,10987.0,12824.0,-2.446419207640216,0.04550832802403537,-14.691203992514035,2020Q3|2020Q4,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202101,경상남도 창원시,IND201700,전산업,1808.0,0.6,3.4,10985.0,4.2,13682.0,342776.0,2697.0,347643.0,9948.0,14865.0,-1.3999994246971736,37.53518295134701,-26.101580894719135,2021Q1|2021Q2,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202102,경상남도 창원시,IND201700,전산업,1990.0,0.6,3.0,9870.0,4.0,13246.0,350798.0,3376.0,349753.0,10992.0,10940.0,0.29878228349720093,20.505822416302767,-9.780621572212066,2021Q3|2021Q4,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202201,경상남도 창원시,IND201700,전산업,1449.0,0.4,4.4,14846.0,4.7,15818.0,354815.0,972.0,342776.0,13682.0,10985.0,3.512206222139236,15.611752667738642,35.14792899408283,2022Q1|2022Q2,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
202202,경상남도 창원시,IND201700,전산업,1919.0,0.6,3.7,12782.0,3.5,11836.0,360884.0,-946.0,350798.0,13246.0,9870.0,2.8751589233690034,-10.644722935225726,29.50354609929078,2022Q3|2022Q4,해당없음(제조업 총계),D,경상남도 창원시,창원시 전역 사업체 표본조사 — 창원국가산단 아님,"고용노동부 사업체노동력조사(지역편), KOSIS",DT_118N_MONA49 / DT_118N_MONA59,반기,manufacturing_aggregate_halfyear,FLOW_INTERPRETATION,입직-이직이며 KICOX 고용 증감과 같은 개념이 아니다. 모집단·정의·빈도가 모두 다르다.
