"industry","quarter","g4","cai_observe","cai_check","cai_priority","cai_undetermined","necessary_stage","possible_stages","n_possible","is_discriminating","prereg_status","phase","electre_stage"
"섬유의복","2022Q1","2.0","0.9765042979942693","0.02349570200573066","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","OBSERVE"
"섬유의복","2022Q2","3.0","0.7438395415472779","0.25616045845272206","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","CHECK"
"섬유의복","2022Q3","4.0","0.7438395415472779","0.2332378223495702","0.022922636103151862","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","CHECK"
"기타","2022Q4","5.0","0.06475644699140401","0.03495702005730659","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"기타","2023Q1","6.0","0.05501432664756447","0.04469914040114613","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"기타","2023Q2","7.0","0.0670487106017192","0.032664756446991405","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"기타","2023Q3","8.0","0.0830945558739255","0.0166189111747851","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"목재종이","2023Q3","4.0","0.09283667621776505","0.006876790830945559","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"목재종이","2023Q4","5.0","0.0","0.0","0.0","1.0","UNDETERMINED","UNDETERMINED","1","False","DRAFT","3","UNDETERMINED"
"섬유의복","2023Q4","1.0","0.0","0.0","0.0","1.0","UNDETERMINED","UNDETERMINED","1","False","DRAFT","3","UNDETERMINED"
"목재종이","2024Q1","6.0","0.7243553008595989","0.019484240687679084","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2024Q1","2.0","0.7340974212034383","0.2659025787965616","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","CHECK"
"목재종이","2024Q2","7.0","0.7157593123209169","0.028080229226361032","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"비금속","2024Q2","11.0","0.7255014326647564","0.01833810888252149","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2024Q2","3.0","0.09742120343839542","0.8544412607449857","0.048137535816618914","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","CHECK"
"목재종이","2024Q3","8.0","0.6103151862464183","0.1335243553008596","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"비금속","2024Q3","12.0","0.09283667621776505","0.1346704871060172","0.7724928366762178","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2024Q3","4.0","0.7438395415472779","0.25616045845272206","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","CHECK"
"목재종이","2024Q4","9.0","0.0","0.0","0.0","1.0","UNDETERMINED","UNDETERMINED","1","False","DRAFT","3","UNDETERMINED"
"섬유의복","2024Q4","5.0","0.0","0.0","0.0","1.0","UNDETERMINED","UNDETERMINED","1","False","DRAFT","3","UNDETERMINED"
"기타","2025Q1","1.0","0.9696275071633238","0.03037249283667622","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","OBSERVE"
"비금속","2025Q1","14.0","0.034383954154727794","0.06532951289398281","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2025Q1","6.0","0.12378223495702005","0.6200573065902579","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"전기전자","2025Q1","1.0","0.0","1.0","0.0","0.0","CHECK","CHECK","1","True","DRAFT","3","CHECK"
"기타","2025Q2","2.0","0.6905444126074498","0.30945558739255014","0.0","0.0","","OBSERVE|CHECK","2","True","DRAFT","3","CHECK"
"비금속","2025Q2","15.0","0.05501432664756447","0.04469914040114613","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2025Q2","7.0","0.5421203438395416","0.2017191977077364","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"전기전자","2025Q2","2.0","0.0","0.7845272206303725","0.2154727793696275","0.0","","CHECK|PRIORITY","2","True","DRAFT","3","CHECK"
"기타","2025Q3","3.0","0.6876790830945558","0.28939828080229224","0.022922636103151862","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","CHECK"
"비금속","2025Q3","16.0","0.04871060171919771","0.05100286532951289","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"섬유의복","2025Q3","8.0","0.09799426934097422","0.0017191977077363897","0.9002865329512894","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"기타","2025Q4","4.0","0.4997134670487106","0.24412607449856732","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"비금속","2025Q4","17.0","0.3449856733524355","0.3988538681948424","0.25616045845272206","0.0","","OBSERVE|CHECK|PRIORITY","3","True","DRAFT","3","PRIORITY"
"운송장비","2025Q4","4.0","0.0","0.0","1.0","0.0","PRIORITY","PRIORITY","1","True","DRAFT","3","PRIORITY"
"전기전자","2025Q4","4.0","0.0","0.15644699140401147","0.8435530085959886","0.0","","CHECK|PRIORITY","2","True","DRAFT","3","PRIORITY"
