indicator,industry,month,value,vintage,quarter,value_lag12,vintage_lag12,yoy_pct,vintage_consistent
employment,기계,2022-10,60644.0,annual_revision,2022Q4,,,,
employment,기계,2022-11,60693.0,annual_revision,2022Q4,,,,
employment,기계,2022-12,60589.0,annual_revision,2022Q4,,,,
employment,기계,2023-01,56565.0,annual_revision,2023Q1,,,,
employment,기계,2023-02,56428.0,annual_revision,2023Q1,,,,
employment,기계,2023-03,56683.0,annual_revision,2023Q1,,,,
employment,기계,2023-04,56651.0,annual_revision,2023Q2,,,,
employment,기계,2023-05,56771.0,annual_revision,2023Q2,,,,
employment,기계,2023-06,56736.0,annual_revision,2023Q2,,,,
employment,기계,2023-07,56595.0,annual_revision,2023Q3,,,,
employment,기계,2023-08,56527.0,annual_revision,2023Q3,,,,
employment,기계,2023-09,56526.0,annual_revision,2023Q3,,,,
employment,기계,2023-10,56778.0,annual_revision,2023Q4,60644.0,annual_revision,-6.374909306773957,True
employment,기계,2023-11,56482.0,annual_revision,2023Q4,60693.0,annual_revision,-6.938197156179459,True
employment,기계,2023-12,56487.0,annual_revision,2023Q4,60589.0,annual_revision,-6.770205812936336,True
employment,기계,2024-01,56405.0,annual_revision,2024Q1,56565.0,annual_revision,-0.2828604260585177,True
employment,기계,2024-02,56426.0,annual_revision,2024Q1,56428.0,annual_revision,-0.0035443396895207258,True
employment,기계,2024-03,56321.0,annual_revision,2024Q1,56683.0,annual_revision,-0.6386394509817706,True
employment,기타,2022-10,158.0,annual_revision,2022Q4,,,,
employment,기타,2022-11,158.0,annual_revision,2022Q4,,,,
employment,기타,2022-12,158.0,annual_revision,2022Q4,,,,
employment,기타,2023-01,147.0,annual_revision,2023Q1,,,,
employment,기타,2023-02,147.0,annual_revision,2023Q1,,,,
employment,기타,2023-03,147.0,annual_revision,2023Q1,,,,
employment,기타,2023-04,147.0,annual_revision,2023Q2,,,,
employment,기타,2023-05,159.0,annual_revision,2023Q2,,,,
employment,기타,2023-06,158.0,annual_revision,2023Q2,,,,
employment,기타,2023-07,170.0,annual_revision,2023Q3,,,,
employment,기타,2023-08,170.0,annual_revision,2023Q3,,,,
employment,기타,2023-09,170.0,annual_revision,2023Q3,,,,
employment,기타,2023-10,170.0,annual_revision,2023Q4,158.0,annual_revision,7.594936708860756,True
employment,기타,2023-11,170.0,annual_revision,2023Q4,158.0,annual_revision,7.594936708860756,True
employment,기타,2023-12,170.0,annual_revision,2023Q4,158.0,annual_revision,7.594936708860756,True
employment,기타,2024-01,170.0,annual_revision,2024Q1,147.0,annual_revision,15.646258503401356,True
employment,기타,2024-02,170.0,annual_revision,2024Q1,147.0,annual_revision,15.646258503401356,True
employment,기타,2024-03,173.0,annual_revision,2024Q1,147.0,annual_revision,17.68707482993197,True
employment,목재종이,2022-10,266.0,annual_revision,2022Q4,,,,
employment,목재종이,2022-11,266.0,annual_revision,2022Q4,,,,
employment,목재종이,2022-12,263.0,annual_revision,2022Q4,,,,
employment,목재종이,2023-01,259.0,annual_revision,2023Q1,,,,
employment,목재종이,2023-02,258.0,annual_revision,2023Q1,,,,
employment,목재종이,2023-03,258.0,annual_revision,2023Q1,,,,
employment,목재종이,2023-04,259.0,annual_revision,2023Q2,,,,
employment,목재종이,2023-05,258.0,annual_revision,2023Q2,,,,
employment,목재종이,2023-06,258.0,annual_revision,2023Q2,,,,
employment,목재종이,2023-07,258.0,annual_revision,2023Q3,,,,
employment,목재종이,2023-08,252.0,annual_revision,2023Q3,,,,
employment,목재종이,2023-09,252.0,annual_revision,2023Q3,,,,
employment,목재종이,2023-10,252.0,annual_revision,2023Q4,266.0,annual_revision,-5.263157894736848,True
employment,목재종이,2023-11,266.0,annual_revision,2023Q4,266.0,annual_revision,0.0,True
employment,목재종이,2023-12,239.0,annual_revision,2023Q4,263.0,annual_revision,-9.125475285171103,True
employment,목재종이,2024-01,239.0,annual_revision,2024Q1,259.0,annual_revision,-7.722007722007717,True
employment,목재종이,2024-02,239.0,annual_revision,2024Q1,258.0,annual_revision,-7.36434108527132,True
employment,목재종이,2024-03,239.0,annual_revision,2024Q1,258.0,annual_revision,-7.36434108527132,True
employment,비금속,2022-10,258.0,annual_revision,2022Q4,,,,
