source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source
ECOS 업종코드,식료품,C1000,음식료,direct,A,KSIC 10 식료품. 음료(C1100)와 함께 '음식료'를 구성,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,음료,C1100,음식료,direct,A,KSIC 11 음료. 식료품(C1000)과 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,섬유,C1300,섬유의복,direct,A,KSIC 13 섬유. 의복모피(C1400)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,의복모피,C1400,섬유의복,direct,A,KSIC 14 의복. 섬유(C1300)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,목재·나무,C1600,목재종이,direct,A,KSIC 16 목재. 펄프·종이(C1700)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,펄프·종이,C1700,목재종이,direct,A,KSIC 17 펄프·종이. 목재(C1600)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,석유정제·코크스,C1900,석유화학,direct,A,KSIC 19 석유정제. 화학(C2000)과 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,화학물질·제품,C2000,석유화학,direct,A,KSIC 20 화학. 석유정제(C1900)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,고무·플라스틱,C2200,석유화학,approximate,B,KSIC 22. 관행상 화학계열이나 KICOX 공표 정의로 확정 불가,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,비금속광물,C2300,비금속,direct,A,KSIC 23. 명칭·범위 직접 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,1차금속,C2400,철강,approximate,B,KSIC 24 는 비철금속도 포함해 '철강'보다 범위가 넓다,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,금속가공,C2500,기계,ambiguous,C,KSIC 25 가 KICOX 에서 '철강'과 '기계' 중 어디로 집계되는지 확정 불가,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,전자·영상·통신장비,C2600,전기전자,direct,A,KSIC 26. 전기장비(C2800)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,전기장비,C2800,전기전자,direct,A,KSIC 28. 전자·영상·통신(C2600)과 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,기타기계·장비,C2900,기계,direct,A,KSIC 29. KICOX '기계'의 중심 범위,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,자동차,C3000,운송장비,direct,A,KSIC 30. 조선·기타운수(C3100)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,조선·기타운수,C3100,운송장비,direct,A,KSIC 31. 자동차(C3000)와 함께 대응,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
ECOS 업종코드,제조업,C0000,해당없음(제조업 총계),approximate,B,업종 배분 금지. 제조업 총계 맥락으로만 사용,한국은행 ECOS 512Y007 업종별 기업경기실사지수 업종코드 (KSIC 중분류 기반). 전국 단위 심리지수
