hs6,hs_chapter,chapter_name_ko,hs6_name_ko,target_kicox_industry,mapping_type,mapping_confidence,rationale,nature_major_code,nature_major_name,valid_through,source
720110,72,제72류 철강,비합금선철(인의 함유량이 전 중량의 100분의 0.5 이하인 것으로 한정한다),철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720120,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720150,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720211,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720219,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720221,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720229,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720230,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720241,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720249,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720250,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720260,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720270,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720280,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720291,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720292,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720293,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720299,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720310,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720390,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720410,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720421,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720429,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720430,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
