source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source
HS 6단위,승용차,870323,운송장비,direct,A,HS 87류 자동차,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,기어박스와 부분품,870840,운송장비,direct,A,HS 87류 자동차 부품,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,자동차부품 기타,870899,운송장비,direct,A,HS 87류 자동차 부품,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,도금 평판압연제품,721049,철강,direct,A,HS 72류 철강,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,철구조물 기타,730890,철강,direct,A,HS 73류 철강제품,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,펌프 기타,841319,기계,approximate,B,HS 84류. 84류는 전산기기(8471 등)도 포함해 류 단위로는 범위가 넓다,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,잭·호이스트,842542,기계,approximate,B,HS 84류 기계,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,선반 기타,845819,기계,approximate,B,HS 84류 기계,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,기타 기계류,847989,기계,approximate,B,HS 84류 기계,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,밸브 기타,848180,기계,approximate,B,HS 84류 기계,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,정지형 변환기,850440,전기전자,approximate,B,HS 85류 전기기기,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,개폐기기 기타,853690,전기전자,approximate,B,HS 85류 전기기기,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
HS 6단위,전선 기타,854449,전기전자,approximate,B,HS 85류 전기기기,관세청 시군구별 품목별 수출입실적 API 응답으로 존재를 확인한 HS 6단위 (data/raw/customs/trade/)
