source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source,official_crosswalk,note
KEPCO 업종분류(비공식),식료품제조,,음식료,approximate,B,KEPCO 업종명 → KSIC 중분류 10 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),음료품제조,,음식료,approximate,B,KEPCO 업종명 → KSIC 중분류 11 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),담배제조업,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 12 → KICOX (ksic_to_kicox.csv 경유). KICOX 10업종에 담배 대응 항목이 없다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,창원 관측치 없음
KEPCO 업종분류(비공식),섬 유,,섬유의복,approximate,B,KEPCO 업종명 → KSIC 중분류 13 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),의복. 모피,,섬유의복,approximate,B,KEPCO 업종명 → KSIC 중분류 14 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),가죽. 신발,,섬유의복,ambiguous,C,KEPCO 업종명 → KSIC 중분류 15 → KICOX (ksic_to_kicox.csv 경유). KSIC 15 가 KICOX '섬유의복' 에 포함되는지 공표 정의로 확정 불가. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),목재. 나무,,목재종이,approximate,B,KEPCO 업종명 → KSIC 중분류 16 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),펄프. 종이,,목재종이,approximate,B,KEPCO 업종명 → KSIC 중분류 17 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),출판. 인쇄,,목재종이,ambiguous,C,KEPCO 업종명 → KSIC 중분류 18 → KICOX (ksic_to_kicox.csv 경유). KICOX '목재종이' 에 인쇄가 포함되는지 불확실. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),석유 정제,,석유화학,approximate,B,KEPCO 업종명 → KSIC 중분류 19 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),화학 제품,,석유화학,approximate,B,KEPCO 업종명 → KSIC 중분류 20 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),고무. 플라,,석유화학,ambiguous,C,KEPCO 업종명 → KSIC 중분류 22 → KICOX (ksic_to_kicox.csv 경유). 관행상 화학계열이나 KICOX 공표 정의로 확정 불가. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),유 리,,비금속,ambiguous,C,KEPCO 업종명 → KSIC 중분류 23 → KICOX (ksic_to_kicox.csv 경유). KSIC 23(비금속광물제품)의 일부만 담는다 — 도자기·콘크리트 등이 빠진다. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,부분포함
KEPCO 업종분류(비공식),시 멘 트,,비금속,ambiguous,C,KEPCO 업종명 → KSIC 중분류 23 → KICOX (ksic_to_kicox.csv 경유). KSIC 23 의 일부만 담는다. '유 리' 와 합쳐도 23 전체가 되는지 확정 불가. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,부분포함
KEPCO 업종분류(비공식),1차 금속,,철강,ambiguous,C,KEPCO 업종명 → KSIC 중분류 24 → KICOX (ksic_to_kicox.csv 경유). KSIC 24 는 비철금속도 포함해 '철강' 보다 범위가 넓다. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),조립 금속,,기계,ambiguous,C,KEPCO 업종명 → KSIC 중분류 25 → KICOX (ksic_to_kicox.csv 경유). KICOX 에서 금속가공이 '철강'과 '기계' 중 어디로 집계되는지 확정 불가. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),영상. 음향,,전기전자,ambiguous,C,KEPCO 업종명 → KSIC 중분류 26 → KICOX (ksic_to_kicox.csv 경유). KSIC 26 이 '영상. 음향'·'사무 기기' 둘로 쪼개져 있다. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,부분포함
KEPCO 업종분류(비공식),사무 기기,,전기전자,ambiguous,C,KEPCO 업종명 → KSIC 중분류 26 → KICOX (ksic_to_kicox.csv 경유). KSIC 26 의 컴퓨터·사무기기 부분. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,부분포함
KEPCO 업종분류(비공식),의료. 광학,,전기전자,ambiguous,C,KEPCO 업종명 → KSIC 중분류 27 → KICOX (ksic_to_kicox.csv 경유). KICOX '전기전자' 에 포함되는 것으로 보이나 의료기기 범위가 불확실. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),전기 기기,,전기전자,approximate,B,KEPCO 업종명 → KSIC 중분류 28 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),기타 기계,,기계,approximate,B,KEPCO 업종명 → KSIC 중분류 29 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),자 동 차,,운송장비,approximate,B,KEPCO 업종명 → KSIC 중분류 30 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
