industry,quarter,parameter_stages,parameter_range_kind
기계,2022Q1,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기계,2022Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기계,2022Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기계,2022Q4,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기계,2023Q1,PRIORITY,연속공간 검증(수치 허용오차)
기계,2023Q2,PRIORITY,연속공간 검증(수치 허용오차)
기계,2023Q3,PRIORITY,연속공간 검증(수치 허용오차)
기계,2023Q4,,UNDETERMINED
기계,2024Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
기계,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
기계,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
기계,2024Q4,,UNDETERMINED
기계,2025Q1,OBSERVE,연속공간 검증(수치 허용오차)
기계,2025Q2,OBSERVE,연속공간 검증(수치 허용오차)
기계,2025Q3,OBSERVE,연속공간 검증(수치 허용오차)
기계,2025Q4,OBSERVE,연속공간 검증(수치 허용오차)
기계,2026Q1,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기계,2026Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기타,2022Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
기타,2022Q2,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기타,2022Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기타,2022Q4,PRIORITY,연속공간 검증(수치 허용오차)
기타,2023Q1,PRIORITY,연속공간 검증(수치 허용오차)
기타,2023Q2,PRIORITY,연속공간 검증(수치 허용오차)
기타,2023Q3,PRIORITY,연속공간 검증(수치 허용오차)
기타,2023Q4,,UNDETERMINED
기타,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
기타,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
기타,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
기타,2024Q4,,UNDETERMINED
기타,2025Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
기타,2025Q2,CHECK,연속공간 검증(수치 허용오차)
기타,2025Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
기타,2025Q4,PRIORITY,연속공간 검증(수치 허용오차)
기타,2026Q1,OBSERVE,연속공간 검증(수치 허용오차)
기타,2026Q2,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2022Q1,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2022Q2,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2022Q3,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2022Q4,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
목재종이,2023Q1,CHECK|PRIORITY,미해결 연속공간의 보수적 외부범위
목재종이,2023Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2023Q3,PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2023Q4,,UNDETERMINED
목재종이,2024Q1,PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2024Q2,PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2024Q3,PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2024Q4,,UNDETERMINED
목재종이,2025Q1,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2025Q2,OBSERVE,연속공간 검증(수치 허용오차)
