industry,quarter,v1.0_crisp
기계,2022Q1,1
기계,2022Q2,2
기계,2022Q3,2
기계,2022Q4,2
기계,2023Q1,2
기계,2023Q2,2
기계,2023Q3,2
기계,2023Q4,-1
기계,2024Q1,1
기계,2024Q2,0
기계,2024Q3,0
기계,2024Q4,-1
기계,2025Q1,0
기계,2025Q2,0
기계,2025Q3,0
기계,2025Q4,0
기계,2026Q1,1
기계,2026Q2,2
기타,2022Q1,1
기타,2022Q2,1
기타,2022Q3,2
기타,2022Q4,2
기타,2023Q1,2
기타,2023Q2,2
기타,2023Q3,2
기타,2023Q4,-1
기타,2024Q1,0
기타,2024Q2,0
기타,2024Q3,0
기타,2024Q4,-1
기타,2025Q1,0
기타,2025Q2,1
기타,2025Q3,1
기타,2025Q4,2
기타,2026Q1,0
기타,2026Q2,0
목재종이,2022Q1,0
목재종이,2022Q2,0
목재종이,2022Q3,0
목재종이,2022Q4,0
목재종이,2023Q1,1
목재종이,2023Q2,1
목재종이,2023Q3,2
목재종이,2023Q4,-1
목재종이,2024Q1,2
목재종이,2024Q2,2
목재종이,2024Q3,2
목재종이,2024Q4,-1
목재종이,2025Q1,0
목재종이,2025Q2,0
목재종이,2025Q3,0
목재종이,2025Q4,0
목재종이,2026Q1,2
목재종이,2026Q2,2
비금속,2022Q1,1
비금속,2022Q2,1
비금속,2022Q3,1
비금속,2022Q4,1
비금속,2023Q1,1
비금속,2023Q2,1
비금속,2023Q3,1
비금속,2023Q4,-1
비금속,2024Q1,1
비금속,2024Q2,2
비금속,2024Q3,2
비금속,2024Q4,-1
비금속,2025Q1,2
비금속,2025Q2,2
비금속,2025Q3,2
비금속,2025Q4,2
비금속,2026Q1,1
비금속,2026Q2,0
석유화학,2022Q1,0
석유화학,2022Q2,0
석유화학,2022Q3,0
석유화학,2022Q4,0
석유화학,2023Q1,0
석유화학,2023Q2,0
석유화학,2023Q3,0
석유화학,2023Q4,-1
석유화학,2024Q1,0
석유화학,2024Q2,0
석유화학,2024Q3,0
석유화학,2024Q4,-1
석유화학,2025Q1,1
석유화학,2025Q2,2
석유화학,2025Q3,0
석유화학,2025Q4,0
석유화학,2026Q1,0
석유화학,2026Q2,0
섬유의복,2022Q1,1
섬유의복,2022Q2,1
섬유의복,2022Q3,2
섬유의복,2022Q4,0
섬유의복,2023Q1,0
섬유의복,2023Q2,0
섬유의복,2023Q3,0
섬유의복,2023Q4,-1
섬유의복,2024Q1,1
섬유의복,2024Q2,1
섬유의복,2024Q3,1
섬유의복,2024Q4,-1
섬유의복,2025Q1,2
섬유의복,2025Q2,2
섬유의복,2025Q3,2
섬유의복,2025Q4,0
섬유의복,2026Q1,0
섬유의복,2026Q2,0
운송장비,2022Q1,1
운송장비,2022Q2,1
운송장비,2022Q3,1
운송장비,2022Q4,0
운송장비,2023Q1,0
운송장비,2023Q2,0
운송장비,2023Q3,0
운송장비,2023Q4,-1
운송장비,2024Q1,0
운송장비,2024Q2,0
운송장비,2024Q3,0
운송장비,2024Q4,-1
운송장비,2025Q1,0
운송장비,2025Q2,1
운송장비,2025Q3,1
운송장비,2025Q4,2
운송장비,2026Q1,1
운송장비,2026Q2,1
음식료,2022Q1,0
음식료,2022Q2,0
음식료,2022Q3,0
음식료,2022Q4,0
음식료,2023Q1,0
음식료,2023Q2,0
음식료,2023Q3,0
음식료,2023Q4,-1
음식료,2024Q1,0
음식료,2024Q2,0
음식료,2024Q3,0
음식료,2024Q4,-1
음식료,2025Q1,2
음식료,2025Q2,2
음식료,2025Q3,2
음식료,2025Q4,2
음식료,2026Q1,2
음식료,2026Q2,1
전기전자,2022Q1,0
전기전자,2022Q2,0
전기전자,2022Q3,0
전기전자,2022Q4,1
전기전자,2023Q1,0
전기전자,2023Q2,0
전기전자,2023Q3,0
전기전자,2023Q4,-1
전기전자,2024Q1,0
전기전자,2024Q2,0
전기전자,2024Q3,0
전기전자,2024Q4,-1
전기전자,2025Q1,0
전기전자,2025Q2,1
전기전자,2025Q3,1
전기전자,2025Q4,2
전기전자,2026Q1,1
전기전자,2026Q2,1
철강,2022Q1,0
철강,2022Q2,0
철강,2022Q3,0
철강,2022Q4,1
철강,2023Q1,1
철강,2023Q2,1
철강,2023Q3,1
철강,2023Q4,-1
철강,2024Q1,0
철강,2024Q2,0
철강,2024Q3,0
철강,2024Q4,-1
철강,2025Q1,0
철강,2025Q2,0
철강,2025Q3,0
철강,2025Q4,0
철강,2026Q1,0
철강,2026Q2,1
