industry,quarter,stage
기계,2022Q1,추가확인
기타,2022Q1,관찰
목재종이,2022Q1,관찰
비금속,2022Q1,관찰
석유화학,2022Q1,관찰
섬유의복,2022Q1,추가확인
운송장비,2022Q1,관찰
음식료,2022Q1,관찰
전기전자,2022Q1,관찰
철강,2022Q1,관찰
기계,2022Q2,우선점검
기타,2022Q2,관찰
목재종이,2022Q2,관찰
비금속,2022Q2,관찰
석유화학,2022Q2,관찰
섬유의복,2022Q2,추가확인
운송장비,2022Q2,관찰
음식료,2022Q2,관찰
전기전자,2022Q2,관찰
철강,2022Q2,관찰
기계,2022Q3,우선점검
기타,2022Q3,관찰
목재종이,2022Q3,관찰
비금속,2022Q3,관찰
석유화학,2022Q3,관찰
섬유의복,2022Q3,추가확인
운송장비,2022Q3,관찰
음식료,2022Q3,관찰
전기전자,2022Q3,관찰
철강,2022Q3,관찰
기계,2022Q4,우선점검
기타,2022Q4,추가확인
목재종이,2022Q4,관찰
비금속,2022Q4,관찰
석유화학,2022Q4,관찰
섬유의복,2022Q4,관찰
운송장비,2022Q4,관찰
음식료,2022Q4,관찰
전기전자,2022Q4,관찰
철강,2022Q4,관찰
기계,2023Q1,우선점검
기타,2023Q1,추가확인
목재종이,2023Q1,관찰
비금속,2023Q1,관찰
석유화학,2023Q1,관찰
섬유의복,2023Q1,관찰
운송장비,2023Q1,관찰
음식료,2023Q1,관찰
전기전자,2023Q1,관찰
철강,2023Q1,관찰
기계,2023Q2,우선점검
기타,2023Q2,추가확인
목재종이,2023Q2,관찰
비금속,2023Q2,관찰
석유화학,2023Q2,관찰
섬유의복,2023Q2,관찰
운송장비,2023Q2,관찰
음식료,2023Q2,관찰
전기전자,2023Q2,관찰
철강,2023Q2,관찰
기계,2023Q3,우선점검
기타,2023Q3,추가확인
목재종이,2023Q3,추가확인
비금속,2023Q3,관찰
석유화학,2023Q3,관찰
섬유의복,2023Q3,관찰
운송장비,2023Q3,관찰
음식료,2023Q3,관찰
전기전자,2023Q3,관찰
철강,2023Q3,관찰
기계,2023Q4,자료확인
기타,2023Q4,자료확인
목재종이,2023Q4,자료확인
비금속,2023Q4,자료확인
석유화학,2023Q4,자료확인
섬유의복,2023Q4,자료확인
운송장비,2023Q4,자료확인
음식료,2023Q4,자료확인
전기전자,2023Q4,자료확인
철강,2023Q4,자료확인
기계,2024Q1,관찰
기타,2024Q1,관찰
목재종이,2024Q1,추가확인
비금속,2024Q1,관찰
석유화학,2024Q1,관찰
섬유의복,2024Q1,추가확인
운송장비,2024Q1,관찰
음식료,2024Q1,관찰
전기전자,2024Q1,관찰
철강,2024Q1,관찰
기계,2024Q2,관찰
기타,2024Q2,관찰
목재종이,2024Q2,추가확인
비금속,2024Q2,추가확인
석유화학,2024Q2,관찰
섬유의복,2024Q2,추가확인
운송장비,2024Q2,관찰
음식료,2024Q2,관찰
전기전자,2024Q2,관찰
철강,2024Q2,관찰
기계,2024Q3,관찰
기타,2024Q3,관찰
목재종이,2024Q3,추가확인
비금속,2024Q3,추가확인
석유화학,2024Q3,관찰
섬유의복,2024Q3,추가확인
운송장비,2024Q3,관찰
음식료,2024Q3,관찰
전기전자,2024Q3,관찰
철강,2024Q3,관찰
기계,2024Q4,자료확인
기타,2024Q4,자료확인
목재종이,2024Q4,자료확인
비금속,2024Q4,자료확인
석유화학,2024Q4,자료확인
섬유의복,2024Q4,자료확인
운송장비,2024Q4,자료확인
음식료,2024Q4,자료확인
전기전자,2024Q4,자료확인
철강,2024Q4,자료확인
기계,2025Q1,관찰
기타,2025Q1,추가확인
목재종이,2025Q1,관찰
비금속,2025Q1,추가확인
석유화학,2025Q1,관찰
섬유의복,2025Q1,추가확인
운송장비,2025Q1,관찰
음식료,2025Q1,우선점검
전기전자,2025Q1,추가확인
철강,2025Q1,관찰
기계,2025Q2,관찰
기타,2025Q2,추가확인
목재종이,2025Q2,관찰
비금속,2025Q2,추가확인
석유화학,2025Q2,우선점검
섬유의복,2025Q2,추가확인
운송장비,2025Q2,관찰
음식료,2025Q2,우선점검
전기전자,2025Q2,추가확인
철강,2025Q2,관찰
기계,2025Q3,관찰
기타,2025Q3,추가확인
목재종이,2025Q3,관찰
비금속,2025Q3,추가확인
석유화학,2025Q3,관찰
섬유의복,2025Q3,추가확인
운송장비,2025Q3,관찰
음식료,2025Q3,우선점검
전기전자,2025Q3,관찰
철강,2025Q3,관찰
기계,2025Q4,관찰
기타,2025Q4,추가확인
목재종이,2025Q4,관찰
비금속,2025Q4,추가확인
석유화학,2025Q4,관찰
섬유의복,2025Q4,관찰
운송장비,2025Q4,추가확인
음식료,2025Q4,우선점검
전기전자,2025Q4,추가확인
철강,2025Q4,관찰
기계,2026Q1,관찰
기타,2026Q1,관찰
목재종이,2026Q1,우선점검
비금속,2026Q1,관찰
석유화학,2026Q1,관찰
섬유의복,2026Q1,관찰
운송장비,2026Q1,관찰
음식료,2026Q1,우선점검
전기전자,2026Q1,관찰
철강,2026Q1,관찰
기계,2026Q2,우선점검
기타,2026Q2,관찰
목재종이,2026Q2,우선점검
비금속,2026Q2,관찰
석유화학,2026Q2,관찰
섬유의복,2026Q2,관찰
운송장비,2026Q2,관찰
음식료,2026Q2,관찰
전기전자,2026Q2,관찰
철강,2026Q2,관찰
