quarter,power_usage_kwh,customers,bill_krw,unit_cost_avg,months,power_lag4,customers_lag4,power_usage_yoy,customers_yoy,industry,mapping_grade,geography,geography_grade,population_scope,source,source_table_id,frequency,coverage_flag,role,usage_note,excluded_series_note
2021Q1,1532744961,5803,168790114908,110.63333333333333,3,,,,,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2021Q2,1549034737,5851,159948625207,103.13333333333333,3,,,,,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2021Q3,1520223133,5796,174801081699,114.66666666666667,3,,,,,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2021Q4,1531304055,5925,173883096530,113.3,3,,,,,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2022Q1,1539588752,5842,174257468885,113.60000000000001,3,1532744961.0,5803.0,0.44650552923919395,0.6720661726693056,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2022Q2,1544695418,5870,173356402501,112.26666666666667,3,1549034737.0,5851.0,-0.2801305158852574,0.3247308152452666,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2022Q3,1503787868,5881,195306807455,129.6,3,1520223133.0,5796.0,-1.0811087295827915,1.4665286404416777,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2022Q4,1531130801,5881,211452633990,137.96666666666667,3,1531304055.0,5925.0,-0.011314147535512742,-0.7426160337552723,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2023Q1,1541275647,5902,234681544176,152.56666666666666,3,1539588752.0,5842.0,0.10956789582987625,1.0270455323519334,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2023Q2,1509459422,5892,222920499605,147.66666666666666,3,1544695418.0,5870.0,-2.281096686725592,0.37478705281090985,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
