year,month,sido,sigungu,legal_dong,ksic_major_name,ksic_major_code,ksic_mid_name,ksic_mid_code,cust_cnt,sales_kwh,sales_charge_won,source_sheet_month,masked
2021,01,경상남도,창원시 마산합포구,가포동,건설업,F,종합 건설업,41,14,14218,2909770,01,False
2021,01,경상남도,창원시 마산합포구,가포동,"공공 행정, 국방 및 사회보장 행정",O,공공행정/ 국방 및 사회보장 행정,84,8,10839,2848137,01,False
2021,01,경상남도,창원시 마산합포구,가포동,광업,B,금속 광업,06,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,교육 서비스업,P,교육 서비스업,85,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,"농업, 임업 및 어업",A,농업,01,22,3198,233360,01,False
2021,01,경상남도,창원시 마산합포구,가포동,도매 및 소매업,G,도매 및 상품중개업,46,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,도매 및 소매업,G,소매업; 자동차 제외,47,7,15427,1939649,01,False
2021,01,경상남도,창원시 마산합포구,가포동,보건업 및 사회복지 서비스업,Q,보건업,86,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,보건업 및 사회복지 서비스업,Q,사회복지 서비스업,87,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,부동산업,L,부동산업,68,38,67375,10204050,01,False
2021,01,경상남도,창원시 마산합포구,가포동,"사업시설 관리, 사업 지원 및 임대 서비스업",N,사업지원 서비스업,75,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,"수도, 하수 및 폐기물 처리, 원료 재생업",E,수도업,36,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,"수도, 하수 및 폐기물 처리, 원료 재생업",E,하수/ 폐수 및 분뇨 처리업,37,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,숙박 및 음식점업,I,숙박업,55,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,숙박 및 음식점업,I,음식점 및 주점업,56,25,66734,9754931,01,False
2021,01,경상남도,창원시 마산합포구,가포동,"예술, 스포츠 및 여가관련 서비스업",R,스포츠 및 오락관련 서비스업,91,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,운수 및 창고업,H,육상운송 및 파이프라인 운송업,49,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,운수 및 창고업,H,창고 및 운송관련 서비스업,52,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,"전기, 가스, 증기 및 공기 조절 공급업",D,전기/ 가스/ 증기 및 공기조절 공급업,35,9,414103,45677413,01,False
2021,01,경상남도,창원시 마산합포구,가포동,"전문, 과학 및 기술 서비스업",M,연구개발업,70,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,정보통신업,J,방송업,60,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,정보통신업,J,우편 및 통신업,61,48,34947,4412582,01,False
2021,01,경상남도,창원시 마산합포구,가포동,제조업,C,금속가공제품 제조업;기계 및 가구 제외,25,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,제조업,C,기타 기계 및 장비 제조업,29,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,제조업,C,기타 제품 제조업,33,5호미만제거,,,01,True
2021,01,경상남도,창원시 마산합포구,가포동,제조업,C,목재 및 나무제품 제조업;가구제외,16,5호미만제거,,,01,True
