quarter,completeness,n_months_complete,new_kwh,expansion_kwh,cancel_kwh,interpretation_status,net_new_cancel_kwh
2022Q2,COMPLETE,3,0.0,0.0,0.0,NOT_SUITABLE,0.0
2022Q3,COMPLETE,3,45394.0,1249.0,103.0,NOT_SUITABLE,45291.0
2022Q4,COMPLETE,3,0.0,0.0,0.0,NOT_SUITABLE,0.0
2023Q1,COMPLETE,3,16018.0,6341.0,892.0,NOT_SUITABLE,15126.0
2023Q2,COMPLETE,3,2406.0,2823.0,2713.0,NOT_SUITABLE,-307.0
2023Q3,COMPLETE,3,4537.0,365951.0,3413.0,NOT_SUITABLE,1124.0
2023Q4,COMPLETE,3,5205.0,4985.0,3858.0,NOT_SUITABLE,1347.0
2024Q1,COMPLETE,3,4456.0,22604.0,3903.0,NOT_SUITABLE,553.0
2024Q2,COMPLETE,3,20838.0,19214.0,4992.0,NOT_SUITABLE,15846.0
2024Q3,COMPLETE,3,3758.0,13182.0,3073.0,NOT_SUITABLE,685.0
2024Q4,COMPLETE,3,5216.0,11392.0,5642.0,NOT_SUITABLE,-426.0
2025Q1,COMPLETE,3,247738.0,7136.0,287643.0,NOT_SUITABLE,-39905.0
2025Q2,COMPLETE,3,4525.0,16939.0,15214.0,NOT_SUITABLE,-10689.0
2025Q3,COMPLETE,3,4304.0,8094.0,15555.0,NOT_SUITABLE,-11251.0
2025Q4,COMPLETE,3,3131.0,8252.0,2198.0,NOT_SUITABLE,933.0
2026Q1,COMPLETE,3,3603.0,9868.0,1939.0,NOT_SUITABLE,1664.0
2026Q2,COMPLETE,3,5077.0,34544.0,5266.0,NOT_SUITABLE,-189.0
