quarter,completeness,n_months_complete,power_usage_kwh,bill_won,cust_cnt,unit_cost_won_per_kwh,power_usage_kwh_lag4,cust_cnt_lag4,completeness_lag4,power_usage_kwh_yoy,cust_cnt_yoy
2021Q1,COMPLETE,3,1532744961.0,168790114908.0,5803.0,110.63333333333333,,,,,
2021Q2,COMPLETE,3,1549034737.0,159948625207.0,5851.0,103.13333333333333,,,,,
2021Q3,COMPLETE,3,1520223133.0,174801081699.0,5796.0,114.66666666666667,,,,,
2021Q4,COMPLETE,3,1531304055.0,173883096530.0,5925.0,113.3,,,,,
2022Q1,COMPLETE,3,1539588752.0,174257468885.0,5842.0,113.59999999999998,1532744961.0,5803.0,COMPLETE,0.44650552923919395,0.6720661726693056
2022Q2,COMPLETE,3,1544695418.0,173356402501.0,5870.0,112.26666666666667,1549034737.0,5851.0,COMPLETE,-0.2801305158852574,0.3247308152452666
2022Q3,COMPLETE,3,1503787868.0,195306807455.0,5881.0,129.6,1520223133.0,5796.0,COMPLETE,-1.0811087295827915,1.4665286404416777
2022Q4,COMPLETE,3,1531130801.0,211452633990.0,5881.0,137.96666666666667,1531304055.0,5925.0,COMPLETE,-0.011314147535512742,-0.7426160337552723
2023Q1,COMPLETE,3,1541275647.0,234681544176.0,5902.0,152.56666666666666,1539588752.0,5842.0,COMPLETE,0.10956789582987625,1.0270455323519334
2023Q2,COMPLETE,3,1509459422.0,222920499605.0,5892.0,147.66666666666666,1544695418.0,5870.0,COMPLETE,-2.281096686725592,0.37478705281090985
2023Q3,COMPLETE,3,1502535358.0,245885775659.0,5891.0,163.6,1503787868.0,5881.0,COMPLETE,-0.083290338128994,0.17003910899506813
2023Q4,COMPLETE,3,1456353669.0,241211548627.0,6001.0,165.3,1531130801.0,5881.0,COMPLETE,-4.883784713308758,2.0404693079408176
2024Q1,COMPLETE,3,1485037583.0,251175534523.0,6009.0,169.4,1541275647.0,5902.0,COMPLETE,-3.648799882711695,1.8129447644866126
2024Q2,COMPLETE,3,1458830657.0,233216585963.0,6035.0,159.93333333333334,1509459422.0,5892.0,COMPLETE,-3.3540991074088033,2.427019687712151
2024Q3,COMPLETE,3,1488574261.0,255090164524.0,6026.0,171.13333333333333,1502535358.0,5891.0,COMPLETE,-0.9291692821514319,2.2916313019860857
2024Q4,COMPLETE,3,1400444731.0,252418665100.0,6018.0,180.33333333333334,1456353669.0,6001.0,COMPLETE,-3.8389670854051317,0.28328611898016387
2025Q1,COMPLETE,3,1423510804.0,263410308709.0,6025.0,185.26666666666665,1485037583.0,6009.0,COMPLETE,-4.143112585454345,0.2662672657680165
2025Q2,COMPLETE,3,1408822420.0,249787686650.0,6033.0,177.33333333333334,1458830657.0,6035.0,COMPLETE,-3.427967239380547,-0.0331400165700102
2025Q3,COMPLETE,3,1475217617.0,276430456320.0,6033.0,187.5666666666667,1488574261.0,6026.0,COMPLETE,-0.8972776400840932,0.11616329239960699
2025Q4,COMPLETE,3,1360214152.0,253798298121.0,6031.0,186.1,1400444731.0,6018.0,COMPLETE,-2.872700229395919,0.21601861083415663
2026Q1,COMPLETE,3,1411178437.0,263048320429.0,6042.0,186.53333333333333,1423510804.0,6025.0,COMPLETE,-0.866334626006815,0.28215767634853783
2026Q2,COMPLETE,3,1419425162.0,251378688262.0,6026.0,176.9333333333333,1408822420.0,6033.0,COMPLETE,0.7525960582029922,-0.1160285098624203
