quarter,ym,kicox_industry,month_completeness,power_usage_kwh,cust_cnt,cntr_pwr_kw,n_biz_types,evidence_level,biz_types,kicox_mapped,power_usage_kwh_B,power_usage_per_customer,power_usage_per_contract_power,month_completeness_lag12,power_usage_kwh_lag12,cust_cnt_lag12,cntr_pwr_kw_lag12,total_power_usage_yoy,customer_count_yoy,contract_power_yoy
2021Q1,2021-01,기계,SOURCE_DEGENERATE,876,1,20,1,B,기타 기계,True,876.0,876.0,43.8,,,,,,,
2021Q1,2021-02,기계,SOURCE_DEGENERATE,894,1,20,1,B,기타 기계,True,894.0,894.0,44.7,,,,,,,
2021Q1,2021-03,기계,SOURCE_DEGENERATE,621,1,20,1,B,기타 기계,True,621.0,621.0,31.05,,,,,,,
2021Q2,2021-04,기계,SOURCE_DEGENERATE,682,1,20,1,B,기타 기계,True,682.0,682.0,34.1,,,,,,,
2021Q2,2021-05,기계,SOURCE_DEGENERATE,912,1,20,1,B,기타 기계,True,912.0,912.0,45.6,,,,,,,
2021Q2,2021-06,기계,SOURCE_DEGENERATE,1391,1,20,1,B,기타 기계,True,1391.0,1391.0,69.55,,,,,,,
2021Q3,2021-07,기계,SOURCE_DEGENERATE,1077,1,20,1,B,기타 기계,True,1077.0,1077.0,53.85,,,,,,,
2021Q3,2021-08,기계,SOURCE_DEGENERATE,1469,1,20,1,B,기타 기계,True,1469.0,1469.0,73.45,,,,,,,
2021Q3,2021-09,기계,SOURCE_DEGENERATE,1454,1,20,1,B,기타 기계,True,1454.0,1454.0,72.7,,,,,,,
2021Q4,2021-10,기계,SOURCE_DEGENERATE,1693,1,20,1,B,기타 기계,True,1693.0,1693.0,84.65,,,,,,,
2021Q4,2021-11,기계,SOURCE_DEGENERATE,660,1,20,1,B,기타 기계,True,660.0,660.0,33.0,,,,,,,
2021Q4,2021-12,기계,SOURCE_DEGENERATE,438,1,20,1,B,기타 기계,True,438.0,438.0,21.9,,,,,,,
2022Q1,2022-01,기계,SOURCE_DEGENERATE,455,1,20,1,B,기타 기계,True,455.0,455.0,22.75,SOURCE_DEGENERATE,876.0,1.0,20.0,,,
2022Q1,2022-02,기계,COMPLETE,116036261,1791,862372,2,C,기타 기계|조립 금속,True,69952345.0,64788.532104969294,134.55476406933434,SOURCE_DEGENERATE,894.0,1.0,20.0,,,
2022Q1,2022-03,기계,COMPLETE,124711863,1794,863525,2,C,기타 기계|조립 금속,True,74128311.0,69516.08862876255,144.4218326047306,SOURCE_DEGENERATE,621.0,1.0,20.0,,,
2022Q2,2022-04,기계,COMPLETE,118826293,1796,865120,2,C,기타 기계|조립 금속,True,71031906.0,66161.63307349666,137.3523823284631,SOURCE_DEGENERATE,682.0,1.0,20.0,,,
2022Q2,2022-05,기계,COMPLETE,116008607,1797,861000,2,C,기타 기계|조립 금속,True,69134616.0,64556.82081246522,134.7370580720093,SOURCE_DEGENERATE,912.0,1.0,20.0,,,
2022Q2,2022-06,기계,COMPLETE,117061707,1792,859881,2,C,기타 기계|조립 금속,True,70641186.0,65324.61328125,136.13710152916508,SOURCE_DEGENERATE,1391.0,1.0,20.0,,,
2022Q3,2022-07,기계,COMPLETE,125084319,1793,858144,2,C,기타 기계|조립 금속,True,76838063.0,69762.58728388176,145.7614561192527,SOURCE_DEGENERATE,1077.0,1.0,20.0,,,
2022Q3,2022-08,기계,COMPLETE,113676570,1794,858382,2,C,기타 기계|조립 금속,True,69431318.0,63364.866220735785,132.43121360885945,SOURCE_DEGENERATE,1469.0,1.0,20.0,,,
2022Q3,2022-09,기계,COMPLETE,111517630,1796,852678,2,C,기타 기계|조립 금속,True,67282932.0,62092.22160356348,130.785161573302,SOURCE_DEGENERATE,1454.0,1.0,20.0,,,
2022Q4,2022-10,기계,COMPLETE,114688127,1799,853204,2,C,기타 기계|조립 금속,True,67603027.0,63751.04335742079,134.4205219384813,SOURCE_DEGENERATE,1693.0,1.0,20.0,,,
2022Q4,2022-11,기계,COMPLETE,117394117,1798,857717,2,C,기타 기계|조립 금속,True,69963340.0,65291.5,136.86812433471647,SOURCE_DEGENERATE,660.0,1.0,20.0,,,
2022Q4,2022-12,기계,COMPLETE,125733341,1798,854414,2,C,기타 기계|조립 금속,True,74230589.0,69929.55561735261,147.15739793589523,SOURCE_DEGENERATE,438.0,1.0,20.0,,,
