period,district,legal_dong,ksic_major_code,ksic_major_name,ksic_mid_code,ksic_mid_name,kicox_industry,mapping_grade,mapping_type,mapping_rationale,customer_count,power_usage,charge_won,suppression_flag,missing_flag,coverage_flag,source_file,source_sheet,source_row_count
2022-04,마산합포구,진동면,A,"농업, 임업 및 어업",01,농업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,547.0,602894.0,26442344.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,A,"농업, 임업 및 어업",03,어업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,16.0,36834.0,3555765.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,10,식료품 제조업,음식료,A,direct,음료(11)와 함께 '음식료'에 대응,47.0,190203.0,17693882.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,13,섬유제품 제조업; 의복제외,섬유의복,A,direct,의복(14)과 함께 대응,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,15,가죽/ 가방 및 신발 제조업,섬유의복,B,approximate,KICOX '섬유의복' 범위에 가죽이 포함되는지 공표 정의로 확정 불가. 부분포함 가능,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,16,목재 및 나무제품 제조업;가구제외,목재종이,A,direct,펄프·종이(17)와 함께 대응,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,20,화학물질 및 화학제품 제조업;의약품 제외,석유화학,A,direct,석유정제(19)와 함께 대응,5.0,7028.0,581166.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,21,의료용 물질 및 의약품 제조업,석유화학,C,ambiguous,의약품이 '석유화학'에 포함되는지 불확실,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,22,고무제품 및 플라스틱제품 제조업,석유화학,B,approximate,관행상 화학계열로 묶이나 KICOX 공표 정의로 확정 불가,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,23,비금속 광물제품 제조업,비금속,A,direct,명칭·범위 직접 대응,5.0,7198.0,916920.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,25,금속가공제품 제조업;기계 및 가구 제외,기계,C,ambiguous,KICOX 에서 금속가공이 '철강'과 '기계' 중 어디로 집계되는지 공표 정의로 확정 불가,8.0,155072.0,15937038.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,26,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,전기전자,A,direct,28과 함께 대응,8.0,15428.0,1559115.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,27,의료/ 정밀/ 광학기기 및 시계 제조업,전기전자,B,approximate,KICOX '전기전자'에 포함되는 것으로 보이나 의료기기 범위가 불확실,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,28,전기장비 제조업,전기전자,A,direct,26과 함께 대응,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,29,기타 기계 및 장비 제조업,기계,A,direct,KICOX '기계'의 중심 범위,18.0,32638.0,3472481.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,30,자동차 및 트레일러 제조업,운송장비,A,direct,31과 함께 대응,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,31,기타 운송장비 제조업,운송장비,A,direct,30과 함께 대응,8.0,25540.0,2759201.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,32,가구 제조업,기타,C,ambiguous,KICOX '기타' 구성 미공표,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,C,제조업,34,산업용 기계 및 장비 수리업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,7.0,4276.0,645379.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,D,"전기, 가스, 증기 및 공기 조절 공급업",35,전기/ 가스/ 증기 및 공기조절 공급업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,26.0,20940.0,4511833.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,E,"수도, 하수 및 폐기물 처리, 원료 재생업",36,수도업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,28.0,31706.0,3239219.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,E,"수도, 하수 및 폐기물 처리, 원료 재생업",37,하수/ 폐수 및 분뇨 처리업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,9.0,151563.0,13133525.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,E,"수도, 하수 및 폐기물 처리, 원료 재생업",38,폐기물 수집운반/ 처리 및 원료재생업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,E,"수도, 하수 및 폐기물 처리, 원료 재생업",39,환경 정화 및 복원업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,F,건설업,41,종합 건설업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,23.0,7389.0,1485547.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,F,건설업,42,전문직별 공사업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,G,도매 및 소매업,45,자동차 및 부품 판매업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,G,도매 및 소매업,46,도매 및 상품중개업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,35.0,48064.0,5262514.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,G,도매 및 소매업,47,소매업; 자동차 제외,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,125.0,238265.0,23382005.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,H,운수 및 창고업,49,육상운송 및 파이프라인 운송업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,H,운수 및 창고업,52,창고 및 운송관련 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,71.0,198057.0,18480939.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,I,숙박 및 음식점업,55,숙박업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,7.0,20196.0,1957890.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,I,숙박 및 음식점업,56,음식점 및 주점업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,210.0,291780.0,31676522.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,J,정보통신업,59,영상·오디오 기록물 제작 및 배급업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,J,정보통신업,60,방송업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,14.0,2899.0,350125.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,J,정보통신업,61,우편 및 통신업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,116.0,65196.0,6201783.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,K,금융 및 보험업,64,금융업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,K,금융 및 보험업,66,금융 및 보험 관련 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,L,부동산업,68,부동산업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,321.0,422574.0,51254186.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,M,"전문, 과학 및 기술 서비스업",70,연구개발업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,M,"전문, 과학 및 기술 서비스업",71,전문서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,M,"전문, 과학 및 기술 서비스업",72,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,N,"사업시설 관리, 사업 지원 및 임대 서비스업",74,사업시설 관리 및 조경 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,N,"사업시설 관리, 사업 지원 및 임대 서비스업",75,사업지원 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,19.0,26551.0,3456584.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,N,"사업시설 관리, 사업 지원 및 임대 서비스업",76,임대업; 부동산 제외,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,,,,1,0,SUPPRESSED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,O,"공공 행정, 국방 및 사회보장 행정",84,공공행정/ 국방 및 사회보장 행정,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,35.0,50959.0,8122630.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
2022-04,마산합포구,진동면,P,교육 서비스업,85,교육 서비스업,,D,unavailable,기존 crosswalk에 중분류 코드 없음; 강제 배정하지 않음,31.0,160988.0,16994159.0,0,0,COMPLETE,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,04,1
