gu,legal_dong,mfg_power_kwh_2021_recovered,masked_rows,n_factories,is_dense
마산합포구,진북면,61041461.0,35.0,254,True
마산합포구,진전면,5321535.0,54.0,39,True
마산합포구,구산면,4576570.0,70.0,21,False
마산합포구,진동면,3348022.0,58.0,42,True
마산합포구,오동동,782780.0,84.0,8,False
마산합포구,산호동,414603.0,98.0,17,False
마산합포구,신포동2가,406776.0,49.0,0,False
마산합포구,남성동,309467.0,21.0,3,False
마산합포구,서성동,126641.0,35.0,13,False
마산합포구,현동,91708.0,41.0,0,False
마산합포구,교방동,88698.0,42.0,1,False
마산합포구,자산동,55054.0,42.0,0,False
마산합포구,상남동,48628.0,42.0,5,False
마산합포구,창포동3가,29716.0,5.0,0,False
마산합포구,부림동,21043.0,17.0,1,False
마산합포구,가포동,0.0,63.0,17,False
마산합포구,교원동,0.0,7.0,0,False
마산합포구,대내동,0.0,7.0,0,False
마산합포구,대외동,0.0,7.0,0,False
마산합포구,덕동동,0.0,7.0,0,False
마산합포구,동성동,0.0,8.0,0,False
마산합포구,두월동1가,0.0,10.0,0,False
마산합포구,두월동2가,0.0,7.0,0,False
마산합포구,반월동,0.0,7.0,0,False
마산합포구,성호동,0.0,7.0,0,False
마산합포구,수성동,0.0,28.0,0,False
마산합포구,신월동,0.0,7.0,0,False
마산합포구,신창동,0.0,5.0,0,False
마산합포구,신포동1가,0.0,49.0,0,False
마산합포구,완월동,0.0,7.0,0,False
마산합포구,우산동,0.0,14.0,2,False
마산합포구,월남동2가,0.0,14.0,0,False
마산합포구,월남동3가,0.0,14.0,0,False
마산합포구,월남동5가,0.0,7.0,0,False
마산합포구,월영동,0.0,46.0,0,False
마산합포구,월포동,0.0,7.0,0,False
마산합포구,장군동3가,0.0,14.0,0,False
마산합포구,장군동4가,0.0,7.0,0,False
마산합포구,장군동5가,0.0,12.0,0,False
마산합포구,중성동,0.0,56.0,0,False
마산합포구,중앙동1가,0.0,11.0,0,False
마산합포구,중앙동2가,0.0,24.0,0,False
마산합포구,중앙동3가,0.0,21.0,0,False
마산합포구,창동,0.0,21.0,2,False
마산합포구,창포동2가,0.0,4.0,0,False
마산합포구,추산동,0.0,35.0,1,False
마산합포구,평화동,0.0,7.0,0,False
마산합포구,해운동,0.0,20.0,2,False
마산합포구,홍문동,0.0,7.0,0,False
마산회원구,봉암동,69812120.0,56.0,488,True
마산회원구,양덕동,50973883.0,63.0,102,True
마산회원구,내서읍,45960183.0,26.0,298,True
마산회원구,석전동,292356.0,87.0,3,False
마산회원구,회원동,185137.0,63.0,4,False
마산회원구,합성동,170211.0,95.0,4,False
마산회원구,회성동,105239.0,94.0,4,False
마산회원구,구암동,78353.0,56.0,3,False
마산회원구,두척동,44122.0,33.0,5,False
성산구,신촌동,1024772317.0,30.0,493,True
성산구,성산동,456862078.0,38.0,837,True
성산구,성주동,345129558.0,28.0,146,True
성산구,웅남동,203284841.0,42.0,463,True
성산구,남산동,129466309.0,51.0,62,True
성산구,내동,83731382.0,36.0,39,True
성산구,외동,33080411.0,28.0,16,False
성산구,대원동,12647554.0,55.0,68,True
성산구,중앙동,753823.0,50.0,11,False
성산구,상남동,358667.0,42.0,1,False
성산구,용호동,260373.0,31.0,0,False
성산구,가음동,219659.0,49.0,0,False
성산구,귀산동,144684.0,10.0,1,False
성산구,사파동,133625.0,48.0,0,False
성산구,반림동,115171.0,14.0,1,False
성산구,신월동,98101.0,89.0,1,False
성산구,반지동,83021.0,40.0,0,False
성산구,대방동,40741.0,21.0,0,False
성산구,가음정동,0.0,20.0,8,False
성산구,귀곡동,0.0,42.0,9,False
성산구,귀현동,0.0,14.0,1,False
성산구,남양동,0.0,56.0,0,False
성산구,남지동,0.0,3.0,0,False
성산구,두대동,0.0,14.0,17,False
성산구,불모산동,0.0,7.0,1,False
성산구,삼동동,0.0,7.0,0,False
성산구,상복동,0.0,7.0,3,False
성산구,안민동,0.0,28.0,1,False
성산구,양곡동,0.0,56.0,11,False
성산구,월림동,0.0,35.0,0,False
성산구,창곡동,0.0,14.0,3,False
성산구,천선동,0.0,21.0,3,False
성산구,토월동,0.0,7.0,0,False
의창구,팔용동,249664768.0,28.0,1289,True
의창구,대산면,41467357.0,43.0,212,True
의창구,북면,15045226.0,60.0,185,True
의창구,동읍,14442280.0,43.0,74,True
의창구,도계동,1083580.0,63.0,8,False
의창구,명서동,645962.0,84.0,1,False
의창구,소계동,337844.0,63.0,2,False
의창구,소답동,299667.0,34.0,3,False
의창구,사림동,264119.0,56.0,2,False
의창구,봉곡동,195567.0,79.0,0,False
의창구,서상동,97281.0,64.0,2,False
의창구,중동,93227.0,41.0,0,False
의창구,북동,54358.0,28.0,0,False
의창구,대원동,0.0,22.0,0,False
의창구,덕정동,0.0,14.0,0,False
의창구,동정동,0.0,38.0,0,False
의창구,두대동,0.0,7.0,0,False
의창구,반계동,0.0,15.0,1,False
의창구,봉림동,0.0,37.0,1,False
의창구,차용동,0.0,14.0,0,False
의창구,퇴촌동,,,2,False
진해구,남양동,201966997.0,70.0,177,True
진해구,죽곡동,1070182.0,37.0,19,False
진해구,안골동,1061979.0,58.0,12,False
진해구,경화동,228736.0,57.0,4,False
