quarter,quarter_end,complex_nm,complex_type,industry,production,employment,op_rate_official,op_rate_approx,firms_in,firms_op,production_yoy,employment_yoy,production_yoy_valid,employment_yoy_valid,quadrant_yoy_valid,review_required,classification_break,production_source,employment_source,op_rate_source,firms_in_source,firms_op_source,production_is_revised,employment_is_revised,op_rate_is_revised,firms_in_is_revised,firms_op_is_revised,production_masked,employment_masked,op_rate_masked,firms_in_masked,firms_op_masked,production_invalid_source,employment_invalid_source,op_rate_invalid_source,firms_in_invalid_source,firms_op_invalid_source,production_note,employment_note,op_rate_note,firms_in_note,firms_op_note,quarter_index,in_main_period,classification_event_recorded,classification_scope_verified,production_lag4,production_current_missing,production_lag4_missing,production_lag4_absent,production_current_zero,production_denominator_zero,production_classification_risk,production_yoy_computable,production_yoy_reason,employment_lag4,employment_current_missing,employment_lag4_missing,employment_lag4_absent,employment_current_zero,employment_denominator_zero,employment_classification_risk,employment_yoy_computable,employment_yoy_reason,firms_in_lag4,firms_in_current_missing,firms_in_lag4_missing,firms_in_lag4_absent,firms_in_current_zero,firms_in_denominator_zero,firms_in_classification_risk,firms_in_yoy,firms_in_yoy_computable,firms_in_yoy_valid,firms_in_yoy_reason,firms_op_lag4,firms_op_current_missing,firms_op_lag4_missing,firms_op_lag4_absent,firms_op_current_zero,firms_op_denominator_zero,firms_op_classification_risk,firms_op_yoy,firms_op_yoy_computable,firms_op_yoy_valid,firms_op_yoy_reason,missing_flag,classification_comparison_risk,analysis_exclusion_reason,op_rate_official_valid,op_rate_official_qoq_pp,op_rate_official_yoy_pp,production_share,employment_share,active_firm_ratio,threshold,valid_state,exact_zero,neutral,state,valid_four_state,previous_state,previous_valid_state,next_state,state_start_quarter,run_id,transition_type,run_length,run_total_length,valid_transition,valid_transition5,valid_previous_transition,run_left_censored,run_right_censored,transition_changed,recent4_S1_count,recent4_S2_count,recent4_S3_count,recent4_S4_count,recent4_N_count,recent4_valid_n,recent4_window_n
2018Q1,2018-03-31,창원,국가,기계,65954.0,75398.0,,83.6,1672.0,1560.0,,,False,False,False,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,192,False,False,False,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,False,False,lag4_not_observed;lag4_not_observed,False,,,0.48301671231672844,0.5998583851129339,0.9330143540669856,0,False,False,False,INVALID,False,,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018Q2,2018-06-30,창원,국가,기계,64125.0,76200.0,,87.0,1660.0,1545.0,,,False,False,False,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,193,False,False,False,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,False,False,lag4_not_observed;lag4_not_observed,False,,,0.4732681889972988,0.6054682844270697,0.9307228915662651,0,False,False,False,INVALID,False,INVALID,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2018Q3,2018-09-30,창원,국가,기계,59355.0,75063.0,,77.0,1652.0,1538.0,,,False,False,False,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,194,False,False,False,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,,False,True,True,False,False,False,,False,False,lag4_not_observed,False,False,lag4_not_observed;lag4_not_observed,False,,,0.47777929824278964,0.6060652547778415,0.9309927360774818,0,False,False,False,INVALID,False,INVALID,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2018Q4,2018-12-31,창원,국가,기계,47311.0,74932.0,,73.8,1662.0,1541.0,,,False,False,False,True,1,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,195,False,True,False,,False,True,True,False,False,True,False,lag4_not_observed|classification_comparison_risk,,False,True,True,False,False,True,False,lag4_not_observed|classification_comparison_risk,,False,True,True,False,False,True,,False,False,lag4_not_observed|classification_comparison_risk,,False,True,True,False,False,True,,False,False,lag4_not_observed|classification_comparison_risk,False,True,lag4_not_observed|classification_comparison_risk;lag4_not_observed|classification_comparison_risk,False,,,0.4432275955106706,0.6071006108923566,0.9271961492178099,0,False,False,False,INVALID,False,INVALID,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019Q1,2019-03-31,창원,국가,기계,38229.0,74870.0,,72.3,1648.0,1525.0,-42.03687418503805,-0.700283827157222,False,False,False,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,196,False,False,False,65954.0,False,False,False,False,False,True,True,classification_comparison_risk,75398.0,False,False,False,False,False,True,True,classification_comparison_risk,1672.0,False,False,False,False,False,True,-1.4354066985645897,True,False,classification_comparison_risk,1560.0,False,False,False,False,False,True,-2.2435897435897467,True,False,classification_comparison_risk,False,True,classification_comparison_risk;classification_comparison_risk,False,,,0.3950133810020769,0.609745172613182,0.9253640776699029,0,False,False,False,INVALID,False,INVALID,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019Q2,2019-06-30,창원,국가,기계,40818.0,74656.0,,70.3,1645.0,1521.0,-36.34619883040936,-2.0262467191601075,False,False,False,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,197,False,False,False,64125.0,False,False,False,False,False,True,True,classification_comparison_risk,76200.0,False,False,False,False,False,True,True,classification_comparison_risk,1660.0,False,False,False,False,False,True,-0.9036144578313254,True,False,classification_comparison_risk,1545.0,False,False,False,False,False,True,-1.553398058252431,True,False,classification_comparison_risk,False,True,classification_comparison_risk;classification_comparison_risk,False,,,0.4033439065603415,0.6083888159985658,0.9246200607902736,0,False,False,False,INVALID,False,INVALID,,INVALID,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019Q3,2019-09-30,창원,국가,기계,35769.0,74305.0,,66.6,1592.0,1475.0,-39.737174627242865,-1.0098184191945414,False,False,False,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,198,False,False,False,59355.0,False,False,False,False,False,True,True,classification_comparison_risk,75063.0,False,False,False,False,False,True,True,classification_comparison_risk,1652.0,False,False,False,False,False,True,-3.6319612590799077,True,False,classification_comparison_risk,1538.0,False,False,False,False,False,True,-4.096228868660601,True,False,classification_comparison_risk,False,True,classification_comparison_risk;classification_comparison_risk,False,,,0.3820862041339529,0.6081551141339488,0.9265075376884422,0,False,False,False,INVALID,False,INVALID,,S4,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019Q4,2019-12-31,창원,국가,기계,40081.0,74684.0,,77.5,1576.0,1470.0,-15.281858341611887,-0.330966743180483,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,199,False,False,False,47311.0,False,False,False,False,False,False,True,valid,74932.0,False,False,False,False,False,False,True,valid,1662.0,False,False,False,False,False,False,-5.174488567990377,True,True,valid,1541.0,False,False,False,False,False,False,-4.607397793640489,True,True,valid,False,False,,False,,,0.39932053440666315,0.6088501923954869,0.932741116751269,0,True,False,False,S4,True,INVALID,,S2,2019Q4,기계:2019Q4,S4->S2,1,1,True,True,False,True,False,True,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2020Q1,2020-03-31,창원,국가,기계,39212.0,74052.0,,74.6,1577.0,1475.0,2.5713463600931297,-1.0925604380926934,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,200,False,False,False,38229.0,False,False,False,False,False,False,True,valid,74870.0,False,False,False,False,False,False,True,valid,1648.0,False,False,False,False,False,False,-4.308252427184467,True,True,valid,1525.0,False,False,False,False,False,False,-3.2786885245901676,True,True,valid,False,False,,False,,,0.3679597620254115,0.594991121574173,0.9353202282815473,0,True,False,False,S2,True,S4,S4,S4,2020Q1,기계:2020Q1,S2->S4,1,1,True,True,True,False,False,True,0.0,1.0,0.0,1.0,0.0,2.0,4.0
2020Q2,2020-06-30,창원,국가,기계,35928.0,71754.0,,62.7,1553.0,1456.0,-11.9800088196384,-3.887162451778825,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,201,False,False,False,40818.0,False,False,False,False,False,False,True,valid,74656.0,False,False,False,False,False,False,True,valid,1645.0,False,False,False,False,False,False,-5.592705167173251,True,True,valid,1521.0,False,False,False,False,False,False,-4.273504273504269,True,True,valid,False,False,,False,,,0.3554412346656114,0.587247415846203,0.9375402446877013,0,True,False,False,S4,True,S2,S2,INVALID,2020Q2,기계:2020Q2,,1,1,False,False,True,False,True,,0.0,1.0,0.0,2.0,0.0,3.0,4.0
