quarter,quarter_end,complex_nm,complex_type,classification_break,production_total,production_total_masked,production_total_note,production_total_source,production_total_is_revised,employment_total,employment_total_masked,employment_total_note,employment_total_source,employment_total_is_revised,firms_in_total,firms_in_total_masked,firms_in_total_note,firms_in_total_source,firms_in_total_is_revised,op_rate_total,op_rate_total_masked,op_rate_total_note,op_rate_total_source,op_rate_total_is_revised
2018Q1,2018-03-31,창원,국가,0,136545.0,0,월별 3개월 합,data_portal_monthly,0,126272.0,0,월별: 분기말 값,data_portal_monthly,0,2763.0,0,월별: 분기말 값,data_portal_monthly,0,82.63333333333333,0,월별 단순평균(근사),data_portal_monthly,0
2018Q2,2018-06-30,창원,국가,0,135496.0,0,월별 3개월 합,data_portal_monthly,0,126933.0,0,월별: 분기말 값,data_portal_monthly,0,2747.0,0,월별: 분기말 값,data_portal_monthly,0,83.8,0,월별 단순평균(근사),data_portal_monthly,0
2018Q3,2018-09-30,창원,국가,0,124230.0,0,월별 3개월 합,data_portal_monthly,0,124646.0,0,월별: 분기말 값,data_portal_monthly,0,2751.0,0,월별: 분기말 값,data_portal_monthly,0,78.96666666666665,0,월별 단순평균(근사),data_portal_monthly,0
2018Q4,2018-12-31,창원,국가,1,106739.0,0,월별 3개월 합,data_portal_monthly,0,124228.0,0,월별: 분기말 값,data_portal_monthly,0,2787.0,0,월별: 분기말 값,data_portal_monthly,0,78.0,0,월별 단순평균(근사),data_portal_monthly,0
2019Q1,2019-03-31,창원,국가,0,96776.0,0,월별 3개월 합,data_portal_monthly,0,123609.0,0,월별: 분기말 값,data_portal_monthly,0,2716.0,0,월별: 분기말 값,data_portal_monthly,0,75.26666666666667,0,월별 단순평균(근사),data_portal_monthly,0
2019Q2,2019-06-30,창원,국가,0,101200.0,0,월별 3개월 합,data_portal_monthly,0,123533.0,0,월별: 분기말 값,data_portal_monthly,0,2721.0,0,월별: 분기말 값,data_portal_monthly,0,78.13333333333333,0,월별 단순평균(근사),data_portal_monthly,0
2019Q3,2019-09-30,창원,국가,0,93612.0,0,월별 3개월 합,data_portal_monthly,0,123007.0,0,월별: 분기말 값,data_portal_monthly,0,2653.0,0,월별: 분기말 값,data_portal_monthly,0,74.73333333333333,0,월별 단순평균(근사),data_portal_monthly,0
2019Q4,2019-12-31,창원,국가,0,100372.0,0,월별 3개월 합,data_portal_monthly,0,123531.0,0,월별: 분기말 값,data_portal_monthly,0,2664.0,0,월별: 분기말 값,data_portal_monthly,0,77.06666666666666,0,월별 단순평균(근사),data_portal_monthly,0
2020Q1,2020-03-31,창원,국가,0,106566.0,0,월별 3개월 합,data_portal_monthly,0,125319.0,0,월별: 분기말 값,data_portal_monthly,0,2686.0,0,월별: 분기말 값,data_portal_monthly,0,74.55,0,월별 단순평균(근사),data_portal_monthly,0
2020Q2,2020-06-30,창원,국가,0,101080.0,0,월별 3개월 합,data_portal_monthly,0,123058.0,0,월별: 분기말 값,data_portal_monthly,0,2688.0,0,월별: 분기말 값,data_portal_monthly,0,72.86666666666667,0,월별 단순평균(근사),data_portal_monthly,0
2020Q3,2020-09-30,창원,국가,1,103304.0,0,월별 3개월 합,data_portal_monthly,0,121973.0,0,월별: 분기말 값,data_portal_monthly,0,2722.0,0,월별: 분기말 값,data_portal_monthly,0,73.53333333333333,0,월별 단순평균(근사),data_portal_monthly,0
2020Q4,2020-12-31,창원,국가,0,106352.0,0,월별 3개월 합,data_portal_monthly,0,119428.0,0,월별: 분기말 값,data_portal_monthly,0,2740.0,0,월별: 분기말 값,data_portal_monthly,0,78.56666666666666,0,월별 단순평균(근사),data_portal_monthly,0
2021Q1,2021-03-31,창원,국가,0,105830.3339,0,월별 3개월 합,data_portal_monthly,0,118412.0,0,월별: 분기말 값,data_portal_monthly,0,2866.0,0,월별: 분기말 값,data_portal_monthly,0,75.82306765,0,월별 단순평균(근사),data_portal_monthly,0
2021Q2,2021-06-30,창원,국가,0,113078.73987,0,월별 3개월 합,data_portal_monthly,0,118284.0,0,월별: 분기말 값,data_portal_monthly,0,2851.0,0,월별: 분기말 값,data_portal_monthly,0,79.03139253666667,0,월별 단순평균(근사),data_portal_monthly,0
2021Q3,2021-09-30,창원,국가,0,112710.09344,0,월별 3개월 합,data_portal_monthly,0,117310.0,0,월별: 분기말 값,data_portal_monthly,0,2863.0,0,월별: 분기말 값,data_portal_monthly,0,78.49665064333334,0,월별 단순평균(근사),data_portal_monthly,0
2021Q4,2021-12-31,창원,국가,0,122858.30856,0,월별 3개월 합,data_portal_monthly,0,117104.0,0,월별: 분기말 값,data_portal_monthly,0,2861.0,0,월별: 분기말 값,data_portal_monthly,0,82.07066004666667,0,월별 단순평균(근사),data_portal_monthly,0
2022Q1,2022-03-31,창원,국가,0,123958.08627,0,월별 3개월 합,data_portal_monthly,0,118797.0,0,월별: 분기말 값,data_portal_monthly,0,2861.0,0,월별: 분기말 값,data_portal_monthly,0,82.07577167666666,0,월별 단순평균(근사),data_portal_monthly,0
2022Q2,2022-06-30,창원,국가,0,127524.34358,0,월별 3개월 합,data_portal_monthly,0,118360.0,0,월별: 분기말 값,data_portal_monthly,0,2885.0,0,월별: 분기말 값,data_portal_monthly,0,82.43557168666666,0,월별 단순평균(근사),data_portal_monthly,0
2022Q3,2022-09-30,창원,국가,0,124697.43372,0,월별 3개월 합,data_portal_monthly,0,117228.0,0,월별: 분기말 값,data_portal_monthly,0,2887.0,0,월별: 분기말 값,data_portal_monthly,0,79.61380816333333,0,월별 단순평균(근사),data_portal_monthly,0
2022Q4,2022-12-31,창원,국가,0,125358.39246375009,0,보정본: 월별 3개월 합,kicox_annual_revision,1,116015.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2922.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,82.9478359098381,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2023Q1,2023-03-31,창원,국가,0,131390.15045315566,0,보정본: 월별 3개월 합,kicox_annual_revision,1,117440.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2931.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,81.28912378918558,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2023Q2,2023-06-30,창원,국가,0,140220.23270137,0,보정본: 월별 3개월 합,kicox_annual_revision,1,117130.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2952.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,82.1803388966586,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2023Q3,2023-09-30,창원,국가,0,137025.77437711362,0,보정본: 월별 3개월 합,kicox_annual_revision,1,117205.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2953.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,79.16094464467749,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2023Q4,2023-12-31,창원,국가,0,146848.36198411355,0,보정본: 월별 3개월 합,kicox_annual_revision,1,117197.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2965.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,80.1311804021989,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2024Q1,2024-03-31,창원,국가,0,140401.82145111362,0,보정본: 월별 3개월 합,kicox_annual_revision,1,117705.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,2974.0,0,보정본: 월별: 분기말 값,kicox_annual_revision,1,78.35876973608757,0,보정본: 월별 단순평균(근사),kicox_annual_revision,1
2024Q2,2024-06-30,창원,국가,0,147582.86309477265,0,보정본: 분기공표,kicox_annual_revision,1,119985.0,0,보정본: 분기공표,kicox_annual_revision,1,3147.0,0,보정본: 분기공표,kicox_annual_revision,1,80.10435988910362,0,보정본: 분기공표,kicox_annual_revision,1
2024Q3,2024-09-30,창원,국가,0,146247.77932713617,0,보정본: 분기공표,kicox_annual_revision,1,120217.0,0,보정본: 분기공표,kicox_annual_revision,1,3187.0,0,보정본: 분기공표,kicox_annual_revision,1,78.44365217694175,0,보정본: 분기공표,kicox_annual_revision,1
2024Q4,2024-12-31,창원,국가,0,158216.24114331554,0,보정본: 분기공표,kicox_annual_revision,1,118205.0,0,보정본: 분기공표,kicox_annual_revision,1,3216.0,0,보정본: 분기공표,kicox_annual_revision,1,78.84440029820448,0,보정본: 분기공표,kicox_annual_revision,1
2025Q1,2025-03-31,창원,국가,0,150177.95806717174,0,보정본: 분기공표,kicox_annual_revision,1,121389.0,0,보정본: 분기공표,kicox_annual_revision,1,3223.0,0,보정본: 분기공표,kicox_annual_revision,1,79.6665503676248,0,보정본: 분기공표,kicox_annual_revision,1
2025Q2,2025-06-30,창원,국가,0,157196.5389,0,분기공표,data_portal_quarterly,0,123652.0,0,분기공표,data_portal_quarterly,0,3248.0,0,분기공표,data_portal_quarterly,0,82.01837687,0,분기공표,data_portal_quarterly,0
2025Q3,2025-09-30,창원,국가,0,148951.3899,0,분기공표,data_portal_quarterly,0,121149.0,0,분기공표,data_portal_quarterly,0,3257.0,0,분기공표,data_portal_quarterly,0,80.40739734,0,분기공표,data_portal_quarterly,0
2025Q4,2025-12-31,창원,국가,0,153316.7287,0,분기공표,data_portal_quarterly,0,119947.0,0,분기공표,data_portal_quarterly,0,3292.0,0,분기공표,data_portal_quarterly,0,80.73363229,0,분기공표,data_portal_quarterly,0
2026Q1,2026-03-31,창원,국가,0,156794.47383232325,0,보정본: 분기공표,kicox_annual_revision,1,119697.0,0,보정본: 분기공표,kicox_annual_revision,1,3320.0,0,보정본: 분기공표,kicox_annual_revision,1,80.28958707201177,0,보정본: 분기공표,kicox_annual_revision,1
2026Q2,2026-06-30,창원,국가,0,157807.4494383839,0,보정본: 분기공표,kicox_annual_revision,1,119681.0,0,보정본: 분기공표,kicox_annual_revision,1,3331.0,0,보정본: 분기공표,kicox_annual_revision,1,79.9770927795954,0,보정본: 분기공표,kicox_annual_revision,1
