kicox_industry,ppi_candidate_code,ppi_candidate_item,basis,confirmed
음식료,대분류,음식료품(식료품/음료품/담배),명칭 직접 대응,False
섬유의복,대분류,섬유및의복,가죽·가방 등 범위 상이 가능,False
목재종이,대분류 2개 합산,목재및목제품 + 펄프및종이제품,두 대분류 합산 필요,False
석유화학,대분류 2개 합산,화학제품 + 석탄및석유제품,"KICOX는 단일업종, PPI는 정유/화학 분리 — 1:1 아님",False
비금속,대분류,비금속광물제품,시멘트·유리·요업 등 매칭 양호,False
철강,대분류(과대매칭 위험),1차금속제품(철강+비철금속),비철금속(동·알루미늄) 포함되어 범위 과대,False
기계,대분류,기계및장비,매칭 양호,False
전기전자,대분류 2개 합산,전기장비 + 컴퓨터전자및광학기기,"KICOX는 단일업종, PPI는 전기/전자 분리",False
운송장비,대분류,운송장비(자동차+기타운송장비),매칭 양호,False
기타,매칭 불가 수준,공산품 잔여(기타제조업제품 등),정의 이질적,False
