quarter,kicox_industry,grade,ppi_level,component_id,ppi_item,ppi_index,ppi_index_n_months,ppi_index_complete_quarter,ppi_index_yoy_pct,note
2021Q1,기계,A,lv3,,기계및장비,99.84,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,목재종이,A,lv3,,목재및종이제품,103.836667,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,비금속,A,lv3,,비금속광물제품,100.9,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,석유화학,C,lv3,c1,화학제품,106.34,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,석유화학,C,lv3,c2,석탄및석유제품,122.066667,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,섬유의복,A,lv4,,섬유및의복,100.24,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,운송장비,A,lv3,,운송장비,100.67,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,음식료,A,lv3,,음식료품,102.633333,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,전기전자,C,lv3,c1,전기장비,102.326667,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
2021Q1,전기전자,C,lv3,c2,컴퓨터전자및광학기기,100.463333,3,True,,전국 단위 KOSIS 생산자물가지수(기본분류) 월 지수를 분기 평균한 값. 국면 부호 안전성 판정 전용이며 본분석 생산 YoY(명목)를 대체하지 않는다.
