snapshot_id,crawl_timestamp,source_center,wanted_auth_no,company_raw,normalized_company,company_official,company_match_status,n_factories_matched,title_raw,region_raw,gu,in_scope,reg_date,reg_date_raw,reg_date_status,due_date,due_date_raw,due_date_status,wage_raw,wage_type,wage_min,wage_max,wage_unit,wage_parse_status,career_raw,career_type,career_min_months,career_parse_status,education_raw,cert_raw,posting_status,recruitment_count,recruitment_count_source,occupation,occupation_source,workplace_address_raw,workplace_address_enriched,address_source,address_reference_date,ksic_code,ksic_mid,ksic_name,ksic_revision,ksic_resolution_method,ksic_source,is_manufacturing,industrial_complex_match_status,industrial_complex_match_method,address_legal_dong,kicox_industry,kicox_mapping_status,kicox_mapping_confidence,kicox_mapping_note,duplicate_group_id,repost_candidate,repost_reason,source_url
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180051,사)부스러기사랑나눔회 경남지부,사부스러기사랑나눔회경남지부,,NO_MATCH,,(긴급)지역아동센터 경남지원단 직원채용(전담인력) 재공고,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-11-17,26-11-17,PARSED,월급 240 만원 이상,월급,2400000,2400000,원,PARSED,경력 1년,경력,12.0,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180051
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180050,(주)이앤시스,이앤시스,,NO_MATCH,,정보통신 관련 사무직 사원 모집합니다.,경남 창원시 진해구,진해구,True,2026-09-18,26-09-18,PARSED,2026-10-31,26-10-31,PARSED,"연봉 2,600 만원 이상 ~ 2,800 만원 이하",연봉,26000000,28000000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180050
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180049,주식회사 세영테크놀러지,세영테크놀러지,(주)세영테크놀러지,MATCH,1.0,세영테크놀러지 - 품질관리 사원모집(신입&경력),경남 창원시 성산구,성산구,True,2026-09-18,26-09-18,PARSED,2026-10-02,26-10-02,PARSED,"연봉 3,200 만원 이상 ~ 3,600 만원 이하",연봉,32000000,36000000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,경상남도 창원시 성산구 창곡로108번길 15-20 (신촌동),ENRICHED_FROM_FACTORY_REGISTER,2024-12-31,26224,26,전자부품 실장기판 제조업,KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,성산구 (신촌동,전기전자,MAPPED,A,direct,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180049
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180048,창원시립힐스아티움어린이집,창원시립힐스아티움어린이집,,NO_MATCH,,창원시립힐스아티움어린이집 만2세 담임교사 공개채용 공고,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-10-06,26-10-06,PARSED,월급 232 만원 이상 ~ 374 만원 이하,월급,2320000,3740000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180048
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180047,광일테크,광일테크,,NO_MATCH,,생산직 사원모집,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-11-17,26-11-17,PARSED,월급 220 만원 이상 ~ 320 만원 이하,월급,2200000,3200000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180047
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180046,(유)티에스,티에스,(유)티에스,MATCH,2.0,H-MCT 가공 경력자 모집,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-09-30,26-09-30,PARSED,"시급 11,000 원 이상 ~ 12,000 원 이하",시급,11000,12000,원,PARSED,경력 2년,경력,24.0,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,25924,25,절삭가공 및 유사처리업,KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,UNKNOWN,NO_RELIABLE_ADDRESS,,기계,MAPPED,C,ambiguous,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180046
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KF10532609180005,도해정밀,도해정밀,도해정밀,MATCH,1.0,검사 및 출하 직원 모집,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-11-17,26-11-17,PARSED,"시급 10,320 원 이상",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,경상남도 창원시 의창구 북면 감계로188번길 3,ENRICHED_FROM_FACTORY_REGISTER,2024-12-31,29293,29,주형 및 금형 제조업,KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,의창구 북면,기계,MAPPED,A,direct,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180005
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KF10532609180004,세명전자,세명전자,,NO_MATCH,,(팔용동)케이블 하네스 조립원 모집,경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-11-17,26-11-17,PARSED,"시급 10,320 원 이상",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180004
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609180044,주식회사 에이지,에이지,주식회사 에이지,MATCH,1.0,사상 및 제품검사자 모집 [주5일/주간근무],경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-10-02,26-10-02,PARSED,"시급 11,000 원 이상 ~ 11,000 원 이하",시급,11000,11000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],NEW,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,경상남도 창원시 의창구 평산로8번길 37-19 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,2024-12-31,25924,25,절삭가공 및 유사처리업,KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,의창구 (팔용동,기계,MAPPED,C,ambiguous,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180044
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KF10532609180003,대동재가노인복지센터,대동재가노인복지센터,,NO_MATCH,,재가요양보호사 모집[북면 신촌리],경남 창원시 의창구,의창구,True,2026-09-18,26-09-18,PARSED,2026-11-17,26-11-17,PARSED,"시급 10,320 원 이상 ~ 10,320 원 이하",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180003
