q1_q3_industry,q1_q3_quarter,q1_q3_stage,q1_q3_state,kicox_industry,company_raw,normalized_company,company_official,wanted_auth_no,title_raw,region_raw,gu,reg_date,due_date,recruitment_count,recruitment_count_source,occupation,occupation_source,career_type,career_min_months,wage_type,wage_min,wage_max,ksic_code,ksic_name,ksic_resolution_method,company_match_status,is_manufacturing,workplace_address_enriched,address_source,industrial_complex_match_status,industrial_complex_match_method,kicox_mapping_status,kicox_mapping_confidence,repost_candidate,evidence_status,evidence_notes,source_url
기계,2026Q2,우선점검,S4,기계,(유)티에스,티에스,(유)티에스,K131132609180046,H-MCT 가공 경력자 모집,경남 창원시 의창구,의창구,2026-09-18,2026-09-30,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,24.0,시급,11000,12000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,,NOT_COLLECTED_ACCESS_POLICY,UNKNOWN,NO_RELIABLE_ADDRESS,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180046
기계,2026Q2,우선점검,S4,기계,도해정밀,도해정밀,도해정밀,KF10532609180005,검사 및 출하 직원 모집,경남 창원시 의창구,의창구,2026-09-18,2026-11-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,29293,주형 및 금형 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 북면 감계로188번길 3,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180005
기계,2026Q2,우선점검,S4,기계,주식회사 에이지,에이지,주식회사 에이지,K131132609180044,사상 및 제품검사자 모집 [주5일/주간근무],경남 창원시 의창구,의창구,2026-09-18,2026-10-02,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,11000,11000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 평산로8번길 37-19 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180044
기계,2026Q2,우선점검,S4,기계,도해정밀,도해정밀,도해정밀,K131132609180036,"반도체 및 금형 제품 검사 및 포장, CAD편집",경남 창원시 의창구,의창구,2026-09-18,2026-10-18,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,29293,주형 및 금형 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 북면 감계로188번길 3,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180036
기계,2026Q2,우선점검,S4,기계,주식회사동경씨에스,동경씨에스,(주)동경씨에스,K131132609180033,편집인원구인,경남 창원시 성산구,성산구,2026-09-18,2026-10-02,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,12.0,연봉,35000000,35000000,25913,자동차용 금속 압형제품 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 성산구 성산패총로38번길 18 (성산동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180033
기계,2026Q2,우선점검,S4,기계,주식회사 건우엠티씨,건우엠티씨,주식회사 건우엠티씨,K131132609180028,자재 구매 인재 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,12.0,연봉,35000000,40000000,29223,금속 절삭기계 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 차룡로 16 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180028
기계,2026Q2,우선점검,S4,기계,주식회사 건우엠티씨,건우엠티씨,주식회사 건우엠티씨,K131132609180027,MCT 가공원 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,12.0,시급,10320,10700,29223,금속 절삭기계 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 차룡로 16 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180027
기계,2026Q2,우선점검,S4,기계,덕보기계,덕보기계,덕보기계,K131132609180024,방산 범용선반 사원모집 [경력무관],경남 창원시 의창구,의창구,2026-09-18,2026-10-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 차룡로 12 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180024
기계,2026Q2,우선점검,S4,기계,주식회사킴텍,킴텍,주식회사 킴텍,K131132609180022,플라스틱 사출기 오퍼레이터 구인,경남 창원시 의창구,의창구,2026-09-18,2026-10-02,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,6.0,시급,10320,10320,29176,액체 여과기 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 북면 동전산단서로 34,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180022
기계,2026Q2,우선점검,S4,기계,주식회사킴텍,킴텍,주식회사 킴텍,K131132609180021,"플라스틱 사출, 납품보조 구인(월수금 출근)",경남 창원시 의창구,의창구,2026-09-18,2026-10-02,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,29176,액체 여과기 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 북면 동전산단서로 34,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180021
