snapshot_id,crawl_timestamp,wanted_auth_no,kicox_industry,kicox_mapping_status,kicox_mapping_confidence,ksic_code,ksic_name,company_raw,title_raw,region_raw,gu,reg_date,due_date,wage_raw,career_raw,education_raw,source_url,list_source_url,detail_source_url,request_status,http_status,error,company,title,source,collected_at,acquisition_path,recruitment_count_raw,recruitment_count,occupation_raw,related_occupation,occupation_keywords,job_description_raw,job_description_clean,employment_type,career,education,wage,work_hours_raw,work_pattern_raw,certificate_raw,preference_raw,other_preference_raw,computer_skill_raw,workplace_address,city,district,dong_eup_myeon,registered_at,closing_date,is_until_hired,personal_contact_fields_collected
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180046,기계,MAPPED,C,25924,절삭가공 및 유사처리업,(유)티에스,H-MCT 가공 경력자 모집,경남 창원시 의창구,의창구,2026-09-18,2026-09-30,"시급 11,000 원 이상 ~ 12,000 원 이하",경력 2년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180046&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180046,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180046&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,SUCCESS,200,,(유)티에스,H-MCT 가공 경력자 모집,work24,2026-09-23T04:41:11+00:00,CURRENT_DETAIL_HTML,3명,3,금속 공작기계 조작원,-,밸브가공원,"H-MCT ,V-MCT ,CNC 선반가공 경력자 경력 2년이상 희망 외국인 기능자도가능","H-MCT ,V-MCT ,CNC 선반가공 경력자 경력 2년이상 희망 외국인 기능자도가능",기간의 정함이 없는 근로계약,경력 (최소 2년 이상) 필수,학력무관,"시급 11,000원 ~ 12,000원 이하 협의가능",상세 근무시간 (오전) 7시 00분~(오후) 4시 00분- 월 화 목 금(잔업시 18시30분) 휴일근무시(오전) 7시 00분~(오후) 3시 00분- 7시간근무 8시간특근처리 일요일 근무는 절대하지 않음,주 5일 근무,관계없음,,,-,"경상남도 창원시 의창구 차룡단지로 75-2, 팔용동 (팔용동) 지도 보기 길찾기",창원시,의창구,,2026.09.18 17:30:15,2026.09.30 (수) 24:00,False,False
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,KF10532609180005,기계,MAPPED,A,29293,주형 및 금형 제조업,도해정밀,검사 및 출하 직원 모집,경남 창원시 의창구,의창구,2026-09-18,2026-11-17,"시급 10,320 원 이상",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10532609180005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10532609180005,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10532609180005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,SUCCESS,200,,도해정밀,검사 및 출하 직원 모집,work24,2026-09-23T04:41:06+00:00,CURRENT_DETAIL_HTML,1명,1,기타 제조 관련 단순 종사원,기타 금속공작기계 조작원 및 보조원,-,"오토캐드를 사용하여 제품 검사 및 포장 출하 관련 업무 -검사실에서 완성된 제품을 도면과 비교하면서 검사 하는 작업 검사 완료 후 포장업무 작은 금속 부품 (가벼움) 검사, 포장 -간단한 캐드작업(초급정도실력)가능자 (캐드 사용이 안된다면 배우려는 의지가 있으신 분)","오토캐드를 사용하여 제품 검사 및 포장 출하 관련 업무 -검사실에서 완성된 제품을 도면과 비교하면서 검사 하는 작업 검사 완료 후 포장업무 작은 금속 부품 (가벼움) 검사, 포장 -간단한 캐드작업(초급정도실력)가능자 (캐드 사용이 안된다면 배우려는 의지가 있으신 분)",기간의 정함이 없는 근로계약,관계없음,학력무관,"시급 10,320원 이상 협의가능",상세 근무시간 (근무시간) (오전) 8시 00분 ~ (오후) 5시 00분 근무시간 협의가능,주 5일 근무,관계없음,,,-,경상남도 창원시 의창구 북면 감계로188번길 3 지도 보기 길찾기,창원시,의창구,북면,2026.09.18 17:27:30,채용시까지 (마감시간 : 24시),True,False
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180044,기계,MAPPED,C,25924,절삭가공 및 유사처리업,주식회사 에이지,사상 및 제품검사자 모집 [주5일/주간근무],경남 창원시 의창구,의창구,2026-09-18,2026-10-02,"시급 11,000 원 이상 ~ 11,000 원 이하",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180044&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180044,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180044&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,SUCCESS,200,,주식회사 에이지,사상 및 제품검사자 모집 [주5일/주간근무],work24,2026-09-23T04:41:15+00:00,CURRENT_DETAIL_HTML,1명,1,단순 사상원(용접사상 제외-용접원구분),용접 사상원 및 보조원,단순사상원,"로봇부품을 생산하는 제조업입니다. 로봇부품 사상, 제품검사 및 세척 작업자 모집합니다. 수공구로 제품 사상합니다. 작업일보 작성합니다. 신입도 가능, 경력직 우대합니다. 점심,저녁 식사제공 토요일,일요일 휴무","로봇부품을 생산하는 제조업입니다. 로봇부품 사상, 제품검사 및 세척 작업자 모집합니다. 수공구로 제품 사상합니다. 작업일보 작성합니다. 신입도 가능, 경력직 우대합니다. 점심,저녁 식사제공 토요일,일요일 휴무",기간의 정함이 없는 근로계약,관계없음,학력무관,"시급 11,000원 ~ 11,000원 이하",상세 근무시간 [근무시간] 8시 00분 ~ 17시 00분 [휴게시간] 12시 00분~ 13시 00분/ 17시 00분 ~ 17시 30분 [잔업시간] 17시 30분 ~ 20시,주 5일 근무,관계없음,,,-,"경상남도 창원시 의창구 평산로8번길 37-19, 에이지 (팔용동) 지도 보기 길찾기",창원시,의창구,,2026.09.18 17:24:15,채용시까지 (마감시간 : 24시),True,False
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180036,기계,MAPPED,A,29293,주형 및 금형 제조업,도해정밀,"반도체 및 금형 제품 검사 및 포장, CAD편집",경남 창원시 의창구,의창구,2026-09-18,2026-10-18,"시급 10,320 원 이상",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180036&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180036,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180036&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180033,기계,MAPPED,C,25913,자동차용 금속 압형제품 제조업,주식회사동경씨에스,편집인원구인,경남 창원시 성산구,성산구,2026-09-18,2026-10-02,"연봉 3,500 만원 이상",경력 1년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180033&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180033,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180033&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180028,기계,MAPPED,A,29223,금속 절삭기계 제조업,주식회사 건우엠티씨,자재 구매 인재 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,"연봉 3,500 만원 이상 ~ 4,000 만원 이하",경력 1년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180028&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180028,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180028&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180027,기계,MAPPED,A,29223,금속 절삭기계 제조업,주식회사 건우엠티씨,MCT 가공원 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,"시급 10,320 원 이상 ~ 10,700 원 이하",경력 1년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180027&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180027,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180027&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180024,기계,MAPPED,C,25924,절삭가공 및 유사처리업,덕보기계,방산 범용선반 사원모집 [경력무관],경남 창원시 의창구,의창구,2026-09-18,2026-10-17,"시급 10,320 원 이상 ~ 10,320 원 이하",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180024&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180024,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180024&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180022,기계,MAPPED,A,29176,액체 여과기 제조업,주식회사킴텍,플라스틱 사출기 오퍼레이터 구인,경남 창원시 의창구,의창구,2026-09-18,2026-10-02,"시급 10,320 원 이상 ~ 10,320 원 이하",경력 6개월,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180022&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180022,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180022&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180021,기계,MAPPED,A,29176,액체 여과기 제조업,주식회사킴텍,"플라스틱 사출, 납품보조 구인(월수금 출근)",경남 창원시 의창구,의창구,2026-09-18,2026-10-02,"시급 10,320 원 이상 ~ 10,320 원 이하",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180021&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180021,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180021&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
