model_id,scenario_id,metric_id,value,threshold,pass,n_replicates,n_param_samples,mean_n_possible_stages,share_n_possible_le_2,definition_note,seed,source_run_id,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
v1.0_crisp,기준,C3,0.914875,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
v1.0_crisp,고용중시,C3,0.934859375,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
v1.0_crisp,지속성중시,C3,0.9096875,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
D_small_indifference,기준,C3,0.906890625,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
D_small_indifference,고용중시,C3,0.922890625,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
D_small_indifference,지속성중시,C3,0.903671875,,,400,,,,점 배정 유지율(원 정의). Phase 4 산출물 인용.,99,20260916T152923842200Z-3c7692cc,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
v1.0_crisp,기준,C3b,0.92759375,0.95,False,400,,1.29375,0.9550561797752809,교란 후 점 단계가 원 가능 단계 집합에 포함되는 비율.,99,,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
v1.0_crisp,고용중시,C3b,0.802234375,0.95,False,400,,1.29375,0.9550561797752809,교란 후 점 단계가 원 가능 단계 집합에 포함되는 비율.,99,,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
v1.0_crisp,지속성중시,C3b,0.920734375,0.95,False,400,,1.29375,0.9550561797752809,교란 후 점 단계가 원 가능 단계 집합에 포함되는 비율.,99,,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
D_small_indifference,기준,C3b,0.9360624999999999,0.95,False,400,,1.29375,0.9550561797752809,교란 후 점 단계가 원 가능 단계 집합에 포함되는 비율.,99,,20260916T170959367202Z-ce09d511,2026-09-16T17:09:59.367202+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",5
