quarter,kicox_industry,completeness,n_months_complete,n_months,months,power_usage_kwh,power_usage_kwh_B,cust_cnt,cust_cnt_mean,cntr_pwr_kw,cntr_pwr_kw_mean,evidence_level,biz_types,kicox_mapped,completeness_lag4,power_usage_kwh_lag4,cust_cnt_lag4,cntr_pwr_kw_lag4,power_usage_kwh_B_lag4,power_usage_kwh_yoy,cust_cnt_yoy,cntr_pwr_kw_yoy,power_usage_kwh_B_yoy,power_yoy_computable,power_yoy_reason
2021Q1,기계,NO_DATA,0,3,2021-01|2021-02|2021-03,,,,,,,B,기타 기계,True,,,,,,,,,,False,current_no_data
2021Q2,기계,NO_DATA,0,3,2021-04|2021-05|2021-06,,,,,,,B,기타 기계,True,,,,,,,,,,False,current_no_data
2021Q3,기계,NO_DATA,0,3,2021-07|2021-08|2021-09,,,,,,,B,기타 기계,True,,,,,,,,,,False,current_no_data
2021Q4,기계,NO_DATA,0,3,2021-10|2021-11|2021-12,,,,,,,B,기타 기계,True,,,,,,,,,,False,current_no_data
2022Q1,기계,PARTIAL,2,3,2022-01|2022-02|2022-03,,,1794.0,1792.5,863525.0,862948.5,C,기타 기계,True,NO_DATA,,,,,,,,,False,current_partial
2022Q2,기계,COMPLETE,3,3,2022-04|2022-05|2022-06,351896607.0,210807708.0,1792.0,1795.0,859881.0,862000.3333333334,C,기타 기계|조립 금속,True,NO_DATA,,,,,,,,,False,lag4_no_data
2022Q3,기계,COMPLETE,3,3,2022-07|2022-08|2022-09,350278519.0,213552313.0,1796.0,1794.3333333333333,852678.0,856401.3333333334,C,기타 기계|조립 금속,True,NO_DATA,,,,,,,,,False,lag4_no_data
2022Q4,기계,COMPLETE,3,3,2022-10|2022-11|2022-12,357815585.0,211796956.0,1798.0,1798.3333333333333,854414.0,855111.6666666666,C,기타 기계|조립 금속,True,NO_DATA,,,,,,,,,False,lag4_no_data
2023Q1,기계,COMPLETE,3,3,2023-01|2023-02|2023-03,368959563.0,219536172.0,1794.0,1796.3333333333333,858700.0,858442.0,C,기타 기계|조립 금속,True,PARTIAL,,1794.0,863525.0,,,0.0,-0.558756260675719,,False,lag4_partial
2023Q2,기계,COMPLETE,3,3,2023-04|2023-05|2023-06,349634662.0,206078022.0,1789.0,1790.6666666666667,857873.0,858488.6666666666,C,기타 기계|조립 금속,True,COMPLETE,351896607.0,1792.0,859881.0,210807708.0,-0.6427868172084961,-0.16741071428570953,-0.2335206848389504,-2.2436020223700726,True,valid
2023Q3,기계,COMPLETE,3,3,2023-07|2023-08|2023-09,352590901.0,211457453.0,1784.0,1786.0,862693.0,856096.6666666666,C,기타 기계|조립 금속,True,COMPLETE,350278519.0,1796.0,852678.0,213552313.0,0.6601552406358069,-0.6681514476614692,1.1745348185364213,-0.9809587030789935,True,valid
2023Q4,기계,COMPLETE,3,3,2023-10|2023-11|2023-12,341378007.0,205235412.0,1785.0,1786.0,860192.0,866722.0,C,기타 기계|조립 금속,True,COMPLETE,357815585.0,1798.0,854414.0,211796956.0,-4.593868654435496,-0.7230255839822064,0.6762529640197856,-3.09803508224169,True,valid
2024Q1,기계,COMPLETE,3,3,2024-01|2024-02|2024-03,358079939.0,212523628.0,1784.0,1783.6666666666667,858674.0,858026.0,C,기타 기계|조립 금속,True,COMPLETE,368959563.0,1794.0,858700.0,219536172.0,-2.948730725811277,-0.5574136008918651,-0.00302783277046359,-3.1942544757499025,True,valid
2024Q2,기계,COMPLETE,3,3,2024-04|2024-05|2024-06,336694214.0,201537957.0,1782.0,1781.6666666666667,870994.0,862452.6666666666,C,기타 기계|조립 금속,True,COMPLETE,349634662.0,1789.0,857873.0,206078022.0,-3.701134185603139,-0.3912800447177234,1.529480470885547,-2.2030806370996747,True,valid
2024Q3,기계,COMPLETE,3,3,2024-07|2024-08|2024-09,337425014.0,207920519.0,1776.0,1777.0,857915.0,858513.0,C,기타 기계|조립 금속,True,COMPLETE,352590901.0,1784.0,862693.0,211457453.0,-4.301270099990473,-0.4484304932735439,-0.5538470811748741,-1.6726457023957475,True,valid
2024Q4,기계,COMPLETE,3,3,2024-10|2024-11|2024-12,330812683.0,197616986.0,1774.0,1774.3333333333333,857020.0,861787.6666666666,C,기타 기계|조립 금속,True,COMPLETE,341378007.0,1785.0,860192.0,205235412.0,-3.094904704859913,-0.6162464985994376,-0.36875488263085066,-3.712042637164392,True,valid
2025Q1,기계,COMPLETE,3,3,2025-01|2025-02|2025-03,341757843.0,204340740.0,1780.0,1780.3333333333333,859098.0,861310.6666666666,C,기타 기계|조립 금속,True,COMPLETE,358079939.0,1784.0,858674.0,212523628.0,-4.558226871235027,-0.22421524663677195,0.049378460277127445,-3.8503427016595038,True,valid
2025Q2,기계,COMPLETE,3,3,2025-04|2025-05|2025-06,320377173.0,194174424.0,1778.0,1779.3333333333333,846598.0,848659.3333333334,C,기타 기계|조립 금속,True,COMPLETE,336694214.0,1782.0,870994.0,201537957.0,-4.846249303232753,-0.22446689113355678,-2.800937779135104,-3.6536705589409135,True,valid
2025Q3,기계,COMPLETE,3,3,2025-07|2025-08|2025-09,332804850.0,209626806.0,1779.0,1781.0,843128.0,846053.3333333334,C,기타 기계|조립 금속,True,COMPLETE,337425014.0,1776.0,857915.0,207920519.0,-1.3692417006167745,0.16891891891892552,-1.7235973260754323,0.8206438730561372,True,valid
2025Q4,기계,COMPLETE,3,3,2025-10|2025-11|2025-12,301195466.0,187439230.0,1777.0,1778.0,845225.0,845103.3333333334,C,기타 기계|조립 금속,True,COMPLETE,330812683.0,1774.0,857020.0,197616986.0,-8.952866235784562,0.16910935738443378,-1.3762806002193595,-5.1502435119620715,True,valid
2026Q1,기계,COMPLETE,3,3,2026-01|2026-02|2026-03,320222142.0,198015087.0,1783.0,1782.3333333333333,832956.0,841286.0,C,기타 기계|조립 금속,True,COMPLETE,341757843.0,1780.0,859098.0,204340740.0,-6.301450410312892,0.16853932584268705,-3.0429590104970594,-3.0956396653941898,True,valid
2026Q2,기계,COMPLETE,3,3,2026-04|2026-05|2026-06,305026822.0,185730816.0,1773.0,1777.6666666666667,835019.0,833498.0,C,기타 기계|조립 금속,True,COMPLETE,320377173.0,1778.0,846598.0,194174424.0,-4.79133730292326,-0.2812148481439847,-1.3677093496559212,-4.348465583706329,True,valid
