revision,model,metric,value,action_group_retention
consistent_cells,MRSORT_box_only,possible_set_jaccard,0.94196875,0.9326875000000001
consistent_cells,MRSORT_rc_vrc,possible_set_jaccard,0.9078541666666666,0.9241875
consistent_cells,ROR_rc_vrc,possible_set_jaccard,0.9416145833333333,0.89725
consistent_cells,PARETO_boundary,possible_set_jaccard,0.9709687499999999,0.9540624999999998
consistent_cells,POINT_v1.0_crisp,point_retention,0.910625,
consistent_cells,POINT_D_small_indifference,point_retention,0.9043125000000001,
consistent_cells,POINT_count2,point_retention,0.901375,
consistent_cells,POINT_grouped_evidence,point_retention,0.9151249999999999,
consistent_cells,POINT_literal_duration4,point_retention,0.9145624999999998,
joint_blocks2,MRSORT_box_only,possible_set_jaccard,0.9267291666666666,0.9088124999999998
joint_blocks2,MRSORT_rc_vrc,possible_set_jaccard,0.8797083333333332,0.897625
joint_blocks2,ROR_rc_vrc,possible_set_jaccard,0.9225625,0.8587499999999999
joint_blocks2,PARETO_boundary,possible_set_jaccard,0.9612916666666668,0.9371875
joint_blocks2,POINT_v1.0_crisp,point_retention,0.8863125,
joint_blocks2,POINT_D_small_indifference,point_retention,0.8763124999999999,
joint_blocks2,POINT_count2,point_retention,0.878375,
joint_blocks2,POINT_grouped_evidence,point_retention,0.8901875,
joint_blocks2,POINT_literal_duration4,point_retention,0.88875,
