industry,quarter,gate_blocks_b1,mrsort_rc_vrc,ror_rc_vrc,ror_allows_check_or_higher
기계,2024Q2,True,OBSERVE,OBSERVE,False
기계,2024Q3,True,OBSERVE,OBSERVE,False
기계,2025Q1,True,OBSERVE,OBSERVE,False
기계,2025Q2,True,OBSERVE,OBSERVE,False
기계,2025Q3,True,OBSERVE,OBSERVE,False
기계,2025Q4,True,OBSERVE,OBSERVE,False
기타,2024Q1,True,OBSERVE,OBSERVE,False
기타,2024Q2,True,OBSERVE,OBSERVE,False
기타,2024Q3,True,OBSERVE,OBSERVE,False
기타,2026Q1,True,OBSERVE,OBSERVE,False
기타,2026Q2,True,OBSERVE,OBSERVE,False
목재종이,2022Q1,True,OBSERVE,OBSERVE,False
목재종이,2022Q2,True,OBSERVE,OBSERVE,False
목재종이,2022Q3,True,OBSERVE,OBSERVE,False
목재종이,2022Q4,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
목재종이,2025Q1,True,OBSERVE,OBSERVE,False
목재종이,2025Q2,True,OBSERVE,OBSERVE,False
목재종이,2025Q3,True,OBSERVE,OBSERVE,False
목재종이,2025Q4,True,OBSERVE,OBSERVE,False
석유화학,2022Q1,True,OBSERVE,OBSERVE,False
석유화학,2022Q2,True,OBSERVE,OBSERVE,False
석유화학,2022Q3,True,OBSERVE,OBSERVE,False
석유화학,2022Q4,True,OBSERVE,OBSERVE,False
석유화학,2023Q1,True,OBSERVE,OBSERVE,False
석유화학,2023Q2,True,OBSERVE,OBSERVE,False
석유화학,2023Q3,True,OBSERVE,OBSERVE,False
석유화학,2024Q1,True,OBSERVE,OBSERVE,False
석유화학,2024Q2,True,OBSERVE,OBSERVE,False
석유화학,2024Q3,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
석유화학,2025Q3,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
석유화학,2025Q4,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
석유화학,2026Q1,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
석유화학,2026Q2,True,OBSERVE,OBSERVE,False
섬유의복,2022Q4,True,OBSERVE,OBSERVE,False
섬유의복,2023Q1,True,OBSERVE,OBSERVE,False
섬유의복,2023Q2,True,OBSERVE,OBSERVE,False
섬유의복,2023Q3,True,OBSERVE,OBSERVE,False
섬유의복,2025Q4,True,OBSERVE,OBSERVE,False
섬유의복,2026Q1,True,OBSERVE,OBSERVE,False
섬유의복,2026Q2,True,OBSERVE,OBSERVE,False
운송장비,2022Q4,True,OBSERVE,OBSERVE,False
운송장비,2023Q1,True,OBSERVE,OBSERVE,False
운송장비,2023Q2,True,OBSERVE,OBSERVE,False
운송장비,2023Q3,True,OBSERVE,OBSERVE,False
운송장비,2024Q1,True,OBSERVE,OBSERVE,False
운송장비,2024Q2,True,OBSERVE,OBSERVE,False
운송장비,2024Q3,True,OBSERVE,OBSERVE,False
음식료,2022Q1,True,OBSERVE,OBSERVE,False
음식료,2022Q2,True,OBSERVE,OBSERVE,False
음식료,2022Q3,True,OBSERVE,OBSERVE,False
음식료,2022Q4,True,OBSERVE,OBSERVE,False
음식료,2023Q1,True,OBSERVE,OBSERVE,False
음식료,2023Q2,True,OBSERVE,OBSERVE,False
음식료,2023Q3,True,OBSERVE,OBSERVE,False
음식료,2024Q1,True,OBSERVE,OBSERVE,False
음식료,2024Q2,True,OBSERVE,OBSERVE,False
음식료,2024Q3,True,OBSERVE,OBSERVE,False
전기전자,2022Q1,True,OBSERVE,OBSERVE,False
전기전자,2022Q2,True,OBSERVE,OBSERVE,False
전기전자,2022Q3,True,OBSERVE,OBSERVE,False
전기전자,2023Q1,True,OBSERVE,OBSERVE,False
전기전자,2023Q2,True,OBSERVE,OBSERVE,False
전기전자,2023Q3,True,OBSERVE,OBSERVE,False
전기전자,2024Q1,True,OBSERVE,OBSERVE,False
전기전자,2024Q2,True,OBSERVE,OBSERVE,False
전기전자,2024Q3,True,OBSERVE,OBSERVE,False
철강,2022Q1,True,OBSERVE,OBSERVE,False
철강,2022Q2,True,OBSERVE,OBSERVE,False
철강,2022Q3,True,OBSERVE,OBSERVE,False
철강,2024Q1,True,OBSERVE,OBSERVE,False
철강,2024Q2,True,OBSERVE,OBSERVE,False
철강,2024Q3,True,OBSERVE,OBSERVE,False
철강,2025Q1,True,OBSERVE,OBSERVE,False
철강,2025Q2,True,OBSERVE,OBSERVE,False
철강,2025Q3,True,OBSERVE,OBSERVE|CHECK|PRIORITY,True
