industry,quarter,q1_state,g1,g2,g3,g4,complete_case,discriminating,MRSORT_box_only,MRSORT_rc,MRSORT_rc_vrc,MRSORT_rc_vrc_no4,ROR_no_preference,ROR_rc,ROR_rc_vrc,ROR_rc_vrc_bounded,PARETO_boundary,POINT_v1.0_crisp,POINT_D_small_indifference,POINT_count2,POINT_grouped_evidence,POINT_literal_duration4,action_MRSORT_box_only,action_MRSORT_rc,action_MRSORT_rc_vrc,action_MRSORT_rc_vrc_no4,action_ROR_no_preference,action_ROR_rc,action_ROR_rc_vrc,action_ROR_rc_vrc_bounded,action_PARETO_boundary
기계,2026Q2,S4,3979.0,6.339722447939078,19.547350877543444,2.0,True,True,CHECK|PRIORITY,PRIORITY,PRIORITY,PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,PRIORITY,PRIORITY,PRIORITY,PRIORITY,PRIORITY,확인 대상군,확인 대상군,확인 대상군,확인 대상군,불확실 공동 점검군,확인 대상군,확인 대상군,확인 대상군,확인 대상군
기타,2026Q2,S1,0.0,0.0,0.0,0.0,True,False,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,현재 관찰군,현재 관찰군,현재 관찰군,현재 관찰군,불확실 공동 점검군,현재 관찰군,현재 관찰군,현재 관찰군,현재 관찰군
목재종이,2026Q2,S4,48.0,10.084033613445376,12.897127553431709,2.0,True,True,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,PRIORITY,PRIORITY,PRIORITY,PRIORITY,PRIORITY,불확실 공동 점검군,불확실 공동 점검군,확인 대상군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군
비금속,2026Q2,S2,2.0,1.0810810810810811,0.0,19.0,True,True,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,현재 관찰군,현재 관찰군,현재 관찰군,현재 관찰군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군
석유화학,2026Q2,S3,0.0,0.0,6.729849384858399,0.0,True,False,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,현재 관찰군,현재 관찰군,현재 관찰군,현재 관찰군,불확실 공동 점검군,불확실 공동 점검군,현재 관찰군,현재 관찰군,불확실 공동 점검군
섬유의복,2026Q2,N,0.0,-0.0,12.319670818395734,0.0,True,False,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE|CHECK|PRIORITY,OBSERVE,OBSERVE,OBSERVE,OBSERVE,OBSERVE,현재 관찰군,현재 관찰군,현재 관찰군,현재 관찰군,불확실 공동 점검군,불확실 공동 점검군,현재 관찰군,현재 관찰군,불확실 공동 점검군
운송장비,2026Q2,S2,129.0,0.7848147472166445,0.0,6.0,True,True,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK,CHECK,CHECK,CHECK,CHECK,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군
음식료,2026Q2,S2,25.0,3.7878787878787845,0.0,6.0,True,True,OBSERVE|CHECK,OBSERVE|CHECK,CHECK,OBSERVE|CHECK,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK,CHECK,CHECK,CHECK,CHECK,불확실 공동 점검군,불확실 공동 점검군,확인 대상군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,확인 대상군,확인 대상군,불확실 공동 점검군
전기전자,2026Q2,S2,116.0,0.4128848549563968,0.0,6.0,True,True,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK,CHECK,CHECK,CHECK,CHECK,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군
철강,2026Q2,S2,112.0,1.1427405366799315,0.0,4.0,True,True,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,OBSERVE|CHECK|PRIORITY,CHECK,CHECK,CHECK,CHECK,CHECK,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군,불확실 공동 점검군
