업종,국면,생산YoY,고용YoY,가동률_사용값,가동률YoY_pp_사용값,가동업체YoY,PPI_YoY_min,PPI_YoY_max,PPI조정_생산YoY_하한,PPI조정_생산YoY_상한,PPI_방향상태,PPI_매핑검토유형,PPI_매핑확정여부
목재종이,S4,-12.9,-10.1,74.7,6.0,-2.2,2.823862,2.823862,-15.289242,-15.289242,유지,단일 후보·근접 분류,미확정
기계,S4,-19.5,-6.3,80.6,-4.9,0.3,1.258387,1.258387,-20.547175,-20.547175,유지,단일 후보·근접 분류,미확정
음식료,S2,0.9,-3.8,92.3,-1.4,0.0,1.665731,1.665731,-0.779317,-0.779317,반전,단일 후보·근접 분류,미확정
철강,S2,32.6,-1.1,63.7,0.2,-1.3,5.881012,5.881012,25.280923,25.280923,유지,단일 후보·분류단계 민감,미확정
비금속,S2,45.7,-1.1,57.3,14.1,-20.0,3.414748,3.414748,40.860668,40.860668,유지,단일 후보·근접 분류,미확정
운송장비,S2,19.6,-0.8,92.3,1.0,0.4,2.049546,2.049546,17.240435,17.240435,유지,단일 후보·범위 주의,미확정
전기전자,S2,2.7,-0.4,76.7,-0.4,3.3,8.291311,20.983798,-15.114356,-5.165174,모든 후보 반전,복수 후보·범위 제시,미확정
섬유의복,N,-12.3,0.0,64.0,-9.0,14.3,3.359752,3.359752,-15.169757,-15.169757,유지,단일 후보·분류 선택,미확정
석유화학,S3,-6.7,9.6,76.3,-3.3,9.8,19.155359,71.255265,-45.537353,-21.723914,유지,복수 후보·범위 제시,미확정
기타,S1,3.0,17.1,69.1,1.6,-7.4,,,,,비교불가,매핑 불가,미확정
