variant,label,changed_rows,changed_pct,우선점검,추가확인,관찰,자료확인,규모미달
기준안,-,0,0.0,15,32,113,20,0
A 진입/상위 0.5·1.0,OWN,5,2.8,17,33,110,20,0
A 진입/상위 2.0·4.0,OWN,4,2.2,11,36,113,20,0
A축 제거,OWN,8,4.4,8,35,117,20,0
R 상위경계 제거(10%p→무한),OWN,1,0.6,14,33,113,20,0
규모기준 200인,OWN,2,1.1,17,30,113,20,0
규모기준 500인,OWN,2,1.1,13,34,113,20,0
규모기준 1000인,OWN,8,4.4,7,40,113,20,0
규모게이트 없음,OWN,20,11.1,35,12,113,20,0
규모 hard exclusion,OWN,58,32.2,15,5,82,20,58
지속(Q3) 제거,OWN,6,3.3,9,38,113,20,0
생산(P) 보강 제거,OWN,4,2.2,11,36,113,20,0
지속·생산 모두 제거,OWN,15,8.3,0,47,113,20,0
경계 3%/6%,OWN,18,10.0,17,46,97,20,0
경계 7%/15%,OWN,8,4.4,11,32,117,20,0
