quarter,industry,var,old,new,source
2022Q4,기계,production,43131.31385,43131.31384666667,kicox_annual_revision
2022Q4,운송장비,production,38041.10961,38041.10960633333,kicox_annual_revision
2022Q4,철강,production,15341.474501,15341.4745,kicox_annual_revision
2023Q1,기계,production,43783.1193,43783.11930276925,kicox_annual_revision
2023Q1,운송장비,production,36202.67666,36202.67666263637,kicox_annual_revision
2023Q1,전기전자,production,32541.05698,32541.056987750002,kicox_annual_revision
2023Q1,철강,production,16124.712501,16124.712499999998,kicox_annual_revision
2023Q2,기계,production,46779.9532,46779.95319025642,kicox_annual_revision
2023Q2,운송장비,production,40053.869,40053.868995363635,kicox_annual_revision
2023Q2,전기전자,production,33166.19102,33166.19101575,kicox_annual_revision
2023Q2,철강,production,17383.534501000002,17383.534499999998,kicox_annual_revision
2023Q3,전기전자,production,34407.773799999995,34407.77379875,kicox_annual_revision
2023Q3,철강,production,15843.760501,15843.7605,kicox_annual_revision
2023Q4,기계,production,33483.13884,,kicox_annual_revision
2023Q4,기타,production,51.68833334,,kicox_annual_revision
2023Q4,목재종이,production,48.04,,kicox_annual_revision
2023Q4,비금속,production,114.57,,kicox_annual_revision
2023Q4,석유화학,production,753.9316666,,kicox_annual_revision
2023Q4,섬유의복,production,5.45,,kicox_annual_revision
2023Q4,운송장비,production,27882.09575,,kicox_annual_revision
2023Q4,음식료,production,1066.56,,kicox_annual_revision
2023Q4,전기전자,production,22250.23986,,kicox_annual_revision
2023Q4,철강,production,9641.812334,,kicox_annual_revision
2024Q1,기계,production,50754.04143,50754.041424,kicox_annual_revision
2024Q1,운송장비,production,36734.52183,36734.521823363626,kicox_annual_revision
2024Q1,전기전자,production,35508.8757,35508.87570375001,kicox_annual_revision
2024Q1,철강,production,14707.212501,14707.2125,kicox_annual_revision
2024Q2,기계,production,54973.24675,54973.246754750035,kicox_annual_revision
2024Q2,운송장비,production,39643.61303,39643.61302627273,kicox_annual_revision
2024Q2,전기전자,production,34875.72381,34875.72381375001,kicox_annual_revision
2024Q3,기계,production,54672.12274,54672.122736750025,kicox_annual_revision
2024Q4,기계,production,52778.54172,52778.54172229284,kicox_annual_revision
2024Q4,운송장비,production,53588.47859,53588.47858727274,kicox_annual_revision
2024Q4,전기전자,production,34606.54549,34606.54549375001,kicox_annual_revision
2025Q1,기계,production,58847.16777,58847.167772727276,kicox_annual_revision
2025Q1,운송장비,production,39050.48431,39050.48430555556,kicox_annual_revision
2025Q1,전기전자,production,37044.85889,37044.858888888906,kicox_annual_revision
2026Q1,기계,production,53990.3932,53182.395621212134,kicox_annual_revision
2026Q1,목재종이,production,160.78,157.45,kicox_annual_revision
2026Q1,운송장비,production,46907.35889,46907.35888888889,kicox_annual_revision
2026Q1,전기전자,production,34335.81222,34433.41222222222,kicox_annual_revision
2026Q1,철강,production,20056.18,20065.36,kicox_annual_revision
2026Q2,운송장비,production,46903.16278,46903.16277777778,kicox_annual_revision
2023Q1,기계,employment,56651.0,56683.0,kicox_annual_revision
2023Q1,목재종이,employment,259.0,258.0,kicox_annual_revision
2023Q1,석유화학,employment,617.0,624.0,kicox_annual_revision
2023Q1,섬유의복,employment,52.0,53.0,kicox_annual_revision
2023Q1,운송장비,employment,16917.0,16916.0,kicox_annual_revision
2023Q1,음식료,employment,860.0,859.0,kicox_annual_revision
2023Q1,전기전자,employment,28738.0,28812.0,kicox_annual_revision
2023Q1,철강,employment,9127.0,9115.0,kicox_annual_revision
2024Q3,기계,employment,56321.0,58477.0,kicox_annual_revision
2024Q3,목재종이,employment,239.0,211.0,kicox_annual_revision
2024Q3,비금속,employment,250.0,236.0,kicox_annual_revision
2024Q3,석유화학,employment,634.0,623.0,kicox_annual_revision
2024Q3,운송장비,employment,16925.0,16786.0,kicox_annual_revision
2024Q3,음식료,employment,878.0,913.0,kicox_annual_revision
2024Q3,전기전자,employment,29221.0,29232.0,kicox_annual_revision
2024Q3,철강,employment,9313.0,9743.0,kicox_annual_revision
2026Q1,기계,employment,58463.0,58888.0,kicox_annual_revision
2026Q1,철강,employment,9615.0,9675.0,kicox_annual_revision
2026Q2,기계,employment,,58784.0,kicox_annual_revision
2026Q2,기타,employment,,171.0,kicox_annual_revision
2026Q2,목재종이,employment,,428.0,kicox_annual_revision
2026Q2,비금속,employment,,183.0,kicox_annual_revision
2026Q2,석유화학,employment,,619.0,kicox_annual_revision
2026Q2,섬유의복,employment,,34.0,kicox_annual_revision
2026Q2,운송장비,employment,,16308.0,kicox_annual_revision
2026Q2,음식료,employment,,635.0,kicox_annual_revision
2026Q2,전기전자,employment,,27979.0,kicox_annual_revision
2026Q2,철강,employment,,9689.0,kicox_annual_revision
2026Q2,기계,firms_in,,1556.0,kicox_annual_revision
2026Q2,기타,firms_in,,35.0,kicox_annual_revision
2026Q2,목재종이,firms_in,,48.0,kicox_annual_revision
2026Q2,비금속,firms_in,,4.0,kicox_annual_revision
2026Q2,석유화학,firms_in,,49.0,kicox_annual_revision
2026Q2,섬유의복,firms_in,,10.0,kicox_annual_revision
2026Q2,운송장비,firms_in,,254.0,kicox_annual_revision
2026Q2,음식료,firms_in,,7.0,kicox_annual_revision
2026Q2,전기전자,firms_in,,651.0,kicox_annual_revision
2026Q2,철강,firms_in,,80.0,kicox_annual_revision
2026Q2,기계,firms_op,,1458.0,kicox_annual_revision
2026Q2,기타,firms_op,,25.0,kicox_annual_revision
2026Q2,목재종이,firms_op,,44.0,kicox_annual_revision
2026Q2,비금속,firms_op,,4.0,kicox_annual_revision
2026Q2,석유화학,firms_op,,45.0,kicox_annual_revision
2026Q2,섬유의복,firms_op,,8.0,kicox_annual_revision
2026Q2,운송장비,firms_op,,245.0,kicox_annual_revision
2026Q2,음식료,firms_op,,4.0,kicox_annual_revision
2026Q2,전기전자,firms_op,,590.0,kicox_annual_revision
2026Q2,철강,firms_op,,74.0,kicox_annual_revision
