revision_key,quarter,mfg_sum,nonmfg_official,total_official,emp_gap_from_master,match
2022M10,2022Q4,112306.0,3587.0,115893.0,3682.0,
2022M11,2022Q4,112631.0,3604.0,116235.0,3682.0,
2022M12,2022Q4,112333.0,3682.0,116015.0,3682.0,True
2023M1,2023Q1,113146.0,3706.0,116852.0,3717.0,
2023M10,2023Q4,114004.0,3701.0,117705.0,3686.0,
2023M11,2023Q4,113734.0,3707.0,117441.0,3686.0,
2023M12,2023Q4,113511.0,3686.0,117197.0,3686.0,True
2023M2,2023Q1,113291.0,3703.0,116994.0,3717.0,
2023M3,2023Q1,113723.0,3717.0,117440.0,3717.0,True
2023M4,2023Q2,113624.0,3719.0,117343.0,3770.0,
2023M5,2023Q2,113768.0,3726.0,117494.0,3770.0,
2023M6,2023Q2,113360.0,3770.0,117130.0,3770.0,True
2023M7,2023Q3,113471.0,3727.0,117198.0,3717.0,
2023M8,2023Q3,113308.0,3755.0,117063.0,3717.0,
2023M9,2023Q3,113488.0,3717.0,117205.0,3717.0,True
2024M1,2024Q1,113610.0,3661.0,117271.0,3713.0,
2024M2,2024Q1,113616.0,3726.0,117342.0,3713.0,
2024M3,2024Q1,113992.0,3713.0,117705.0,3713.0,True
2024Q2,2024Q2,116299.0,3686.0,119985.0,3686.0,True
2024Q3,2024Q3,116432.0,3785.0,120217.0,3785.0,True
2024Q4,2024Q4,114574.0,3631.0,118205.0,3631.0,True
2025Q1,2025Q1,116910.0,4479.0,121389.0,4479.0,True
2026Q1,2026Q1,114945.0,4752.0,119697.0,4752.0,True
2026Q2,2026Q2,114830.0,4851.0,119681.0,4851.0,True
