end_quarter,agg,industry,production_change_pct,employment_change_pct,production_dir,employment_dir
2025Q4,mean,기계,10.21,5.91,up,up
2025Q4,mean,기타,3.63,-18.74,up,down
2025Q4,mean,목재종이,141.47,110.54,up,up
2025Q4,mean,비금속,-25.94,-24.25,down,down
2025Q4,mean,석유화학,-44.51,-0.96,down,down
2025Q4,mean,섬유의복,-14.48,-8.11,down,down
2025Q4,mean,운송장비,-2.09,-3.21,down,down
2025Q4,mean,음식료,-16.1,-25.4,down,down
2025Q4,mean,전기전자,0.23,-4.08,up,down
2025Q4,mean,철강,1.53,1.6,up,up
2025Q4,median,기계,5.71,5.12,up,up
2025Q4,median,기타,3.13,-15.9,up,down
2025Q4,median,목재종이,129.19,109.98,up,up
2025Q4,median,비금속,-25.52,-23.86,down,down
2025Q4,median,석유화학,-45.61,1.2,down,up
2025Q4,median,섬유의복,-12.31,-10.53,down,down
2025Q4,median,운송장비,1.82,-2.96,up,down
2025Q4,median,음식료,-15.96,-29.43,down,down
2025Q4,median,전기전자,-1.47,-4.15,down,down
2025Q4,median,철강,4.84,1.02,up,up
2026Q1,mean,기계,3.62,3.74,up,up
2026Q1,mean,기타,4.14,-12.48,up,down
2026Q1,mean,목재종이,73.31,61.79,up,up
2026Q1,mean,비금속,-11.4,-19.31,down,down
2026Q1,mean,석유화학,-39.25,-0.88,down,down
2026Q1,mean,섬유의복,-15.52,-5.56,down,down
2026Q1,mean,운송장비,1.13,-2.9,up,down
2026Q1,mean,음식료,-12.66,-28.53,down,down
2026Q1,mean,전기전자,-2.73,-3.65,down,down
2026Q1,mean,철강,16.87,0.25,up,up
2026Q1,median,기계,-0.27,2.6,down,up
2026Q1,median,기타,4.01,-15.9,up,down
2026Q1,median,목재종이,123.15,108.87,up,up
2026Q1,median,비금속,3.12,-22.39,up,down
2026Q1,median,석유화학,-43.05,0.88,down,up
2026Q1,median,섬유의복,-11.45,-5.56,down,down
2026Q1,median,운송장비,10.47,-2.75,up,down
2026Q1,median,음식료,-15.62,-29.81,down,down
2026Q1,median,전기전자,-2.01,-4.31,down,down
2026Q1,median,철강,8.44,-0.59,up,down
2026Q2,mean,기계,-7.21,0.1,down,up
2026Q2,mean,기타,4.29,-5.14,up,down
2026Q2,mean,목재종이,31.67,30.29,up,up
2026Q2,mean,비금속,13.45,-15.01,up,down
2026Q2,mean,석유화학,-29.42,3.9,down,up
2026Q2,mean,섬유의복,-17.66,-2.86,down,down
2026Q2,mean,운송장비,5.83,-2.56,up,down
2026Q2,mean,음식료,-8.03,-23.1,down,down
2026Q2,mean,전기전자,-1.22,-2.62,down,down
2026Q2,mean,철강,25.28,-0.79,up,down
2026Q2,median,기계,-4.58,-0.23,down,down
2026Q2,median,기타,4.9,-1.88,up,down
2026Q2,median,목재종이,30.51,30.29,up,up
2026Q2,median,비금속,27.87,-13.74,up,down
2026Q2,median,석유화학,-27.34,1.2,down,up
2026Q2,median,섬유의복,-14.43,0.0,down,down
2026Q2,median,운송장비,15.54,-2.18,up,down
2026Q2,median,음식료,-7.9,-24.81,down,down
2026Q2,median,전기전자,1.08,-2.72,up,down
2026Q2,median,철강,24.67,-0.68,up,down
