KICOX_업종,PPI_분류명,시점(YYYYMM),PPI_지수값,단위
기계,기계및장비,202101,99.83,2020＝100
기계,기계및장비,202102,99.83,2020＝100
기계,기계및장비,202103,99.86,2020＝100
기계,기계및장비,202104,100.03,2020＝100
기계,기계및장비,202105,100.14,2020＝100
기계,기계및장비,202106,100.34,2020＝100
기계,기계및장비,202107,101.14,2020＝100
기계,기계및장비,202108,101.39,2020＝100
기계,기계및장비,202109,101.93,2020＝100
기계,기계및장비,202110,103.05,2020＝100
기계,기계및장비,202111,103.17,2020＝100
기계,기계및장비,202112,103.32,2020＝100
기계,기계및장비,202201,104.03,2020＝100
기계,기계및장비,202202,104.45,2020＝100
기계,기계및장비,202203,104.79,2020＝100
기계,기계및장비,202204,105.51,2020＝100
기계,기계및장비,202205,105.8,2020＝100
기계,기계및장비,202206,106.04,2020＝100
기계,기계및장비,202207,107.32,2020＝100
기계,기계및장비,202208,107.51,2020＝100
기계,기계및장비,202209,107.6,2020＝100
기계,기계및장비,202210,107.42,2020＝100
기계,기계및장비,202211,107.5,2020＝100
기계,기계및장비,202212,107.69,2020＝100
기계,기계및장비,202301,107.91,2020＝100
기계,기계및장비,202302,108.11,2020＝100
기계,기계및장비,202303,108.5,2020＝100
기계,기계및장비,202304,108.55,2020＝100
기계,기계및장비,202305,108.7,2020＝100
기계,기계및장비,202306,108.84,2020＝100
기계,기계및장비,202307,108.98,2020＝100
기계,기계및장비,202308,108.98,2020＝100
기계,기계및장비,202309,109.06,2020＝100
기계,기계및장비,202310,109.08,2020＝100
기계,기계및장비,202311,109.12,2020＝100
기계,기계및장비,202312,109.25,2020＝100
기계,기계및장비,202401,110.05,2020＝100
기계,기계및장비,202402,110.03,2020＝100
기계,기계및장비,202403,109.99,2020＝100
기계,기계및장비,202404,110.08,2020＝100
기계,기계및장비,202405,110.2,2020＝100
기계,기계및장비,202406,110.77,2020＝100
기계,기계및장비,202407,110.88,2020＝100
기계,기계및장비,202408,110.82,2020＝100
기계,기계및장비,202409,110.86,2020＝100
기계,기계및장비,202410,110.9,2020＝100
기계,기계및장비,202411,110.91,2020＝100
기계,기계및장비,202412,110.98,2020＝100
기계,기계및장비,202501,111.17,2020＝100
기계,기계및장비,202502,111.27,2020＝100
기계,기계및장비,202503,111.53,2020＝100
기계,기계및장비,202504,111.8,2020＝100
기계,기계및장비,202505,111.86,2020＝100
기계,기계및장비,202506,111.69,2020＝100
기계,기계및장비,202507,111.72,2020＝100
기계,기계및장비,202508,111.73,2020＝100
기계,기계및장비,202509,111.86,2020＝100
기계,기계및장비,202510,111.99,2020＝100
기계,기계및장비,202511,112.03,2020＝100
기계,기계및장비,202512,112.05,2020＝100
기계,기계및장비,202601,112.27,2020＝100
기계,기계및장비,202602,112.33,2020＝100
