industry,고용비중%,2026Q2_증감인원,2026Q2_증감률%,2026Q2_국면,최근4분기_평균고용_전년대비증감,최근4분기_YoY증감절대합,최근4분기_기간순증감,상세표시대상,비례기대증감,초과증감
기계,51.19219716102064,-3979.0,-6.339722447939078,S4,59.5,10478.0,-3979.0,True,-2281.6780181601516,-1697.3219818398484
전기전자,24.365583906644606,-116.0,-0.4128848549563968,S2,-752.25,3009.0,-116.0,True,-1021.3620113794666,905.3620113794666
운송장비,14.201863624488373,-129.0,-0.7848147472166445,S2,-429.25,1717.0,-129.0,True,-597.5485809234488,468.54858092344875
철강,8.437690498998519,-112.0,-1.1427405366799317,S2,-77.25,309.0,-112.0,True,-356.30429163659556,244.30429163659556
음식료,0.5529913785596099,-25.0,-3.787878787878785,S2,-193.0,772.0,-25.0,False,-23.99355499236334,-1.0064450076366604
석유화학,0.539057737525037,54.0,9.557522123893802,S3,23.75,105.0,54.0,False,-20.53993722831104,74.53993722831103
목재종이,0.37272489767482364,-48.0,-10.084033613445376,S4,104.5,616.0,-48.0,False,-17.304442691462043,-30.695557308537957
비금속,0.15936601933292693,-2.0,-1.0810810810810811,S2,-32.0,128.0,-2.0,False,-6.725466172101845,4.725466172101845
기타,0.1489157885569973,25.0,17.12328767123288,S1,-8.5,128.0,25.0,False,-5.307665195280374,30.307665195280375
섬유의복,0.029608987198467298,0.0,0.0,N,-1.0,4.0,0.0,False,-1.2360316208187174,1.2360316208187174
