industry,quarter,production,employment,production_yoy,employment_yoy,emp_delta,employment_share_pct,contribution_pct,state,run_length,transition_type,previous_state,production_yoy_valid,employment_yoy_valid,data_quality_core_missing
기계,2022Q1,45395.66533,62805.0,14.944670997758426,-3.6718354575990375,-2394.0,53.54493836001841,,S2,1.0,S2->S2,,True,True,False
기타,2022Q1,161.92000001,195.0,-11.160152281717316,-1.5151515151515138,-3.0,0.1662489129878766,,S4,1.0,S4->S4,,True,True,False
목재종이,2022Q1,135.06666666,267.0,10.391674306608278,2.298850574712641,6.0,0.2276331270141695,,S1,1.0,S1->S1,,True,True,False
비금속,2022Q1,115.695,263.0,10.909265206346165,-3.663003663003661,-10.0,0.2242228929015976,,S2,1.0,S2->S2,,True,True,False
석유화학,2022Q1,517.0966667,508.0,23.22778977954787,4.098360655737698,20.0,0.4330997322966222,,S1,1.0,S1->S1,,True,True,False
섬유의복,2022Q1,1.5,39.0,100.0,-11.363636363636363,-5.0,0.0332497825975753,,S2,1.0,S2->S2,,True,True,False
운송장비,2022Q1,26878.613143,15500.0,4.797502469899695,-1.7370356282490174,-274.0,13.214657186215833,,S2,1.0,S2->S2,,True,True,False
음식료,2022Q1,1158.86,733.0,3.9010176177881606,1.9471488178025127,14.0,0.6249254011287875,,S1,1.0,S1->S1,,True,True,False
전기전자,2022Q1,31403.87944,27459.0,25.655306065332702,11.377464103188116,2805.0,23.41040462427745,,S1,1.0,S1->S1,,True,True,False
철강,2022Q1,18189.790001,9525.0,32.270527263022885,1.286686516376001,121.0,8.120619980561665,,S1,1.0,S1->S1,,True,True,False
기계,2022Q2,46598.71267,62203.0,7.70877717312255,-3.9009393152885874,-2525.0,53.23411611666439,,S2,2.0,S2->S2,S2,True,True,False
기타,2022Q2,130.69000001,194.0,-20.41127034589721,-1.5228426395939132,-3.0,0.1660276598658085,,S4,2.0,S4->S4,S4,True,True,False
목재종이,2022Q2,134.97,267.0,14.229695034439317,1.1363636363636465,3.0,0.2285019854854169,,S1,2.0,S1->S1,S1,True,True,False
비금속,2022Q2,137.225,259.0,5.278299896428695,-2.9962546816479363,-8.0,0.2216554840476516,,S2,2.0,S2->S2,S2,True,True,False
석유화학,2022Q2,683.0533334,516.0,33.09172156190328,2.9940119760478945,15.0,0.441599342735862,,S1,2.0,S1->S1,S1,True,True,False
섬유의복,2022Q2,2.4000000000000004,39.0,220.00000000000009,-11.363636363636363,-5.0,0.0333766945091058,,S2,2.0,S2->S2,S2,True,True,False
운송장비,2022Q2,27717.628937,15657.0,6.588441837118797,-2.570006222775356,-413.0,13.399459126386418,,S2,2.0,S2->S2,S2,True,True,False
음식료,2022Q2,1246.41,797.0,4.56620557350389,1.0139416983523386,8.0,0.6820827057373682,,S1,2.0,S1->S1,S1,True,True,False
전기전자,2022Q2,30777.93363,27441.0,19.06658814361053,11.227757285882213,2770.0,23.484355744214707,,S1,2.0,S1->S1,S1,True,True,False
