quarter,quarter_end,complex_nm,complex_type,industry,production,employment,op_rate_official,op_rate_approx,firms_in,firms_op,production_yoy,employment_yoy,production_yoy_valid,employment_yoy_valid,quadrant_yoy_valid,review_required,classification_break,production_source,employment_source,op_rate_source,firms_in_source,firms_op_source,production_is_revised,employment_is_revised,op_rate_is_revised,firms_in_is_revised,firms_op_is_revised,production_masked,employment_masked,op_rate_masked,firms_in_masked,firms_op_masked,production_invalid_source,employment_invalid_source,op_rate_invalid_source,firms_in_invalid_source,firms_op_invalid_source,production_note,employment_note,op_rate_note,firms_in_note,firms_op_note,employment_lag4,production_lag4,emp_delta,e_yoy,p_yoy,mfg_emp,mfg_emp_lag4,mfg_emp_yoy,E,P,R,A,employment_share_pct,mfg_emp_delta,net_gross_ratio,contribution_pct,state,run_length,transition_type,previous_state,production_yoy_reason,production_current_missing,production_lag4_missing,employment_yoy_reason,data_quality_core_missing,data_quality_production_missing,datarev,E_entry,E_up,R_entry,R_up,A_entry,A_up,P_support,n_entry,n_up,emp_entry,emp_up,data_quality_previous_signal_unknown,persist,scale_ok,scale_threshold,stage,stage_reason,data_quality_minimum_only,prod_only_decline,check_question,first_owner,rank_in_stage,scale_flag,q1_state,q1_question_route,q2_employment_delta,q2_employment_yoy,q2_employment_share,q2_contribution,q2_same_stage_rank,q3_state_run_length,q3_transition,q3_repeated_signal,signal_e,signal_r,signal_a,signal_p,decision_scale_gate,decision_stage,decision_reason,q1_state_label,decision_entry_trigger,decision_reinforcement,next_review_quarter
2022Q1,2022-03-31,창원,국가,기계,45395.66533,62805.0,,77.73051687,1511.0,1455.0,14.944670997758426,-3.6718354575990375,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,65199.0,39493.49277,-2394.0,-3.6718354575990375,14.944670997758426,117294.0,117014.0,0.23928760661118265,3.6718354575990375,0.0,3.91112306421022,2.041025116374239,53.54493836001841,280.0,0.04953998584571833,,S2,1.0,S2->S2,,valid,False,False,valid,False,False,False,False,False,False,False,True,True,False,1,1,True,True,False,True,True,300,우선점검,산단 제조업 고용의 2.04% 감소(상위경계 2.0% 통과) → 보강: 직전 분기에도 진입신호(지속),False,False,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,1,,S2,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-2394.0,-3.6718354575990375,53.54493836001841,,1,1.0,이전 또는 현재 상태 미확인,True,3.6718354575990375,3.91112306421022,2.041025116374239,0.0,True,우선점검,산단 제조업 고용의 2.04% 감소(상위경계 2.0% 통과) → 보강: 직전 분기에도 진입신호(지속),생산↑·고용↓,A,반복,2022Q2
2022Q1,2022-03-31,창원,국가,기타,161.92000001,195.0,,77.52522324,25.0,24.0,-11.160152281717316,-1.5151515151515138,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,198.0,182.26055556,-3.0,-1.5151515151515138,-11.160152281717316,117294.0,117014.0,0.23928760661118265,1.5151515151515138,11.160152281717316,1.7544391217626965,0.0025576755844288713,0.1662489129878766,280.0,0.04953998584571833,,S4,1.0,S4->S4,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,True,0,0,False,False,False,False,False,300,관찰,고용 축 진입신호 없음 (생산 11.2% 단독 감소 — 확인질문에 반영),False,True,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,기업지원 기능 + 고용지원 기능,3,규모기준 미만,S4,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,-3.0,-1.5151515151515138,0.1662489129878766,,3,1.0,이전 또는 현재 상태 미확인,False,1.5151515151515138,1.7544391217626965,0.0025576755844288713,11.160152281717316,False,관찰,고용 축 진입신호 없음 (생산 11.2% 단독 감소 — 확인질문에 반영),생산↓·고용↓,없음,생산,2022Q2
2022Q1,2022-03-31,창원,국가,목재종이,135.06666666,267.0,,86.50453956,43.0,40.0,10.391674306608278,2.298850574712641,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,261.0,122.35222222,6.0,2.298850574712641,10.391674306608278,117294.0,117014.0,0.23928760661118265,0.0,0.0,0.0,0.0,0.22763312701416955,280.0,0.04953998584571833,,S1,1.0,S1->S1,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,300,관찰,고용 축 진입신호 없음,False,False,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,4,규모기준 미만,S1,미충원·숙련수요·증가의 지속가능성을 확인한다.,6.0,2.298850574712641,0.22763312701416955,,4,1.0,이전 또는 현재 상태 미확인,False,0.0,0.0,0.0,0.0,False,관찰,고용 축 진입신호 없음,생산↑·고용↑,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,비금속,115.695,263.0,,52.93643946,5.0,5.0,10.909265206346165,-3.663003663003661,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,273.0,104.315,-10.0,-3.663003663003661,10.909265206346163,117294.0,117014.0,0.23928760661118265,3.663003663003661,0.0,3.9022912696148437,0.00852558528142957,0.22422289290159766,280.0,0.04953998584571833,,S2,1.0,S2->S2,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,300,관찰,고용 축 진입신호 없음,False,False,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2,규모기준 미만,S2,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-10.0,-3.663003663003661,0.22422289290159766,,2,1.0,이전 또는 현재 상태 미확인,False,3.663003663003661,3.9022912696148437,0.00852558528142957,0.0,False,관찰,고용 축 진입신호 없음,생산↑·고용↓,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,석유화학,517.0966667,508.0,,72.51020746,39.0,38.0,23.22778977954787,4.098360655737698,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,488.0,419.6266667,20.0,4.098360655737698,23.22778977954787,117294.0,117014.0,0.23928760661118265,0.0,0.0,0.0,0.0,0.4330997322966222,280.0,0.04953998584571833,,S1,1.0,S1->S1,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,300,관찰,고용 축 진입신호 없음,False,False,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,5,,S1,미충원·숙련수요·증가의 지속가능성을 확인한다.,20.0,4.098360655737698,0.4330997322966222,,5,1.0,이전 또는 현재 상태 미확인,False,0.0,0.0,0.0,0.0,True,관찰,고용 축 진입신호 없음,생산↑·고용↑,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,섬유의복,1.5,39.0,,50.0,10.0,9.0,100.0,-11.363636363636363,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,44.0,0.75,-5.0,-11.363636363636365,100.0,117294.0,117014.0,0.23928760661118265,11.363636363636365,0.0,11.602923970247549,0.004262792640714785,0.03324978259757533,280.0,0.04953998584571833,,S2,1.0,S2->S2,,valid,False,False,valid,False,False,False,True,True,True,True,False,False,False,2,2,True,True,False,True,False,300,추가확인,고용감소 11.4%(상위경계 10% 통과) · 산단평균 대비 11.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 39인 < 300인으로 우선점검 제외],False,False,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,1,규모기준 미만,S2,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-5.0,-11.363636363636365,0.03324978259757533,,1,1.0,이전 또는 현재 상태 미확인,True,11.363636363636365,11.602923970247549,0.004262792640714785,0.0,False,추가확인,고용감소 11.4%(상위경계 10% 통과) · 산단평균 대비 11.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 39인 < 300인으로 우선점검 제외],생산↑·고용↓,E|R,반복,2022Q2
2022Q1,2022-03-31,창원,국가,운송장비,26878.613143,15500.0,,90.57298391,244.0,240.0,4.797502469899695,-1.7370356282490174,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,15774.0,25648.142856,-274.0,-1.7370356282490174,4.797502469899695,117294.0,117014.0,0.23928760661118265,1.7370356282490174,0.0,1.9763232348602,0.23360103671117022,13.214657186215833,280.0,0.04953998584571833,,S2,1.0,S2->S2,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,300,관찰,고용 축 진입신호 없음,False,False,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,1,,S2,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-274.0,-1.7370356282490174,13.214657186215833,,1,1.0,이전 또는 현재 상태 미확인,False,1.7370356282490174,1.9763232348602,0.23360103671117022,0.0,True,관찰,고용 축 진입신호 없음,생산↑·고용↓,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,음식료,1158.86,733.0,,95.90321823,9.0,6.0,3.9010176177881606,1.9471488178025127,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,719.0,1115.35,14.0,1.9471488178025131,3.9010176177881384,117294.0,117014.0,0.23928760661118265,0.0,0.0,0.0,0.0,0.6249254011287875,280.0,0.04953998584571833,,S1,1.0,S1->S1,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,300,관찰,고용 축 진입신호 없음,False,False,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,6,,S1,미충원·숙련수요·증가의 지속가능성을 확인한다.,14.0,1.9471488178025131,0.6249254011287875,,6,1.0,이전 또는 현재 상태 미확인,False,0.0,0.0,0.0,0.0,True,관찰,고용 축 진입신호 없음,생산↑·고용↑,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,전기전자,31403.87944,27459.0,,87.793593,567.0,538.0,25.655306065332702,11.377464103188116,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,24654.0,24992.083839,2805.0,11.377464103188117,25.655306065332706,117294.0,117014.0,0.23928760661118265,0.0,0.0,0.0,0.0,23.410404624277454,280.0,0.04953998584571833,,S1,1.0,S1->S1,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,300,관찰,고용 축 진입신호 없음,False,False,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,7,,S1,미충원·숙련수요·증가의 지속가능성을 확인한다.,2805.0,11.377464103188117,23.410404624277454,,7,1.0,이전 또는 현재 상태 미확인,False,0.0,0.0,0.0,0.0,True,관찰,고용 축 진입신호 없음,생산↑·고용↑,없음,확인된 보강 없음,2022Q2
2022Q1,2022-03-31,창원,국가,철강,18189.790001,9525.0,,85.41205661,79.0,75.0,32.270527263022885,1.286686516376001,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값,9404.0,13751.96,121.0,1.286686516376001,32.270527263022885,117294.0,117014.0,0.23928760661118265,0.0,0.0,0.0,0.0,8.120619980561665,280.0,0.04953998584571833,,S1,1.0,S1->S1,,valid,False,False,valid,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,300,관찰,고용 축 진입신호 없음,False,False,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,8,,S1,미충원·숙련수요·증가의 지속가능성을 확인한다.,121.0,1.286686516376001,8.120619980561665,,8,1.0,이전 또는 현재 상태 미확인,False,0.0,0.0,0.0,0.0,True,관찰,고용 축 진입신호 없음,생산↑·고용↑,없음,확인된 보강 없음,2022Q2
