quarter,eis_changwon_manufacturing,eis_manufacturing_yoy_pct,scope_note,eis_input_sha256,run_id,run_started_at,input_sha256,input_sha256_raw_bytes,model_spec_version,parameter_set_id,parameter_status,effective_parameter_status,parameter_file_sha256
2022Q1,110281,,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2022Q2,110525,,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2022Q3,110156,,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2022Q4,110008,,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2023Q1,111749,1.3311449841767908,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2023Q2,111930,1.2712056095905977,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2023Q3,112476,2.1061040705907974,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2023Q4,112818,2.5543596829321613,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2024Q1,113327,1.4120931730932762,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
2024Q2,113950,1.8046993656749777,EIS는 창원시 전체 제조업 고용보험 피보험자 수이며 국가산단 업종×분기 패널과 모집단·공간단위가 다르다. 업종별 점수나 점검단계에 넣지 않고 지역 맥락으로만 제시한다.,5f80071320155b8c0fcae2605dd5c6940a08fb7f842265aafa2549ef0bc6728c,20260916T061849980743Z-d1794cbf,2026-09-16T06:18:49.980743+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,9eab0a418a59d45db45d451cd60b05233a7a4f1c756a49150fbd3e50c78ddd6a,changwon-transition-diagnosis-model/1.0.0,changwon-electre-pilot-v1,SCENARIO_REGISTERED,SCENARIO_REGISTERED,bef58985e0714e5a149bbbbf667ed271296f86fc1b7d056f18d3518723da70f0
