industry,quarter,stage,nominal_production_yoy,ppi_mapping_grade,ppi_mapping_uncertainty,n_ppi_candidates,ppi_candidate_items,ppi_adjusted_production_yoy,ppi_adjusted_low,ppi_adjusted_high,ppi_adjusted_band_only,sign_agreement,eis_manufacturing_yoy,mfg_emp_yoy,aggregate_direction,aggregate_yoy_gap_pp,source_category,insured_level,insured_yoy,industry_direction,industry_yoy_gap_pp,mapping_confidence,cross_source_available,cross_source_population_note,trade_export_usd,trade_export_yoy,trade_import_yoy,trade_n_items,trade_mapping_grade,trade_coverage_flag,trade_data_available,trade_coverage_status,trade_unavailable_reason,trade_scope,power_usage_kwh,power_usage_yoy,power_customers,power_customers_yoy,power_data_available,power_scope,bsi_region_business,bsi_region_production,bsi_region_new_orders,bsi_region_operation,bsi_region_labor,bsi_industry_business,bsi_industry_mapping_grade,bsi_data_available,bsi_region_scope,bsi_industry_scope,mfg_flow_period,mfg_flow_workers,mfg_flow_workers_yoy,mfg_flow_acquisitions,mfg_flow_acquisition_yoy,mfg_flow_losses,mfg_flow_loss_yoy,mfg_flow_net,mfg_flow_job_openings,mfg_flow_data_available,mfg_flow_scope
기계,2022Q1,우선점검,14.944670997758426,A,대분류 직접 대응,1,기계및장비,9.899537124865398,9.899537124865398,9.899537124865398,False,True,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,2741428.0,12.297181825853066,-12.77987320439772,302.0,B,mapped_chapters_only,True,usable,,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,82.34,C,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
기타,2022Q1,관찰,-11.160152281717316,D,대응 항목 없음 — 조정 생산 산출 불가,0,,,,,False,,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,,,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
목재종이,2022Q1,관찰,10.391674306608278,A,대분류 직접 대응,1,목재및종이제품,-4.021573068202599,-4.021573068202599,-4.021573068202599,False,False,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,75.67,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
비금속,2022Q1,관찰,10.909265206346165,A,대분류 직접 대응,1,비금속광물제품,1.157751991112299,1.157751991112299,1.157751991112299,False,True,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,83.33,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
석유화학,2022Q1,관찰,23.22778977954787,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,2,석탄및석유제품|화학제품,,-24.65686601427877,6.57448246453598,True,,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,83.67,B,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
섬유의복,2022Q1,추가확인,100.0,A,대분류 직접 대응,1,섬유및의복,86.29661700247253,86.29661700247253,86.29661700247253,False,True,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,79.83,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
운송장비,2022Q1,관찰,4.797502469899695,A,대분류 직접 대응,1,운송장비,2.896367574358649,2.896367574358649,2.896367574358649,False,True,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,453462.0,-29.78486198898141,4.565458238444031,53.0,A,mapped_chapters_only,True,usable,,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,81.0,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
음식료,2022Q1,관찰,3.9010176177881375,A,대분류 직접 대응,1,음식료품,-1.6384110059726176,-1.6384110059726176,-1.6384110059726176,False,False,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,,,,,,no_data,False,no_mapped_chapter,해당 업종에 귀속 근거가 있는 HS 류가 없다,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,76.34,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
전기전자,2022Q1,관찰,25.655306065332702,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,2,전기장비|컴퓨터전자및광학기기,,16.646000571399888,24.54781074100827,True,,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,481476.0,12.343463804468293,14.772593857818617,233.0,B,mapped_chapters_only,True,usable,,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,95.34,A,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
철강,2022Q1,관찰,32.270527263022885,B,상위 범주가 넓어 범위 과대·과소 가능,1,철강1차제품,-2.7571618303738443,-2.7571618303738443,-2.7571618303738443,False,False,,0.2392876066111826,비교자료 없음,,,,,비교자료 없음,,,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,313028.0,31.37753603115845,65.49838658749778,197.0,A,mapped_chapters_only,True,usable,,창원시 전역 통관 · 연도창을 모두 확보한 HS6 합계(업종 수출 총액 아님),1539588752,0.4465055292391939,5842,0.6720661726693056,True,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,75.0,91.0,86.67,90.67,82.67,98.67,B,True,경상남도 제조업 총계(업종 공통 배경),전국 업종별 심리지수. 창원국가산단 개별 업종의 신호가 아니라 같은 업종의 전국 분위기다.,202201,114014.0,0.9134198367881652,3011.0,-16.011157601115755,2975.0,-8.630221130221127,36.0,592.0,True,창원시 전역 제조업 총계 · 반기 · 표본조사. 업종별 값이 아니며 입직-이직을 KICOX 고용 증감과 같다고 보지 않는다.
