kicox_industry,ksic_mid_codes,mapping_grade,first_observed_month,last_observed_month,available_month_count,complete_quarter_count,missing_rate,suppression_rate,proxy_legal_dong_coverage,proxy_legal_dong_coverage_label,available_2026Q2,quarterly_complete_row_share
음식료,10(A)|11(A),A,2022-04,2026-03,48,0,0.0,0.515230635335074,16,16/18,False,0.4830287206266319
섬유의복,13(A)|14(A)|15(B),B,2022-04,2026-03,48,0,0.0,0.8851203501094091,12,12/18,False,0.11437908496732026
목재종이,16(A)|17(A)|18(C),C,2022-04,2026-03,48,0,0.0,0.502820874471086,13,13/18,False,0.49471458773784355
석유화학,19(A)|20(A)|21(C)|22(B),C,2022-04,2026-03,48,0,0.0,0.4834733893557423,18,18/18,False,0.5142378559463987
비금속,23(A),A,2022-04,2026-03,48,0,0.0,0.5433673469387755,17,17/18,False,0.45038167938931295
철강,24(B),B,2022-04,2026-03,48,0,0.0,0.29411764705882354,17,17/18,False,0.7058823529411765
기계,25(C)|29(A),C,2022-04,2026-03,48,0,0.0,0.03414351851851852,18,18/18,False,0.9652777777777778
전기전자,26(A)|27(B)|28(A),B,2022-04,2026-03,48,0,0.0,0.22922521075873142,18,18/18,False,0.7701564380264742
운송장비,30(A)|31(A),A,2022-04,2026-03,48,0,0.0,0.20105509964830012,18,18/18,False,0.7978910369068541
기타,32(C)|33(C),C,2022-04,2026-03,48,0,0.0,0.5293056807935077,16,16/18,False,0.4582210242587601
