period,expected,status,source_candidates,selected_source,candidate_count,selected_proxy_rows
2022-04,True,DUPLICATE_RESOLVED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx|(제공)2204_산업분류별-법정동별 전력데이터_v1.xlsx,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,2,847
2022-05,True,DUPLICATE_RESOLVED,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx|(제공)2205_산업분류별-법정동별 전력데이터_v1.xlsx,(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,2,846
2022-06,True,AVAILABLE,(제공)2206_산업분류별-법정동별 전력데이터.xlsx,(제공)2206_산업분류별-법정동별 전력데이터.xlsx,1,847
2022-07,True,AVAILABLE,(제공)2207_산업분류별-법정동별 전력데이터.xlsx,(제공)2207_산업분류별-법정동별 전력데이터.xlsx,1,846
2022-08,True,AVAILABLE,(제공)2208_산업분류별-법정동별 전력데이터.xlsx,(제공)2208_산업분류별-법정동별 전력데이터.xlsx,1,848
2022-09,True,AVAILABLE,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,1,851
2022-10,True,AVAILABLE,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,1,852
2022-11,True,AVAILABLE,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,1,853
2022-12,True,AVAILABLE,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,1,855
2023-01,True,AVAILABLE,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,1,854
2023-02,True,AVAILABLE,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,1,854
2023-03,True,AVAILABLE,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,(제공)2301_03_산업분류별-법정동별 전력데이터.xlsx,1,855
