file_name,relative_path,extension,size_bytes,modified_at,sha256,expected_periods_from_name,internal_periods,sheet_names,actual_data_rows,actual_columns,read_success,corruption_status,duplicate_file,in_scope,error
(제공) 2501_03_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공) 2501_03_산업분류별-법정동별 전력데이터.xlsx,.xlsx,32431456,2026-09-19T17:35:45+09:00,919c9b08f4ffe418cea736459fa98d6410fff89262585e3465bc06d824269877,2025-01,2025-01|2025-02|2025-03,Sheet1,553979,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공) 2504_06_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공) 2504_06_산업분류별-법정동별 전력데이터.xlsx,.xlsx,32273470,2026-09-19T17:35:50+09:00,02f393b9383bbcfdce0f506856e493b4b1455bc76b1f93a54b9c7f910110836c,2025-04,2025-04|2025-05|2025-06,Sheet1,554748,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공) 2507_09_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공) 2507_09_산업분류별-법정동별 전력데이터.xlsx,.xlsx,32436865,2026-09-19T17:35:59+09:00,49c0c21816fd7fddc3e704732e3f5d7eb28029092c359a6823d9fa1859c98a7f,2025-07,2025-07|2025-08|2025-09,Sheet1,555493,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공) 2510_12_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공) 2510_12_산업분류별-법정동별 전력데이터.xlsx,.xlsx,32504481,2026-09-19T17:36:02+09:00,aa5bc70260ae774435eda5f685a0cacfd37328b3e3c971ac9d3b182957a31cb7,2025-10,2025-10|2025-11|2025-12,Sheet1,556145,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공) 2601_03 산업분류-법정동별 전력데이터.xlsx,data\raw\kepco\(제공) 2601_03 산업분류-법정동별 전력데이터.xlsx,.xlsx,32561032,2026-09-19T17:29:28+09:00,09e6b6a5362a19b1b8226da62044593788b2f0e7f98e4e27ca134f239549ed3c,2026-01,2026-01|2026-02|2026-03,Sheet1,559001,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,True,True,
(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공)2022_12345월_산업분류별-법정동별 전력데이터.xlsx,.xlsx,46988208,2026-09-19T17:46:29+09:00,6f74bce5ba9b770a679e9c649f33e27f0f80ff2e99b10bfefc444bfd183c4491,,2022-01|2022-02|2022-03|2022-04|2022-05,01|02|03|04|05,807741,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류명(대)"", ""산업분류코드(대)"", ""산업분류명(중)"", ""산업분류코드(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2204_산업분류별-법정동별 전력데이터_v1.xlsx,data\raw\kepco\(제공)2204_산업분류별-법정동별 전력데이터_v1.xlsx,.xlsx,10772004,2026-09-19T17:43:39+09:00,67bc8be8cbd10d3c2601edfd5c85a43b5ffadd399d930cb06a1547ef16b7f62a,2022-04,2022-04,(제공)2204_산업분류별-법정동별 전력데이터_v1,179854,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동) 리단위X"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2205_산업분류별-법정동별 전력데이터_v1.xlsx,data\raw\kepco\(제공)2205_산업분류별-법정동별 전력데이터_v1.xlsx,.xlsx,5248676,2026-09-19T17:41:58+09:00,29e6d5b7c86e63e87b4b960d0db920b0f59a02216606792b21dc087789119e7b,2022-05,2022-05,(제공)2205_산업분류별-법정동별 전력데이터_v1,88203,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동) 리단위X"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2206_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공)2206_산업분류별-법정동별 전력데이터.xlsx,.xlsx,11125285,2026-09-19T17:42:17+09:00,53cff9fee758df1afdba319068abccc6a51b80f405d1fbe8df490812d70eb2b2,2022-06,2022-06,Sheet1,179964,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동) 리단위X"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2207_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공)2207_산업분류별-법정동별 전력데이터.xlsx,.xlsx,7709485,2026-09-19T17:41:49+09:00,8eeb68a239b20db1fe76536e48497b127fae44642ab72cfa00e2e131d4a664c3,2022-07,2022-07,Sheet1,133505,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동) 리단위X"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2208_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공)2208_산업분류별-법정동별 전력데이터.xlsx,.xlsx,7700861,2026-09-19T17:41:39+09:00,0cfce65e8b7cbc7e68826035f5588f4ce848e0913e5280508f3837a62f21ee84,2022-08,2022-08,Sheet1,133593,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동) 리단위X"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,data\raw\kepco\(제공)2209_12_산업분류별-법정동별 전력데이터.xlsx,.xlsx,40509854,2026-09-19T17:47:28+09:00,7d505f733f1fa0f1c199b60f78371f361129c10a53f21a5a7e13dceaadb5b46b,2022-09,2022-09|2022-10|2022-11|2022-12,Sheet1,696822,"[""년도"", ""월"", ""시도"", ""시군구"", ""읍면동(법정동)"", ""산업분류코드(대)"", ""산업분류명(대)"", ""산업분류코드(중)"", ""산업분류명(중)"", ""고객호수"", ""판매량"", ""판매요금""]",True,OK,False,True,
