ksic_mid_code,ksic_mid_name,rows,suppressed_rows,missing_rows,suppression_rate,missing_rate
01,농업,755,260,0,0.3443708609271523,0.0
02,임업,153,153,0,1.0,0.0
03,어업,358,190,0,0.5307262569832403,0.0
06,금속 광업,149,149,0,1.0,0.0
07,비금속광물 광업;연료용 제외,240,240,0,1.0,0.0
08,광업 지원 서비스업,48,48,0,1.0,0.0
10,식료품 제조업,768,259,0,0.3372395833333333,0.0
11,음료 제조업,381,333,0,0.8740157480314961,0.0
13,섬유제품 제조업; 의복제외,433,328,0,0.7575057736720554,0.0
14,의복/ 의복액세서리 및 모피제품 제조업,277,277,0,1.0,0.0
15,가죽/ 가방 및 신발 제조업,204,204,0,1.0,0.0
16,목재 및 나무제품 제조업;가구제외,458,122,0,0.2663755458515284,0.0
17,펄프/ 종이 및 종이제품 제조업,528,303,0,0.5738636363636364,0.0
18,인쇄 및 기록매체 복제업,432,288,0,0.6666666666666666,0.0
19,코크스/ 연탄 및 석유정제품 제조업,233,233,0,1.0,0.0
20,화학물질 및 화학제품 제조업;의약품 제외,769,327,0,0.42522756827048114,0.0
21,의료용 물질 및 의약품 제조업,56,56,0,1.0,0.0
22,고무제품 및 플라스틱제품 제조업,727,247,0,0.33975240715268223,0.0
23,비금속 광물제품 제조업,784,426,0,0.5433673469387755,0.0
24,1차 금속 제조업,816,240,0,0.29411764705882354,0.0
25,금속가공제품 제조업;기계 및 가구 제외,864,59,0,0.06828703703703703,0.0
26,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,864,63,0,0.07291666666666667,0.0
27,의료/ 정밀/ 광학기기 및 시계 제조업,768,288,0,0.375,0.0
28,전기장비 제조업,859,220,0,0.2561117578579744,0.0
29,기타 기계 및 장비 제조업,864,0,0,0.0,0.0
30,자동차 및 트레일러 제조업,864,96,0,0.1111111111111111,0.0
31,기타 운송장비 제조업,842,247,0,0.29334916864608074,0.0
32,가구 제조업,467,227,0,0.4860813704496788,0.0
33,기타 제품 제조업,642,360,0,0.5607476635514018,0.0
34,산업용 기계 및 장비 수리업,522,237,0,0.4540229885057471,0.0
35,전기/ 가스/ 증기 및 공기조절 공급업,864,0,0,0.0,0.0
36,수도업,768,149,0,0.19401041666666666,0.0
37,하수/ 폐수 및 분뇨 처리업,768,384,0,0.5,0.0
38,폐기물 수집운반/ 처리 및 원료재생업,576,374,0,0.6493055555555556,0.0
39,환경 정화 및 복원업,329,329,0,1.0,0.0
41,종합 건설업,779,97,0,0.1245186136071887,0.0
42,전문직별 공사업,771,411,0,0.5330739299610895,0.0
45,자동차 및 부품 판매업,644,431,0,0.6692546583850931,0.0
46,도매 및 상품중개업,816,242,0,0.2965686274509804,0.0
47,소매업; 자동차 제외,864,91,0,0.10532407407407407,0.0
49,육상운송 및 파이프라인 운송업,667,475,0,0.712143928035982,0.0
50,수상 운송업,144,144,0,1.0,0.0
52,창고 및 운송관련 서비스업,828,159,0,0.19202898550724637,0.0
55,숙박업,523,187,0,0.3575525812619503,0.0
56,음식점 및 주점업,816,48,0,0.058823529411764705,0.0
58,출판업,281,281,0,1.0,0.0
59,영상·오디오 기록물 제작 및 배급업,288,288,0,1.0,0.0
60,방송업,768,336,0,0.4375,0.0
61,우편 및 통신업,864,0,0,0.0,0.0
62,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,40,40,0,1.0,0.0
63,정보서비스업,192,192,0,1.0,0.0
64,금융업,768,509,0,0.6627604166666666,0.0
65,보험 및 연금업,96,48,0,0.5,0.0
66,금융 및 보험 관련 서비스업,236,236,0,1.0,0.0
68,부동산업,864,48,0,0.05555555555555555,0.0
70,연구개발업,298,250,0,0.8389261744966443,0.0
71,전문서비스업,683,466,0,0.6822840409956076,0.0
72,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,767,611,0,0.7966101694915254,0.0
73,기타 전문/ 과학 및 기술 서비스업,427,334,0,0.7822014051522248,0.0
74,사업시설 관리 및 조경 서비스업,533,464,0,0.8705440900562852,0.0
75,사업지원 서비스업,768,256,0,0.3333333333333333,0.0
76,임대업; 부동산 제외,511,441,0,0.863013698630137,0.0
84,공공행정/ 국방 및 사회보장 행정,864,17,0,0.019675925925925927,0.0
85,교육 서비스업,765,194,0,0.25359477124183005,0.0
86,보건업,672,288,0,0.42857142857142855,0.0
87,사회복지 서비스업,742,262,0,0.353099730458221,0.0
90,창작/ 예술 및 여가관련 서비스업,624,353,0,0.5657051282051282,0.0
91,스포츠 및 오락관련 서비스업,723,275,0,0.38035961272475793,0.0
94,협회 및 단체,721,193,0,0.26768377253814146,0.0
95,개인 및 소비용품 수리업,840,283,0,0.33690476190476193,0.0
96,기타 개인 서비스업,843,85,0,0.10083036773428232,0.0
98,달리 분류되지 않은 자가소비를 위한 가구의 재화 및 서비스 생산활동,48,48,0,1.0,0.0
