district,legal_dong,rows,suppressed_rows,missing_rows,suppression_rate,missing_rate
마산합포구,진동면,2580,1014,0,0.3930232558139535,0.0
마산합포구,진북면,2439,795,0,0.32595325953259535,0.0
마산합포구,진전면,2226,983,0,0.4415992812219227,0.0
마산회원구,내서읍,2966,699,0,0.2356709372892785,0.0
마산회원구,봉암동,2585,1067,0,0.4127659574468085,0.0
마산회원구,양덕동,2795,938,0,0.33559928443649373,0.0
성산구,남산동,1693,1035,0,0.6113408151210868,0.0
성산구,내동,1813,1099,0,0.6061776061776062,0.0
성산구,대원동,2056,1102,0,0.5359922178988327,0.0
성산구,성산동,1130,651,0,0.5761061946902655,0.0
성산구,성주동,2075,928,0,0.4472289156626506,0.0
성산구,신촌동,2357,1184,0,0.5023334747560458,0.0
성산구,웅남동,1507,822,0,0.5454545454545454,0.0
의창구,대산면,2676,885,0,0.3307174887892377,0.0
의창구,동읍,2878,1053,0,0.36587908269631686,0.0
의창구,북면,2775,732,0,0.2637837837837838,0.0
의창구,팔용동,2888,611,0,0.2115650969529086,0.0
진해구,남양동,2069,1201,0,0.5804736587723538,0.0
