period,rows,suppressed_rows,missing_rows,suppression_rate,missing_rate
2022-04,847,354,0,0.4179456906729634,0.0
2022-05,846,352,0,0.4160756501182033,0.0
2022-06,847,352,0,0.4155844155844156,0.0
2022-07,846,350,0,0.41371158392434987,0.0
2022-08,848,348,0,0.41037735849056606,0.0
2022-09,851,344,0,0.40423031727379555,0.0
2022-10,852,347,0,0.4072769953051643,0.0
2022-11,853,349,0,0.4091441969519343,0.0
2022-12,855,350,0,0.4093567251461988,0.0
2023-01,854,350,0,0.4098360655737705,0.0
2023-02,854,351,0,0.41100702576112413,0.0
2023-03,855,353,0,0.4128654970760234,0.0
2023-04,855,350,0,0.4093567251461988,0.0
2023-05,857,350,0,0.40840140023337224,0.0
2023-06,858,348,0,0.40559440559440557,0.0
2023-07,859,347,0,0.4039580908032596,0.0
2023-08,861,346,0,0.40185830429732866,0.0
2023-09,860,344,0,0.4,0.0
2023-10,862,347,0,0.4025522041763341,0.0
2023-11,862,347,0,0.4025522041763341,0.0
2023-12,866,351,0,0.4053117782909931,0.0
2024-01,869,354,0,0.40736478711162255,0.0
2024-02,868,351,0,0.4043778801843318,0.0
2024-03,869,353,0,0.4062140391254315,0.0
2024-04,869,351,0,0.4039125431530495,0.0
2024-05,869,352,0,0.4050632911392405,0.0
2024-06,870,349,0,0.4011494252873563,0.0
2024-07,874,351,0,0.40160183066361554,0.0
2024-08,874,352,0,0.40274599542334094,0.0
2024-09,872,350,0,0.4013761467889908,0.0
2024-10,871,351,0,0.40298507462686567,0.0
2024-11,871,351,0,0.40298507462686567,0.0
2024-12,871,351,0,0.40298507462686567,0.0
2025-01,872,352,0,0.4036697247706422,0.0
2025-02,874,355,0,0.4061784897025172,0.0
2025-03,873,354,0,0.4054982817869416,0.0
2025-04,874,354,0,0.40503432494279173,0.0
2025-05,875,355,0,0.4057142857142857,0.0
2025-06,876,355,0,0.4052511415525114,0.0
2025-07,876,350,0,0.3995433789954338,0.0
2025-08,875,349,0,0.39885714285714285,0.0
2025-09,875,349,0,0.39885714285714285,0.0
2025-10,875,348,0,0.3977142857142857,0.0
2025-11,875,347,0,0.3965714285714286,0.0
2025-12,874,346,0,0.39588100686498856,0.0
2026-01,872,345,0,0.3956422018348624,0.0
2026-02,873,346,0,0.3963344788087056,0.0
2026-03,874,348,0,0.39816933638443935,0.0
