industry,quarter,track,stage,employment_level,firms_op_level,firms_op_change_count,firms_op_yoy,firms_op_change_display,small_industry_flag,small_base_warning,signal_profile,representative_signal,small_track_note
기타,2022Q1,소규모 집계 트랙,관찰,195.0,24.0,-3.0,-11.111111111111116,"27개 → 24개 (-3개, -11.1%)",True,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2022Q1,소규모 집계 트랙,관찰,267.0,40.0,5.0,14.28571428571428,"35개 → 40개 (+5개, +14.3%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2022Q1,소규모 집계 트랙,관찰,263.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2022Q1,소규모 집계 트랙,추가확인,39.0,9.0,-1.0,-9.999999999999998,"10개 → 9개 (-1개, -10.0%)",True,True,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2022Q1,메인 트랙,관찰,733.0,6.0,2.0,50.0,"4개 → 6개 (+2개, +50.0%)",False,True,해석 보류,해석 보류,
기타,2022Q2,소규모 집계 트랙,관찰,194.0,24.0,-3.0,-11.111111111111116,"27개 → 24개 (-3개, -11.1%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2022Q2,소규모 집계 트랙,관찰,267.0,40.0,4.0,11.111111111111116,"36개 → 40개 (+4개, +11.1%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2022Q2,소규모 집계 트랙,관찰,259.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2022Q2,소규모 집계 트랙,추가확인,39.0,8.0,-3.0,-27.27272727272727,"11개 → 8개 (-3개, -27.3%)",True,True,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2022Q2,메인 트랙,관찰,797.0,6.0,1.0,19.999999999999996,"5개 → 6개 (+1개, +20.0%)",False,True,해석 보류,해석 보류,
기타,2022Q3,소규모 집계 트랙,관찰,194.0,23.0,-3.0,-11.538461538461542,"26개 → 23개 (-3개, -11.5%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2022Q3,소규모 집계 트랙,관찰,267.0,39.0,0.0,0.0,"39개 → 39개 (+0개, +0.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2022Q3,소규모 집계 트랙,관찰,257.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2022Q3,소규모 집계 트랙,추가확인,39.0,8.0,-3.0,-27.27272727272727,"11개 → 8개 (-3개, -27.3%)",True,True,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
