industry,quarter,nominal_production_yoy,ppi_adjusted_production_yoy,ppi_mapping_grade,sign_agreement,pct5_threshold_agreement
목재종이,2022Q1,10.391674306608278,-4.021573068202599,A,False,True
음식료,2022Q1,3.9010176177881375,-1.6384110059726176,A,False,True
철강,2022Q1,32.270527263022885,-2.7571618303738443,B,False,True
비금속,2022Q2,5.278299896428695,-6.4139341942358925,A,False,False
음식료,2022Q2,4.56620557350389,-3.2541825940956004,A,False,True
철강,2022Q2,26.842212567625488,-2.591596922684236,B,False,True
철강,2022Q3,9.160978567067946,-1.203892930789252,B,False,True
비금속,2022Q4,14.37809958341596,-0.48833859474448627,A,False,True
기계,2023Q1,-3.5522026508665205,-6.89571800478066,A,True,False
기계,2023Q2,0.3889388995355292,-2.3017272208186057,A,False,True
철강,2023Q3,-9.898771069811884,-3.9938483909773725,B,True,False
비금속,2024Q1,-4.813588221792308,-7.68672624521598,A,True,False
운송장비,2024Q1,1.4690769019191308,-0.6002996164440111,A,False,True
철강,2024Q1,-8.790854410582504,-1.978030525540031,B,True,False
음식료,2026Q2,0.8734323986208103,-0.7793172719912755,A,False,True
