,현재국면,조정기준국면(PPI),생산YoY%,고용YoY%,고용(명),고용증감(명),고용비중%,기여율%,현재지속(Q),최장지속(Q),최장국면,최장지속_경계절단,가동률%,가동률YoY(%p),입주업체,입주YoY%,가동업체,가동YoY%,최근경로(6Q)
기계 ★,S4,S4,-19.547350877543444,-6.339722447939078,58784.0,-3979.0,51.19219716102064,91.85133887349953,2.0,3.0,S2,시작,80.61136243111459,-4.888800128885421,1556.0,1.3680781758957703,1458.0,0.3441156228492836,S1→S1→S3→S1→S4→S4
전기전자 ★,S2,S4,2.697876409158262,-0.4128848549563968,27979.0,-116.0,24.365583906644606,2.677746999076639,1.0,3.0,S1,시작,76.6519761263072,-0.3776884336927963,651.0,1.8779342723004744,590.0,3.327495621716281,S2→S4→S4→S2→S4→S2
운송장비 ★,S2,S2,19.64333200865325,-0.7848147472166445,16308.0,-129.0,14.201863624488373,2.9778393351800556,2.0,4.0,S1,끝,92.2763222787122,0.9681655487122072,254.0,0.7936507936507908,245.0,0.4098360655737654,S2→S4→S2→S4→S2→S2
철강 ★,S2,S2,32.648709569813406,-1.1427405366799317,9689.0,-112.0,8.437690498998519,2.585410895660203,4.0,4.0,S2,끝,63.682159659013,0.2431525190130017,80.0,1.265822784810133,74.0,-1.3333333333333308,S3→S1→S2→S2→S2→S2
음식료,S2,S4,0.8734323986208103,-3.787878787878785,635.0,-25.0,0.5529913785596099,0.577100646352724,2.0,7.0,S1,시작·끝,92.30430958663148,-1.427904513368517,7.0,0.0,4.0,0.0,S4→S4→S4→S4→S2→S2
석유화학,S3,S3,-6.729849384858399,9.557522123893802,619.0,54.0,0.539057737525037,-1.2465373961218837,1.0,7.0,S1,시작·끝,76.3073114795872,-3.3203170004128,49.0,8.888888888888879,45.0,9.756097560975618,S4→S4→S3→S3→S4→S3
목재종이,S4,S4,-12.897127553431709,-10.084033613445376,428.0,-48.0,0.37272489767482364,1.10803324099723,2.0,4.0,S1,시작,74.70612079448723,6.00842959448724,48.0,-4.000000000000004,44.0,-2.222222222222225,S1→S1→S1→S1→S4→S4
비금속,S2,S2,45.67070435172722,-1.0810810810810811,183.0,-2.0,0.15936601933292693,0.04616805170821791,3.0,6.0,S2,시작,57.29662961002294,14.11401889002294,4.0,-20.0,4.0,-20.0,S4→S4→S4→S2→S2→S2
기타,S1,비교 불가,3.033256182238997,17.12328767123288,171.0,25.0,0.1489157885569973,-0.577100646352724,2.0,7.0,S4,시작·끝,69.14084852448296,1.6104108844829597,35.0,-5.405405405405405,25.0,-7.4074074074074066,S2→S2→S2→S2→S1→S1
섬유의복,N,N,-12.319670818395734,0.0,34.0,0.0,0.029608987198467298,-0.0,,3.0,S1,없음,64.01939354687823,-8.995151613121763,10.0,11.111111111111116,8.0,14.28571428571428,S4→S4→S4→N→N→N
