quarter,C1,ppi_yoy,industry,ppi_item
2021Q1,13102134604ACC_CD.301AA,,음식료,음식료품
2021Q2,13102134604ACC_CD.301AA,,음식료,음식료품
2021Q3,13102134604ACC_CD.301AA,,음식료,음식료품
2021Q4,13102134604ACC_CD.301AA,,음식료,음식료품
2022Q1,13102134604ACC_CD.301AA,5.631698603442681,음식료,음식료품
2022Q2,13102134604ACC_CD.301AA,8.08343779127696,음식료,음식료품
2022Q3,13102134604ACC_CD.301AA,10.1247388083328,음식료,음식료품
2022Q4,13102134604ACC_CD.301AA,11.582391995217268,음식료,음식료품
2023Q1,13102134604ACC_CD.301AA,10.21092116590825,음식료,음식료품
2023Q2,13102134604ACC_CD.301AA,7.217199952420628,음식료,음식료품
2023Q3,13102134604ACC_CD.301AA,4.274954001839926,음식료,음식료품
2023Q4,13102134604ACC_CD.301AA,2.436410805933109,음식료,음식료품
2024Q1,13102134604ACC_CD.301AA,1.3363091086622925,음식료,음식료품
2024Q2,13102134604ACC_CD.301AA,1.0539453612536498,음식료,음식료품
2024Q3,13102134604ACC_CD.301AA,0.8436491963276227,음식료,음식료품
2024Q4,13102134604ACC_CD.301AA,1.084622584374828,음식료,음식료품
2025Q1,13102134604ACC_CD.301AA,1.816980508754562,음식료,음식료품
2025Q2,13102134604ACC_CD.301AA,2.6512968299711837,음식료,음식료품
2025Q3,13102134604ACC_CD.301AA,3.0155562238565192,음식료,음식료품
2025Q4,13102134604ACC_CD.301AA,2.6742919389978193,음식료,음식료품
2026Q1,13102134604ACC_CD.301AA,1.862967769846402,음식료,음식료품
2026Q2,13102134604ACC_CD.301AA,1.6657308628111656,음식료,음식료품
2021Q1,13102134604ACC_CD.3021AA,,섬유의복,섬유및의복
2021Q2,13102134604ACC_CD.3021AA,,섬유의복,섬유및의복
2021Q3,13102134604ACC_CD.3021AA,,섬유의복,섬유및의복
2021Q4,13102134604ACC_CD.3021AA,,섬유의복,섬유및의복
2022Q1,13102134604ACC_CD.3021AA,7.355679702048401,섬유의복,섬유및의복
2022Q2,13102134604ACC_CD.3021AA,8.482523444160272,섬유의복,섬유및의복
2022Q3,13102134604ACC_CD.3021AA,8.431664937759331,섬유의복,섬유및의복
2022Q4,13102134604ACC_CD.3021AA,7.9805954532483625,섬유의복,섬유및의복
2023Q1,13102134604ACC_CD.3021AA,6.582207904844517,섬유의복,섬유및의복
2023Q2,13102134604ACC_CD.3021AA,5.080852350007525,섬유의복,섬유및의복
2023Q3,13102134604ACC_CD.3021AA,3.9134204311040754,섬유의복,섬유및의복
2023Q4,13102134604ACC_CD.3021AA,2.513507164669959,섬유의복,섬유및의복
2024Q1,13102134604ACC_CD.3021AA,1.5257636083582549,섬유의복,섬유및의복
2024Q2,13102134604ACC_CD.3021AA,0.6500604038428337,섬유의복,섬유및의복
2024Q3,13102134604ACC_CD.3021AA,0.27907244375395823,섬유의복,섬유및의복
2024Q4,13102134604ACC_CD.3021AA,0.03150779101741552,섬유의복,섬유및의복
2025Q1,13102134604ACC_CD.3021AA,-0.300566783076639,섬유의복,섬유및의복
2025Q2,13102134604ACC_CD.3021AA,-0.4801097393690057,섬유의복,섬유및의복
2025Q3,13102134604ACC_CD.3021AA,-0.04877349017358146,섬유의복,섬유및의복
2025Q4,13102134604ACC_CD.3021AA,0.0687226183317513,섬유의복,섬유및의복
2026Q1,13102134604ACC_CD.3021AA,1.0910448189726862,섬유의복,섬유및의복
2026Q2,13102134604ACC_CD.3021AA,3.359751895244667,섬유의복,섬유및의복
2021Q1,13102134604ACC_CD.303AA,,목재종이,목재및종이제품
2021Q2,13102134604ACC_CD.303AA,,목재종이,목재및종이제품
2021Q3,13102134604ACC_CD.303AA,,목재종이,목재및종이제품
2021Q4,13102134604ACC_CD.303AA,,목재종이,목재및종이제품
2022Q1,13102134604ACC_CD.303AA,15.017174408526213,목재종이,목재및종이제품
2022Q2,13102134604ACC_CD.303AA,9.565868263473053,목재종이,목재및종이제품
2022Q3,13102134604ACC_CD.303AA,7.811724882546911,목재종이,목재및종이제품
2022Q4,13102134604ACC_CD.303AA,6.684453624809938,목재종이,목재및종이제품
2023Q1,13102134604ACC_CD.303AA,3.290630494850566,목재종이,목재및종이제품
2023Q2,13102134604ACC_CD.303AA,0.37163546932641456,목재종이,목재및종이제품
2023Q3,13102134604ACC_CD.303AA,-1.4155794943972344,목재종이,목재및종이제품
2023Q4,13102134604ACC_CD.303AA,-2.914997176432632,목재종이,목재및종이제품
2024Q1,13102134604ACC_CD.303AA,-2.013078253350642,목재종이,목재및종이제품
2024Q2,13102134604ACC_CD.303AA,-0.999156026244874,목재종이,목재및종이제품
2024Q3,13102134604ACC_CD.303AA,1.1503720176811338,목재종이,목재및종이제품
2024Q4,13102134604ACC_CD.303AA,3.25734703487246,목재종이,목재및종이제품
