quarter,industry,production_yoy,employment_yoy,state,adjusted_lo,adjusted_hi,ppi_lo,ppi_hi,n_candidates,ppi_items,all_same,all_opposite,status,adjusted_state,different
2022Q1,기계,14.944670997758426,-3.6718354575990375,S2,9.899536684804167,9.899536684804167,4.590678418803429,4.590678418803429,1,기계및장비,True,False,모든 후보에서 유지,S2,False
2022Q1,목재종이,10.391674306608278,2.298850574712641,S1,-4.021573409105628,-4.021573409105628,15.017174408526213,15.017174408526213,1,목재및종이제품,False,True,모든 후보에서 반전,S3,True
2022Q1,비금속,10.909265206346165,-3.663003663003661,S2,1.1577515305561503,1.1577515305561503,9.639907499174116,9.639907499174116,1,비금속광물제품,True,False,모든 후보에서 유지,S2,False
2022Q1,석유화학,23.22778977954787,4.098360655737698,S1,-24.6568661013283,6.574482867870413,15.625979562409897,63.55543418896779,2,석탄및석유제품; 화학제품,False,False,후보별 방향 다름,후보별 상이,True
2022Q1,섬유의복,100.0,-11.363636363636363,S2,86.29661751951434,86.29661751951434,7.355679702048401,7.355679702048401,1,섬유및의복,True,False,모든 후보에서 유지,S2,False
2022Q1,운송장비,4.797502469899695,-1.7370356282490174,S2,2.896367635275565,2.896367635275565,1.8476209397039645,1.8476209397039645,1,운송장비,True,False,모든 후보에서 유지,S2,False
2022Q1,음식료,3.9010176177881375,1.9471488178025127,S1,-1.6384106367083762,-1.6384106367083762,5.631698603442681,5.631698603442681,1,음식료품,False,True,모든 후보에서 반전,S3,True
2022Q1,전기전자,25.655306065332702,11.377464103188116,S1,16.646000350587652,24.547810356268673,0.8892133116560119,7.723630203922083,2,전기장비; 컴퓨터전자및광학기기,True,False,모든 후보에서 유지,S1,False
2022Q1,철강,32.270527263022885,1.286686516376001,S1,-2.7571620634022187,-2.7571620634022187,36.02084232595424,36.02084232595424,1,철강1차제품,False,True,모든 후보에서 반전,S3,True
2022Q2,기계,7.70877717312255,-3.9009393152885874,S2,1.9932712408856412,1.9932712408856412,5.603806861668503,5.603806861668503,1,기계및장비,True,False,모든 후보에서 유지,S2,False
2022Q2,목재종이,14.229695034439294,1.1363636363636465,S1,4.256642004379629,4.256642004379629,9.565868263473053,9.565868263473053,1,목재및종이제품,True,False,모든 후보에서 유지,S1,False
2022Q2,비금속,5.278299896428695,-2.9962546816479363,S2,-6.413934474399707,-6.413934474399707,12.493563336766211,12.493563336766211,1,비금속광물제품,False,True,모든 후보에서 반전,S4,True
2022Q2,석유화학,33.09172156190328,2.9940119760478945,S1,-26.8695638636136,15.413781078138022,15.317010082008187,81.99224371326133,2,석탄및석유제품; 화학제품,False,False,후보별 방향 다름,후보별 상이,True
2022Q2,섬유의복,220.00000000000009,-11.363636363636363,S2,194.97838899803548,194.97838899803548,8.482523444160272,8.482523444160272,1,섬유및의복,True,False,모든 후보에서 유지,S2,False
2022Q2,운송장비,6.588441837118797,-2.570006222775356,S2,4.69599193830974,4.69599193830974,1.8075667117458893,1.8075667117458893,1,운송장비,True,False,모든 후보에서 유지,S2,False
2022Q2,음식료,4.56620557350389,1.0139416983523386,S1,-3.25418240726697,-3.25418240726697,8.08343779127696,8.08343779127696,1,음식료품,False,True,모든 후보에서 반전,S3,True
2022Q2,전기전자,19.06658814361053,11.227757285882213,S1,11.738107552071764,22.390421967210195,-2.715763023098461,6.558622436059758,2,전기장비; 컴퓨터전자및광학기기,True,False,모든 후보에서 유지,S1,False
2022Q2,철강,26.842212567625488,0.9374667092787892,S1,-2.5915966630294274,-2.5915966630294274,30.216909652889832,30.216909652889832,1,철강1차제품,False,True,모든 후보에서 반전,S3,True
2022Q3,기계,9.803121847841489,-3.7933616171699542,S2,3.6834614576615854,3.6834614576615854,5.902253169546068,5.902253169546068,1,기계및장비,True,False,모든 후보에서 유지,S2,False
2022Q3,목재종이,8.598726106527387,2.298850574712641,S1,0.7299773979480007,0.7299773979480007,7.811724882546911,7.811724882546911,1,목재및종이제품,True,False,모든 후보에서 유지,S1,False
2022Q3,비금속,33.69884553316507,-3.745318352059923,S2,15.748520542176792,15.748520542176792,15.508038380885814,15.508038380885814,1,비금속광물제품,True,False,모든 후보에서 유지,S2,False
2022Q3,석유화학,21.39101631360414,2.357563850687616,S1,-21.74483920124223,9.201492660929645,11.16241486782872,55.12205850010994,2,석탄및석유제품; 화학제품,False,False,후보별 방향 다름,후보별 상이,True
2022Q3,섬유의복,296.00000000000006,-11.363636363636363,S2,265.2069718078269,265.2069718078269,8.431664937759331,8.431664937759331,1,섬유및의복,True,False,모든 후보에서 유지,S2,False
2022Q3,운송장비,9.322909729250297,-0.7556994983171417,S2,6.776601340946309,6.776601340946309,2.384706346078036,2.384706346078036,1,운송장비,True,False,모든 후보에서 유지,S2,False
2022Q3,음식료,13.86510743606637,5.769230769230771,S1,3.396483540581663,3.396483540581663,10.1247388083328,10.1247388083328,1,음식료품,True,False,모든 후보에서 유지,S1,False
