industry,C1,ppi_item,series_level_digits,n_months,missing_months,unit
기계,13102134604ACC_CD.311AA,기계및장비,3.0,66,0,2020＝100
운송장비,13102134604ACC_CD.312AA,운송장비,3.0,66,0,2020＝100
비금속,13102134604ACC_CD.306AA,비금속광물제품,3.0,66,0,2020＝100
음식료,13102134604ACC_CD.301AA,음식료품,3.0,66,0,2020＝100
목재종이,13102134604ACC_CD.303AA,목재및종이제품,3.0,66,0,2020＝100
섬유의복,13102134604ACC_CD.3021AA,섬유및의복,4.0,66,0,2020＝100
철강,13102134604ACC_CD.3071AA,철강1차제품,4.0,66,0,2020＝100
석유화학,13102134604ACC_CD.304AA,석탄및석유제품,3.0,66,0,2020＝100
석유화학,13102134604ACC_CD.305AA,화학제품,3.0,66,0,2020＝100
전기전자,13102134604ACC_CD.309AA,컴퓨터전자및광학기기,3.0,66,0,2020＝100
전기전자,13102134604ACC_CD.310AA,전기장비,3.0,66,0,2020＝100
