industry,고용비중%,2026Q2_증감인원,2026Q2_증감률%,2026Q2_국면,최근4분기_YoY증감합,최근4분기_YoY증감절대합,최근4분기_기간순증감,상세표시대상
기계,51.19219716102064,-3979.0,-6.339722447939078,S4,238.0,10478.0,-3979.0,True
전기전자,24.365583906644606,-116.0,-0.4128848549563968,S2,-3009.0,3009.0,-116.0,True
운송장비,14.201863624488373,-129.0,-0.7848147472166445,S2,-1717.0,1717.0,-129.0,True
철강,8.437690498998519,-112.0,-1.1427405366799317,S2,-309.0,309.0,-112.0,True
음식료,0.5529913785596099,-25.0,-3.787878787878785,S2,-772.0,772.0,-25.0,False
석유화학,0.539057737525037,54.0,9.557522123893802,S3,95.0,105.0,54.0,False
목재종이,0.37272489767482364,-48.0,-10.084033613445376,S4,418.0,616.0,-48.0,False
비금속,0.15936601933292693,-2.0,-1.0810810810810811,S2,-128.0,128.0,-2.0,False
기타,0.1489157885569973,25.0,17.12328767123288,S1,-34.0,128.0,25.0,False
섬유의복,0.029608987198467298,0.0,0.0,N,-4.0,4.0,0.0,False
