분기,업종,패널고용,CCI고용,고용차,패널고용YoY,CCI고용YoY,패널lag4,CCI역산lag4,패널생산YoY,CCI생산YoY,고용부호일치,생산부호일치
2025Q2,기계,62763.0,62763.0,0.0,7.688480148244747,10.76,58282.0,56666.0,21.41755812200161,21.4,True,True
2025Q2,운송장비,16437.0,16437.0,0.0,-2.18982445700684,-3.63,16805.0,17056.0,-1.1127267990946987,1.5,True,False
2025Q2,철강,9801.0,9801.0,0.0,3.0707750552108504,-2.81,9509.0,10084.0,1.369630686482437,-11.3,False,False
2025Q2,음식료,660.0,660.0,0.0,-30.45310853530031,-27.39,949.0,909.0,-18.541992891407546,-13.9,True,True
2025Q2,기타,146.0,5331.0,5185.0,-15.606936416184968,18.57,173.0,4496.0,2.4066200243261004,22.1,False,True
2025Q3,기계,60445.0,60445.0,0.0,3.3654257229338125,3.38,58477.0,58469.0,-0.0965560400941645,-12.9,True,True
2025Q3,운송장비,16275.0,16275.0,0.0,-3.044203502919096,-3.04,16786.0,16785.0,4.627688865697821,8.8,True,True
2025Q3,철강,9690.0,9690.0,0.0,-0.5439802935440774,-0.54,9743.0,9743.0,11.980076752368252,12.0,True,True
2025Q3,음식료,654.0,654.0,0.0,-28.368017524644028,-28.37,913.0,913.0,-17.463678355900235,-17.5,True,True
2025Q3,기타,145.0,5347.0,5202.0,-16.184971098265898,20.35,173.0,4443.0,3.119785927908092,11.6,False,True
2025Q4,기계,59349.0,59349.0,0.0,6.0580067549455885,6.1,55959.0,55937.0,3.707439849329264,-0.2,True,False
2025Q4,운송장비,16293.0,16293.0,0.0,-5.295280167402927,-5.3,17204.0,17205.0,-13.761383046661424,-7.1,True,True
2025Q4,철강,9671.0,9671.0,0.0,-0.6778268460511438,-14.6,9737.0,11324.0,4.7096403773498,-14.3,True,False
2025Q4,음식료,653.0,653.0,0.0,-32.6109391124871,-32.6,969.0,969.0,-15.288713081501893,-15.3,True,True
2025Q4,기타,143.0,5326.0,5183.0,-27.040816326530614,23.3,196.0,4320.0,5.616902725065187,58.3,False,True
2026Q1,기계,58888.0,58463.0,-425.0,-1.900747971813621,-2.6,60029.0,60024.0,-9.626244330726308,-8.7,True,True
2026Q1,운송장비,16375.0,16375.0,0.0,-1.0035668943836562,-1.0,16541.0,16540.0,20.119787815833988,24.6,True,True
2026Q1,철강,9675.0,9615.0,-60.0,-0.7997539218701943,-10.1,9753.0,10695.0,53.82520740923593,53.8,True,True
2026Q1,음식료,628.0,628.0,0.0,-21.5,-21.5,800.0,800.0,3.367344657191196,3.4,True,True
2026Q1,기타,169.0,5565.0,5396.0,14.965986394557817,4.5,147.0,5325.0,5.395417590539542,5.6,True,True
