C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID,C1_OBJ_NM_ENG
계정코드별,116.69,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202301,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.91,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202302,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.05,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202303,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.96,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202304,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.53,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202305,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.27,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202306,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.53,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202307,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.5,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202308,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,118.03,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202309,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.86,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202310,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.41,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202311,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.56,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202312,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,118.19,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202401,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,118.55,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202402,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,118.82,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202403,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,119.16,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202404,2026-09-07,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
