C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID,C1_OBJ_NM_ENG
계정코드별,101.96,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202101,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,102.8,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202102,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,103.89,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202103,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,104.88,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202104,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,105.45,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202105,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,106.01,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202106,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,107.04,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202107,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,107.6,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202108,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,108,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202109,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,109.12,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202110,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,109.9,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202111,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,109.88,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202112,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,111.04,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202201,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,111.57,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202202,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,113.27,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202203,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,115.1,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202204,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,115.92,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202205,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.57,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202206,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.9,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202207,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.45,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202208,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.53,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202209,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,117.13,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202210,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
계정코드별,116.75,13102134604ACC_CD.*AA,M,2020＝100,13103134604999,DT_404Y014,생산자물가지수(기본분류),생산자물가지수(기본분류),202211,2026-09-09,All items,총지수,2020＝100,Producer Price Indices  (Basic Groups),301,Selection of Items
